start,end,n_days,n_months,mean_mo,pct_pos,top3,tstat_ols,tstat_nw,nw_lags,ann_sharpe,total_ret,factor,window,role,gates_pass,clears_1pct_bar
2018-01-01,2023-12-31,1564,71,-0.000606345045899599,0.4647887323943662,0.23151338788372341,-0.5659806712171367,-0.6573983391322138,3,-0.2088819564385803,-0.047623944382185646,carry_rank,IS_2018_2023,eval,True,False
2024-01-01,2024-12-31,262,11,0.001479027538061627,0.6363636363636364,0.5862170027588134,0.5571870658500742,0.6364854842803473,2,0.7600259722903383,0.023103373262709948,carry_rank,year_2024,eval,True,False
2025-01-01,2025-12-31,257,11,0.0012476942424954592,0.6363636363636364,0.6253360127221519,0.8615786034225883,0.71459429920928,2,0.2071933846989796,0.006655913874778818,carry_rank,year_2025,eval,True,False
2026-01-01,2026-12-31,184,8,0.001282647235176071,0.625,0.7985328087529759,0.6987220229230131,0.7396773598450131,2,1.0077667148923402,0.019580372061138718,carry_rank,year_2026,eval,True,False
2025-09-17,2026-09-16,258,12,0.0030960335167011153,0.75,0.5263602932144092,2.1157509099353167,1.4347080088394515,2,1.3471668705474562,0.03638973282641955,carry_rank,holdout_365d,confirm_only,True,False
2018-01-01,2023-12-31,1564,71,-0.0009371563012602304,0.4507042253521127,0.2478790678159558,-0.7940071666891315,-0.8299178147945055,3,-0.2783204807514339,-0.0635564331205517,fx_momentum,IS_2018_2023,eval,True,False
2024-01-01,2024-12-31,262,11,-0.001714213307772146,0.45454545454545453,0.7034768016551475,-0.5093414481937746,-0.6347178115522706,2,-0.641332518035812,-0.021613247675389413,fx_momentum,year_2024,eval,True,False
2025-01-01,2025-12-31,257,11,0.004370753695258089,0.9090909090909091,0.5149788631366372,4.373458121883272,1.9175149736022434,2,1.2779750877905542,0.0458591075580328,fx_momentum,year_2025,eval,True,False
2026-01-01,2026-12-31,184,8,0.0034381581325453048,0.625,0.7576825438417498,1.7915594991862998,1.5620326793255261,2,1.6529789449843368,0.032077452714756705,fx_momentum,year_2026,eval,True,False
2025-09-17,2026-09-16,258,12,0.003835746116205694,0.75,0.4997474078545085,2.856019733373123,1.9470640136102948,2,2.0515742324008244,0.05188080476611834,fx_momentum,holdout_365d,confirm_only,True,False
2018-01-01,2023-12-31,1564,71,-0.0007155146145216073,0.4788732394366197,0.25386703374053593,-0.3325437050188215,-0.3497157088482376,3,-0.02642786600414185,-0.024317744530158003,dollar_tsmom,IS_2018_2023,eval,False,False
2024-01-01,2024-12-31,262,11,0.008026673677278223,0.6363636363636364,0.754161436940325,1.9239045485556467,1.635597637622968,2,1.2599105838334939,0.07865030858481692,dollar_tsmom,year_2024,eval,True,False
2025-01-01,2025-12-31,257,11,-0.003866728367606618,0.45454545454545453,0.9297644273001606,-0.8695253095079482,-1.014412013345654,2,-0.7123601478900438,-0.05089731822520882,dollar_tsmom,year_2025,eval,True,False
2026-01-01,2026-12-31,184,8,5.295204976464574e-05,0.375,1.0,0.00880654136121331,0.019289614798656297,2,0.5858439348448139,0.025444597802609437,dollar_tsmom,year_2026,eval,True,False
2025-09-17,2026-09-16,258,12,0.0033007817653452343,0.5833333333333334,0.7794496462299023,0.7330967566689166,0.9551034562992111,2,0.27273028966369245,0.014514246714695478,dollar_tsmom,holdout_365d,confirm_only,True,False
2018-01-01,2023-12-31,1564,71,-0.0007408234787595172,0.4788732394366197,0.25810964898674305,-0.8511670970045092,-0.8358861662903115,3,-0.24061380891611256,-0.04051734889669978,combo_ew_raw,IS_2018_2023,eval,True,False
2024-01-01,2024-12-31,262,11,0.002618990919248564,0.8181818181818182,0.7568547836934642,0.9922512238210046,1.2265170117314568,2,1.0487930320817276,0.026540368248286983,combo_ew_raw,year_2024,eval,True,False
2025-01-01,2025-12-31,257,11,0.0006325173134930084,0.5454545454545454,0.7917113713066891,0.3614837091080706,0.4616246553213848,2,0.037972197259839253,0.0006444183478890864,combo_ew_raw,year_2025,eval,True,False
2026-01-01,2026-12-31,184,8,0.0015971282488436433,0.625,0.8875779592115309,1.1383096527774677,1.2747780334852048,2,1.5871530096492565,0.026152621864762082,combo_ew_raw,year_2026,eval,True,False
2025-09-17,2026-09-16,258,12,0.0034218112904164746,0.75,0.589913734607003,2.4536113129801786,1.600673774733312,2,1.5889591325205437,0.03472111144880041,combo_ew_raw,holdout_365d,confirm_only,True,False
2018-01-01,2023-12-31,1564,71,-0.0005736080405398556,0.4507042253521127,0.2628381852539661,-0.7759731905937353,-0.8187029488314305,3,-0.2755090939324812,-0.04487698591697109,carry_cooled,IS_2018_2023,eval,True,False
2024-01-01,2024-12-31,262,11,0.0013905122187693514,0.7272727272727273,0.6815451974532155,0.694160586263664,0.8105798377701808,2,1.1185160491463377,0.023053305822582804,carry_cooled,year_2024,eval,True,False
2025-01-01,2025-12-31,257,11,0.0015371469424129147,0.6363636363636364,0.743394761062822,1.4057638185065355,1.2654219827376536,2,0.6511012250904871,0.01350896927721057,carry_cooled,year_2025,eval,True,False
2026-01-01,2026-12-31,184,8,0.0005060882328477012,0.75,0.7433721516606936,0.3751864982153965,0.49523947501859106,2,0.6502161630017357,0.009302063779975,carry_cooled,year_2026,eval,True,False
2025-09-17,2026-09-16,258,12,0.002001660098465132,0.8333333333333334,0.5646647554178196,1.7228399475934322,1.3598846706083019,2,1.1114231508549923,0.023029293688056285,carry_cooled,holdout_365d,confirm_only,True,False
2018-01-01,2023-12-31,1564,71,-0.00020439771395028245,0.49295774647887325,0.27226328724020543,-0.1359379535410688,-0.1529654524404119,3,-0.011156682607678025,-0.006283277372360785,scholarly_combo,IS_2018_2023,eval,True,False
2024-01-01,2024-12-31,262,11,0.004026911989250718,0.7272727272727273,0.5706292743313008,1.381793977929956,1.0885638876879862,2,1.659175236510915,0.05586499691919866,scholarly_combo,year_2024,eval,True,False
2025-01-01,2025-12-31,257,11,0.000973477703734137,0.6363636363636364,0.8357705325523737,0.37045984393208375,0.4223092294381432,2,0.1802879087778387,0.006154818779263493,scholarly_combo,year_2025,eval,True,False
2026-01-01,2026-12-31,184,8,0.0035779549745321715,0.625,0.8366679486799952,1.0011495250249343,1.3868075650266256,2,0.8248088521697748,0.023471711038691723,scholarly_combo,year_2026,eval,True,False
2025-09-17,2026-09-16,258,12,0.0029474414217775338,0.6666666666666666,0.7402389847982549,1.1820131919421,1.6430740686366019,2,0.8361661171331055,0.029826332122809385,scholarly_combo,holdout_365d,confirm_only,True,False
