idea,params,window,ret,mean_mo,median_mo,pct_pos,top3,gates,p2t,static,daily,n_months,trades,overlap,n_legs
baseline_vt0025,locked+vt,2024,0.05382729899645855,0.004216856681389925,0.0011741691302125101,0.5454545454545454,0.7412750869651012,True,0.07423982950324844,0.0438644487188285,0.02863115728790726,11,130,research/WF,5
baseline_vt0025,locked+vt,2025,0.21990836080444787,0.016277853185413717,0.009973475078900895,0.7272727272727273,0.6925774266330262,True,0.038581414983391585,0.011783053761726187,0.03580911353553616,11,74,mixed,5
baseline_vt0025,locked+vt,2026,0.20032630955632258,0.023011327609662083,0.013440273087758858,0.875,0.8680846676945262,True,0.06376392341456799,0.03406440652034522,0.0250778809074343,8,122,pure holdout,5
baseline_vt0025,locked+vt,holdout_365d,0.21552412271510168,0.01523243086152203,0.010461477464302482,0.75,0.8139578289205267,True,0.06825160423221091,0.024614009146199968,0.030218171652093298,12,146,pure holdout,5
baseline_vt0025,locked+vt,roll12_m6,0.16449332218046808,0.011309149872287835,0.0029890953300992784,0.6666666666666666,0.8020160651091527,True,0.038723675235688884,0.017623940539596223,0.033966165880603076,12,79,mixed,5
ov::eq_only_0.006,eq_only_0.006,2024,0.017866012562029132,0.0010490826668520274,0.0010782840825525053,0.7272727272727273,0.6533180252728144,True,0.03467484404540268,0.019386749817699455,0.00995721458155429,11,130,research/WF,5
ov::eq_only_0.006,eq_only_0.006,2025,0.041117238968486625,0.00320368041878521,0.003548164625608141,0.7272727272727273,0.6334070051251932,True,0.01614869669737273,0.011783053761726187,0.011783053761726187,11,74,mixed,5
ov::eq_only_0.006,eq_only_0.006,2026,0.04580933961043021,0.005135271406971301,0.0031112691246995006,0.75,0.8907281586056927,True,0.022578359594406447,0.009262715466679365,0.009820436286088079,8,122,pure holdout,5
ov::eq_only_0.006,eq_only_0.006,holdout_365d,0.04766920720551271,0.003603735147758617,0.002900448191923588,0.75,0.7516294719924346,True,0.022543114486661044,0.009230415377323371,0.011561672808784207,12,146,pure holdout,5
ov::eq_only_0.006,eq_only_0.006,roll12_m6,0.04483963660104928,0.0027393962224990984,0.0006063808823653094,0.6666666666666666,0.7327823217898896,True,0.01689963994175536,0.005149781367702526,0.0077761289707820105,12,79,mixed,5
ov::vt+eqflat0.008,vt+eqflat0.008,2024,0.02164415503022199,0.0012074429663024753,0.0015760338435895083,0.7272727272727273,0.657235104353162,True,0.051643865509481794,0.03001070594081917,0.014924101271215623,11,130,research/WF,5
ov::vt+eqflat0.008,vt+eqflat0.008,2025,0.06083935855995515,0.0043615585241971325,0.004716280161488173,0.7272727272727273,0.6344709601671397,True,0.024153558899647536,0.011783053761726333,0.011922385597799876,11,74,mixed,5
ov::vt+eqflat0.008,vt+eqflat0.008,2026,0.06399614061786729,0.007199032958833368,0.00545969705852456,0.75,0.8663072043386398,True,0.03377644928656455,0.013913642738225462,0.014715662225612904,8,122,pure holdout,5
ov::vt+eqflat0.008,vt+eqflat0.008,holdout_365d,0.06349331190431351,0.004515148810729314,0.004180742128725989,0.75,0.719511424372449,True,0.033743371202416786,0.011318464170946245,0.017396957607271762,12,146,pure holdout,5
ov::vt+eqflat0.008,vt+eqflat0.008,roll12_m6,0.06450671622252457,0.003942754408748593,0.0008058594107084316,0.6666666666666666,0.7251617833094722,True,0.025264462749803786,0.008830189665817743,0.011669959493218921,12,79,mixed,5
ov::vt+eqflat0.01,vt+eqflat0.01,2024,0.02619952819344129,0.001618822082691969,0.0015760338435895083,0.7272727272727273,0.6622121851970793,True,0.051643865509481794,0.03001070594081917,0.014924101271215623,11,130,research/WF,5
ov::vt+eqflat0.01,vt+eqflat0.01,2025,0.07073512081997402,0.005219946533367477,0.00588488221657002,0.7272727272727273,0.6342937024475491,True,0.024153558899647536,0.011783053761726333,0.011922385597799876,11,74,mixed,5
ov::vt+eqflat0.01,vt+eqflat0.01,2026,0.0700545454132695,0.007921810692451972,0.00591238944834005,0.75,0.8643841330069816,True,0.03377644928656455,0.013913642738225462,0.014715662225612904,8,122,pure holdout,5
ov::vt+eqflat0.01,vt+eqflat0.01,holdout_365d,0.07911560492349956,0.005762634517405367,0.0049018152446473895,0.75,0.7410963478997048,True,0.033743371202416786,0.011318464170946245,0.017396957607271762,12,146,pure holdout,5
