time,mom_vix_gpr_ew
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,-0.005471950450883334
2012-03-31 00:00:00+00:00,-0.006665858551432646
2012-04-30 00:00:00+00:00,-0.0031819077525706563
2012-05-31 00:00:00+00:00,-0.00792832337399807
2012-06-30 00:00:00+00:00,-0.011396285859787914
2012-07-31 00:00:00+00:00,-0.008227878043716497
2012-08-31 00:00:00+00:00,-0.014576882893823861
2012-09-30 00:00:00+00:00,0.0015212985680803648
2012-10-31 00:00:00+00:00,-0.007777348567755915
2012-11-30 00:00:00+00:00,-0.0007432800303959208
2012-12-31 00:00:00+00:00,0.005660340176872447
2013-01-31 00:00:00+00:00,0.01249319718701214
2013-02-28 00:00:00+00:00,0.0018931318394068697
2013-03-31 00:00:00+00:00,-0.0014152035725072398
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,-0.012137703909632092
2013-06-30 00:00:00+00:00,-0.007093005603565183
2013-07-31 00:00:00+00:00,0.00714516123897968
2013-08-31 00:00:00+00:00,0.004246862966635234
2013-09-30 00:00:00+00:00,-0.0038993479867371894
2013-10-31 00:00:00+00:00,0.0018498529456814072
2013-11-30 00:00:00+00:00,0.009267210969024386
2013-12-31 00:00:00+00:00,-0.007360047326188335
2014-01-31 00:00:00+00:00,0.012969400838457101
2014-02-28 00:00:00+00:00,0.0011503500150922275
2014-03-31 00:00:00+00:00,-0.005108966274207094
2014-04-30 00:00:00+00:00,-4.044314443241159e-05
2014-05-31 00:00:00+00:00,-0.0008806310205516921
2014-06-30 00:00:00+00:00,0.0032901068611970175
2014-07-31 00:00:00+00:00,-0.0010772855960816674
2014-08-31 00:00:00+00:00,0.004166268135415763
2014-09-30 00:00:00+00:00,-0.0033170896815791773
2014-10-31 00:00:00+00:00,0.0009125783443515445
2014-11-30 00:00:00+00:00,-0.007525382292627558
2014-12-31 00:00:00+00:00,-5.2529548584590025e-05
2015-01-31 00:00:00+00:00,-0.0026307733068883232
2015-02-28 00:00:00+00:00,0.006331325887031003
2015-03-31 00:00:00+00:00,-0.004931032395238288
2015-04-30 00:00:00+00:00,-0.0033623633926813667
2015-05-31 00:00:00+00:00,0.00816358904230774
2015-06-30 00:00:00+00:00,-0.01892761112092789
2015-07-31 00:00:00+00:00,0.0006964871855066335
2015-08-31 00:00:00+00:00,0.01053512098298226
2015-09-30 00:00:00+00:00,-0.0008420165379185995
2015-10-31 00:00:00+00:00,-0.011433664285268041
2015-11-30 00:00:00+00:00,-0.010757268228420158
2015-12-31 00:00:00+00:00,0.0004018822302156444
2016-01-31 00:00:00+00:00,-0.00829519214090979
2016-02-29 00:00:00+00:00,-0.0020366051871981705
2016-03-31 00:00:00+00:00,0.009379004691445925
2016-04-30 00:00:00+00:00,-0.011652234268020423
2016-05-31 00:00:00+00:00,-0.01087468982110118
2016-06-30 00:00:00+00:00,0.018183414229351103
2016-07-31 00:00:00+00:00,-0.005927614530737757
2016-08-31 00:00:00+00:00,0.0027863338531315396
2016-09-30 00:00:00+00:00,0.0023887617643802983
2016-10-31 00:00:00+00:00,0.015353586174948974
2016-11-30 00:00:00+00:00,-0.011154687677952468
2016-12-31 00:00:00+00:00,-0.003511929224727317
2017-01-31 00:00:00+00:00,0.010159268131665344
2017-02-28 00:00:00+00:00,-0.0025192441466114213
2017-03-31 00:00:00+00:00,-0.005433902708966376
2017-04-30 00:00:00+00:00,-0.008390846874820945
2017-05-31 00:00:00+00:00,-0.004569094274118224
2017-06-30 00:00:00+00:00,-0.007483882591853508
2017-07-31 00:00:00+00:00,-0.011878223654350761
2017-08-31 00:00:00+00:00,0.002243359082297891
