horizon,n_events,n_controls,event_cum_mean,control_cum_mean,diff_event_minus_control,tstat_diff,series
0.0,206.0,206.0,-0.00031333137352141906,0.0002637447866788089,-0.000577076160200228,-1.1526102354818943,EUR
5.0,205.0,206.0,0.00044696071267631205,0.0006621267836405885,-0.00021516607096427643,-0.1846066178088882,EUR
10.0,204.0,206.0,-1.670058611913111e-05,0.0006490728881935416,-0.0006657734743126727,-0.4334840881405378,EUR
0.0,206.0,206.0,0.0001776028291722918,5.08108697424602e-05,0.0001267919594298316,0.22936701412422203,GBP
5.0,205.0,206.0,0.0009159399832987872,0.00012713020206581995,0.0007888097812329672,0.5745945127302585,GBP
10.0,204.0,206.0,0.0002608625274068519,0.001433214672175016,-0.0011723521447681642,-0.6192200553044609,GBP
0.0,206.0,206.0,0.00023840540583791215,-0.0001273088001200567,0.00036571420595796884,0.8117976644148899,JPY
5.0,205.0,206.0,0.001487603328351125,-0.0002818418714650404,0.0017694451998161655,1.6367203066387994,JPY
10.0,204.0,206.0,0.0025522692098037727,-0.00021095642619606012,0.002763225635999833,1.9063288353314585,JPY
0.0,206.0,206.0,-0.00010399916871418689,0.0004975946439800406,-0.0006015938126942274,-0.9496987111077423,AUD
5.0,205.0,206.0,-0.00047014669322275346,0.00011254334675239649,-0.00058269003997515,-0.3691303656774191,AUD
10.0,204.0,206.0,-0.0021363039366877586,0.002518481105228771,-0.004654785041916529,-2.0800441778386793,AUD
0.0,206.0,206.0,3.2842837228428262e-06,0.00019187206248465083,-0.000188587778761808,-0.42612479932510977,USD_BASKET
5.0,205.0,206.0,0.0006674660406676138,6.36894986229373e-05,0.0006037765420446765,0.547081977403857,USD_BASKET
10.0,204.0,206.0,0.0001960209188277224,0.0010389888787348466,-0.0008429679599071242,-0.5615734899646595,USD_BASKET
