time,oil_threats_usd
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,-8.424283474250949e-06
2012-01-31 00:00:00+00:00,-0.007873664417576087
2012-02-29 00:00:00+00:00,-0.004791944896815226
2012-03-31 00:00:00+00:00,-0.0011765901479442453
2012-04-30 00:00:00+00:00,0.004741714885083015
2012-05-31 00:00:00+00:00,0.0026526755205980024
2012-06-30 00:00:00+00:00,-0.002156222326945678
2012-07-31 00:00:00+00:00,-0.0002226461644715405
2012-08-31 00:00:00+00:00,-0.007538255583128595
2012-09-30 00:00:00+00:00,-0.0031071513002264295
2012-10-31 00:00:00+00:00,0.00037052372532353495
2012-11-30 00:00:00+00:00,-0.0031124857688912266
2012-12-31 00:00:00+00:00,-0.00043704412806888637
2013-01-31 00:00:00+00:00,0.0005615902847071474
2013-02-28 00:00:00+00:00,0.003720301870485887
2013-03-31 00:00:00+00:00,-0.0007242454435887336
2013-04-30 00:00:00+00:00,-0.002001403214896391
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,-0.0024549907247609637
2013-07-31 00:00:00+00:00,-0.009546814501989687
2013-08-31 00:00:00+00:00,-0.001216946635323346
2013-09-30 00:00:00+00:00,-0.008222861658794156
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0016603704769726502
2013-12-31 00:00:00+00:00,0.000732764276490272
2014-01-31 00:00:00+00:00,0.0011949530185935142
2014-02-28 00:00:00+00:00,-7.736585566997523e-05
2014-03-31 00:00:00+00:00,-0.005783775901574306
2014-04-30 00:00:00+00:00,0.0006008603986042971
2014-05-31 00:00:00+00:00,-0.004494680887554781
2014-06-30 00:00:00+00:00,-0.0007181268082265824
2014-07-31 00:00:00+00:00,-0.00040644874901885064
2014-08-31 00:00:00+00:00,0.0014755625227402813
2014-09-30 00:00:00+00:00,0.011343335764987694
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0031591039839116153
2015-01-31 00:00:00+00:00,0.009592993797185034
2015-02-28 00:00:00+00:00,0.0024670054315723
2015-03-31 00:00:00+00:00,-0.009299829629596856
2015-04-30 00:00:00+00:00,-0.006439139657685167
2015-05-31 00:00:00+00:00,-0.00026096704611999755
2015-06-30 00:00:00+00:00,-0.0033680620305935882
2015-07-31 00:00:00+00:00,-0.0016859321657572979
2015-08-31 00:00:00+00:00,-0.00036144638200830137
2015-09-30 00:00:00+00:00,-0.0035129175487497166
2015-10-31 00:00:00+00:00,-0.0009063783577707429
2015-11-30 00:00:00+00:00,0.0037917078274183336
2015-12-31 00:00:00+00:00,-0.006289037796555763
2016-01-31 00:00:00+00:00,0.0007769733678730795
2016-02-29 00:00:00+00:00,0.0019943667542317023
2016-03-31 00:00:00+00:00,-0.006443970988872727
2016-04-30 00:00:00+00:00,0.003485858529276964
2016-05-31 00:00:00+00:00,0.0006871451740568801
2016-06-30 00:00:00+00:00,0.0
2016-07-31 00:00:00+00:00,-0.002304552444686969
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,-0.0016030942359355205
2016-10-31 00:00:00+00:00,-0.0009830964745389803
2016-11-30 00:00:00+00:00,0.00026073821917393936
2016-12-31 00:00:00+00:00,0.0017745461689280262
2017-01-31 00:00:00+00:00,-0.0020326996175771272
2017-02-28 00:00:00+00:00,0.001566838220333544
2017-03-31 00:00:00+00:00,0.002010260113014084
2017-04-30 00:00:00+00:00,0.0005171494712858937
2017-05-31 00:00:00+00:00,0.0013336800951071481
2017-06-30 00:00:00+00:00,-0.0028219541099980816
2017-07-31 00:00:00+00:00,-0.00831773465634833
2017-08-31 00:00:00+00:00,0.0015704577716677548
