symbol,timeframe,strategy,data_source,bars_total,bars_research,bars_holdout,range_start,range_end,params,wf_mode,folds,is_return,oos_return,oos_max_dd,oos_daily_dd,oos_sharpe,oos_trades,oos_gates_pass,oos_profitable,overfit_oos_weaker,anchored_oos_return,anchored_gates_pass,holdout_return,holdout_max_dd,holdout_daily_dd,holdout_sharpe,holdout_trades,holdout_gates_pass,holdout_profitable_and_gates,ftmo_golive_candidate,baseline_oos_return,baseline_gates_pass,meaningful
USDJPY,D1,hybrid_regime,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 24, ""rsi_high"": 70, ""rsi_low"": 30, ""session_hours"": null}",rolling,21,0.06025355991576972,0.007890639926191403,0.05084954598473923,0.02584921145463042,0.9726335708019482,35,True,True,True,0.007890639926191403,True,0.013248532034704219,0.021196265415083283,0.011059571809883055,0.8886461722784427,9,True,True,False,0.005412352954793645,True,True
XAUUSD,H4,breakout_donchian,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.1, ""donchian_window"": 30, ""session_hours"": null, ""use_mid_exit"": false}",rolling,16,0.034383814735194376,0.005616822183227413,0.08025507232556715,0.0347760791015625,0.6638629301112409,56,True,True,True,0.005616822183227413,True,0.15485165397600453,0.029247356656490153,0.03479399045758939,2.03477951182867,13,True,True,False,0.0015742002467561828,True,True
XAUUSD,D1,breakout_donchian,approximate_non_ftmo,6536,6284,252,2000-08-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.0, ""donchian_window"": 15, ""session_hours"": null, ""use_mid_exit"": false}",rolling,68,0.030087147617063853,0.004920940207704068,0.10928774807707856,0.02818798583984375,0.32204375197054896,436,True,True,True,0.004920940207704068,True,0.10844387945731038,0.04812750749700217,0.032538974609375,3.774078103958176,8,True,True,False,0.004655536649123639,True,True
USDJPY,D1,bbands_reversion,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_max"": 22, ""require_htf_align"": false, ""require_rsi"": false, ""rsi_high"": 60, ""rsi_low"": 35, ""session_hours"": null}",rolling,21,0.0031313000153569337,0.002804364707836277,0.05015254242284995,0.0226870468649063,0.6657504350408653,18,True,True,False,0.002804364707836277,True,0.05243358951746391,0.019889560489860215,0.008025083174973698,3.1319578283021183,4,True,True,False,0.0020898865172411635,True,True
XAUUSD,D1,hybrid_regime,approximate_non_ftmo,6536,6284,252,2000-08-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 20, ""rsi_high"": 70, ""rsi_low"": 30, ""session_hours"": null}",rolling,68,0.020559751785790222,0.0019136222183098004,0.06434614078241538,0.02670001220703125,-0.022172926329906115,207,True,True,True,0.0019136222183098004,True,0.09609652434430815,0.02596988549074013,0.024547596093750033,5.117078764399672,6,True,True,False,0.0011474930688937007,True,True
USDJPY,D1,mean_reversion_regime,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_max"": 30, ""rsi_high"": 65, ""rsi_low"": 30, ""session_hours"": null}",rolling,21,-0.002211599904977308,-0.00039252831361678115,0.06744500250458907,0.02114418464924398,-0.6258773724609865,18,True,False,False,-0.00039252831361678115,True,0.10553018669850855,0.025609810332431544,0.008289592836599332,5.1218123851694415,6,True,True,False,-0.0032627578437306355,True,True
USDJPY,H4,mean_reversion_regime,approximate_non_ftmo,4435,2852,1583,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 30, ""rsi_high"": 65, ""rsi_low"": 35, ""session_hours"": ""7-20""}",rolling,23,-0.005073732572175906,-0.0006046204253704709,0.03504494179171565,0.018837204299836593,-0.23798361393598128,28,True,False,False,-0.0006046204253704709,True,0.05112719390408449,0.0374055426981863,0.022600363276832795,0.9264574625505362,39,True,True,False,-0.002361861931450889,True,True
XAUUSD,H4,hybrid_regime,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 16, ""adx_trend"": 24, ""rsi_high"": 65, ""rsi_low"": 30, ""session_hours"": null}",rolling,16,-0.05321622278268078,-0.004584126989310294,0.07600265993095232,0.03648537812499999,-0.9395244797056014,46,True,False,False,-0.004584126989310294,True,0.07055031750837015,0.038762385192687106,0.04317047433035725,1.127517529894832,8,True,True,False,-0.006149860114833518,True,True
USDJPY,D1,breakout_donchian,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.1, ""donchian_window"": 20, ""session_hours"": null, ""use_mid_exit"": true}",rolling,21,0.06745054431914521,0.004180876044226524,0.03339522975045502,0.019823225143187594,0.44086937533004256,30,True,True,True,0.004180876044226524,True,-0.08277076112862358,0.09559436453073017,0.027039139031300584,-3.8622937417844363,8,True,False,False,0.009904285102483095,True,True
USDJPY,H4,trend_ma_adx,approximate_non_ftmo,4435,2852,1583,2023-11-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_threshold"": 18, ""atr_pct_max"": 0.9, ""atr_pct_min"": 0.0, ""require_ema_align"": false, ""require_htf_align"": false, ""session_hours"": null}",rolling,23,0.0285564414550527,0.0039878714571028005,0.0417271723627162,0.020106012567562868,0.9251284494589391,97,True,True,True,0.0039878714571028005,True,-0.1026560580708028,0.10346374661592257,0.014986651637581817,-2.8414309349918816,56,False,False,False,0.0005975048066564927,True,True
