time,high_rel_gpr_xs
2011-10-31 00:00:00+00:00,0.009623591406408227
2011-11-30 00:00:00+00:00,-0.017562933462010877
2011-12-31 00:00:00+00:00,-0.001611978161433103
2012-01-31 00:00:00+00:00,0.006693857497152456
2012-02-29 00:00:00+00:00,-0.00014816470375589308
2012-03-31 00:00:00+00:00,-0.0006205225037040352
2012-04-30 00:00:00+00:00,-0.0013448752686422427
2012-05-31 00:00:00+00:00,0.01515023966930773
2012-06-30 00:00:00+00:00,0.0005732204552204578
2012-07-31 00:00:00+00:00,-0.015776619195712938
2012-08-31 00:00:00+00:00,0.007570913473018193
2012-09-30 00:00:00+00:00,0.007354011366318414
2012-10-31 00:00:00+00:00,0.007761086262706218
2012-11-30 00:00:00+00:00,0.00381781538171011
2012-12-31 00:00:00+00:00,0.004272488968277255
2013-01-31 00:00:00+00:00,-0.013275708218283166
2013-02-28 00:00:00+00:00,0.009740235184347634
2013-03-31 00:00:00+00:00,-0.0008238351851287407
2013-04-30 00:00:00+00:00,-0.004799572277249697
2013-05-31 00:00:00+00:00,0.00638876070411909
2013-06-30 00:00:00+00:00,-0.011690665262741207
2013-07-31 00:00:00+00:00,0.013547597217789642
2013-08-31 00:00:00+00:00,0.009050693184959435
2013-09-30 00:00:00+00:00,0.004528458744834651
2013-10-31 00:00:00+00:00,0.0006792167595635057
2013-11-30 00:00:00+00:00,-0.0008545936094115358
2013-12-31 00:00:00+00:00,-0.0018726470550655128
2014-01-31 00:00:00+00:00,0.009344182243678834
2014-02-28 00:00:00+00:00,-3.4936353877967896e-05
2014-03-31 00:00:00+00:00,-0.0016225106646174936
2014-04-30 00:00:00+00:00,-0.00027684585971565756
2014-05-31 00:00:00+00:00,-0.008456764179575083
2014-06-30 00:00:00+00:00,-0.007001004613192863
2014-07-31 00:00:00+00:00,-0.009251847371086752
2014-08-31 00:00:00+00:00,-0.0033582959586025973
2014-09-30 00:00:00+00:00,-0.015331729870262434
2014-10-31 00:00:00+00:00,-0.0018656119768429846
2014-11-30 00:00:00+00:00,-0.009967966069924228
2014-12-31 00:00:00+00:00,-0.0025808965214597634
2015-01-31 00:00:00+00:00,-0.03383116710323608
2015-02-28 00:00:00+00:00,-0.0014900536134401232
2015-03-31 00:00:00+00:00,-0.010852950348854029
2015-04-30 00:00:00+00:00,0.011672671698943482
2015-05-31 00:00:00+00:00,-0.009793551369662534
2015-06-30 00:00:00+00:00,-0.011477102625031876
2015-07-31 00:00:00+00:00,-0.0033871908154518016
2015-08-31 00:00:00+00:00,0.0009692614130822896
2015-09-30 00:00:00+00:00,-0.0051155836683494105
2015-10-31 00:00:00+00:00,-0.00854961717059144
