time,high_housing_z_xs
2011-10-31 00:00:00+00:00,-0.01800348705118915
2011-11-30 00:00:00+00:00,-0.002750998319905884
2011-12-31 00:00:00+00:00,-0.009888863285272276
2012-01-31 00:00:00+00:00,0.003423273972669172
2012-02-29 00:00:00+00:00,0.0003038672797124331
2012-03-31 00:00:00+00:00,0.006567744321109847
2012-04-30 00:00:00+00:00,0.00393774918927825
2012-05-31 00:00:00+00:00,0.0026389709224201585
2012-06-30 00:00:00+00:00,0.0011325556169119455
2012-07-31 00:00:00+00:00,0.006125514642837393
2012-08-31 00:00:00+00:00,0.004467846323459312
2012-09-30 00:00:00+00:00,0.011302572399243704
2012-10-31 00:00:00+00:00,0.004977035423755938
2012-11-30 00:00:00+00:00,0.00021709569712413668
2012-12-31 00:00:00+00:00,-0.004785106444612941
2013-01-31 00:00:00+00:00,0.0003260539230425241
2013-02-28 00:00:00+00:00,0.005638281153740099
2013-03-31 00:00:00+00:00,0.012917633456825506
2013-04-30 00:00:00+00:00,0.010492365654584113
2013-05-31 00:00:00+00:00,0.006794396813820658
2013-06-30 00:00:00+00:00,-0.01890854986850532
2013-07-31 00:00:00+00:00,-0.008180827612237818
2013-08-31 00:00:00+00:00,-0.00807646179167687
2013-09-30 00:00:00+00:00,0.016521820017799005
2013-10-31 00:00:00+00:00,0.002831320381404545
2013-11-30 00:00:00+00:00,-0.009719184934263825
2013-12-31 00:00:00+00:00,-0.0036418339386381504
2014-01-31 00:00:00+00:00,0.011708383672923484
2014-02-28 00:00:00+00:00,0.007082880741209774
2014-03-31 00:00:00+00:00,0.014938020682947473
2014-04-30 00:00:00+00:00,-0.0021914692944320358
2014-05-31 00:00:00+00:00,-0.0019071573241715711
2014-06-30 00:00:00+00:00,0.005481852276263632
2014-07-31 00:00:00+00:00,0.0002774147469390975
2014-08-31 00:00:00+00:00,0.0006079450484159921
2014-09-30 00:00:00+00:00,-0.01586340125942043
2014-10-31 00:00:00+00:00,-0.0030751199253036265
2014-11-30 00:00:00+00:00,-0.001992555963376774
2014-12-31 00:00:00+00:00,0.009503690265144416
2015-01-31 00:00:00+00:00,0.007985255597035668
2015-02-28 00:00:00+00:00,0.010238347121771074
2015-03-31 00:00:00+00:00,0.00428534015760218
2015-04-30 00:00:00+00:00,-0.005162052192697719
