time,lfp_ew
2011-10-31 00:00:00+00:00,0.0036575310503972336
2011-11-30 00:00:00+00:00,-0.009542154183418528
2011-12-31 00:00:00+00:00,-0.0038065100459827583
2012-01-31 00:00:00+00:00,0.006794466838664581
2012-02-29 00:00:00+00:00,0.00694359121102095
2012-03-31 00:00:00+00:00,-0.0013132034477392196
2012-04-30 00:00:00+00:00,-0.00024972215820107113
2012-05-31 00:00:00+00:00,-0.01931174323875029
2012-06-30 00:00:00+00:00,0.0066065209834114125
2012-07-31 00:00:00+00:00,0.0051549969740603
2012-08-31 00:00:00+00:00,0.005445786638263117
2012-09-30 00:00:00+00:00,0.003602082234473558
2012-10-31 00:00:00+00:00,-0.0014940911394212275
2012-11-30 00:00:00+00:00,0.0009554876194024509
2012-12-31 00:00:00+00:00,0.0033718253704826395
2013-01-31 00:00:00+00:00,-0.006651042892670711
2013-02-28 00:00:00+00:00,-0.0035185787961170556
2013-03-31 00:00:00+00:00,-0.003697763728257364
2013-04-30 00:00:00+00:00,-0.0004189823514214597
2013-05-31 00:00:00+00:00,0.0005149108753159659
2013-06-30 00:00:00+00:00,0.003358408557726289
2013-07-31 00:00:00+00:00,0.004262423666383075
2013-08-31 00:00:00+00:00,-0.00183428311633127
2013-09-30 00:00:00+00:00,0.0003220691692156219
2013-10-31 00:00:00+00:00,-0.0038350496932725298
2013-11-30 00:00:00+00:00,0.00041328867860035423
2013-12-31 00:00:00+00:00,0.001630621347910921
2014-01-31 00:00:00+00:00,-0.004073531866300328
2014-02-28 00:00:00+00:00,0.003349374350622325
2014-03-31 00:00:00+00:00,0.0017657684548659791
2014-04-30 00:00:00+00:00,-0.0011733401623628126
2014-05-31 00:00:00+00:00,-0.006493076291422262
2014-06-30 00:00:00+00:00,0.005235511011042249
2014-07-31 00:00:00+00:00,-0.002592377023855841
2014-08-31 00:00:00+00:00,-0.006326106824519506
2014-09-30 00:00:00+00:00,-0.007285675000402891
2014-10-31 00:00:00+00:00,-0.00027371623020699953
2014-11-30 00:00:00+00:00,0.0016986683047297557
2014-12-31 00:00:00+00:00,0.00038969868769966887
2015-01-31 00:00:00+00:00,0.0009362164161492714
2015-02-28 00:00:00+00:00,0.0007401899771115605
2015-03-31 00:00:00+00:00,0.0027332692471917497
2015-04-30 00:00:00+00:00,0.003998387333662867
2015-05-31 00:00:00+00:00,-0.007561577838785416
2015-06-30 00:00:00+00:00,-0.010701501925674095
2015-07-31 00:00:00+00:00,-0.010556220128348226
2015-08-31 00:00:00+00:00,-0.01161680360604922
2015-09-30 00:00:00+00:00,0.0011551421483837476
2015-10-31 00:00:00+00:00,0.010417006961536357
2015-11-30 00:00:00+00:00,0.0019100029366196924
2015-12-31 00:00:00+00:00,-0.008397254184826064
2016-01-31 00:00:00+00:00,-0.008402788728002486
2016-02-29 00:00:00+00:00,0.003003539863335014
2016-03-31 00:00:00+00:00,0.002403776855218087
2016-04-30 00:00:00+00:00,-0.0004686452683259068
2016-05-31 00:00:00+00:00,-0.002244833650271727
2016-06-30 00:00:00+00:00,0.003121737761369703
2016-07-31 00:00:00+00:00,0.00017371067385796302
2016-08-31 00:00:00+00:00,0.0007223341881665846
2016-09-30 00:00:00+00:00,-4.273221361295043e-05
