time,soft_low_epu
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,-0.002021798219555171
2012-07-31 00:00:00+00:00,0.00011407313612132874
2012-08-31 00:00:00+00:00,-0.0011065153562883623
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.007327640073770292
2013-06-30 00:00:00+00:00,0.009102022087432493
2013-07-31 00:00:00+00:00,0.0017399890932612294
2013-08-31 00:00:00+00:00,0.003422353167732206
2013-09-30 00:00:00+00:00,0.0002594194713667619
2013-10-31 00:00:00+00:00,-0.0016940854070753852
2013-11-30 00:00:00+00:00,0.0024250037842681316
2013-12-31 00:00:00+00:00,0.0007741448123195216
2014-01-31 00:00:00+00:00,0.0016059207302476786
2014-02-28 00:00:00+00:00,0.0007859840319759392
2014-03-31 00:00:00+00:00,0.004999152889788805
2014-04-30 00:00:00+00:00,0.0006175140828623693
2014-05-31 00:00:00+00:00,0.0024896285510913607
2014-06-30 00:00:00+00:00,0.001548931511942131
2014-07-31 00:00:00+00:00,-0.0020176586809238506
2014-08-31 00:00:00+00:00,0.003172766048795017
2014-09-30 00:00:00+00:00,0.0036395645709570434
2014-10-31 00:00:00+00:00,0.0015261543953537515
2014-11-30 00:00:00+00:00,0.0037512853470591523
2014-12-31 00:00:00+00:00,-0.0010507019336348788
2015-01-31 00:00:00+00:00,0.01227834774712111
2015-02-28 00:00:00+00:00,-0.010462789565198194
2015-03-31 00:00:00+00:00,0.004529755253574352
2015-04-30 00:00:00+00:00,-0.0007109289351761028
2015-05-31 00:00:00+00:00,0.001968424215252229
2015-06-30 00:00:00+00:00,0.0022592009001061175
2015-07-31 00:00:00+00:00,0.0030992402977703115
2015-08-31 00:00:00+00:00,0.007849608337975766
2015-09-30 00:00:00+00:00,0.0008033103341618109
2015-10-31 00:00:00+00:00,-0.0038847801066009824
2015-11-30 00:00:00+00:00,-0.0023753720994686978
2015-12-31 00:00:00+00:00,0.00019119149809743163
2016-01-31 00:00:00+00:00,0.007695125540783554
2016-02-29 00:00:00+00:00,0.010038287778215915
2016-03-31 00:00:00+00:00,-0.004664652582470508
2016-04-30 00:00:00+00:00,0.0008547679249590878
2016-05-31 00:00:00+00:00,-0.004615956471097582
2016-06-30 00:00:00+00:00,0.013658877338851738
2016-07-31 00:00:00+00:00,-0.0001174162178847471
2016-08-31 00:00:00+00:00,-0.0032119048559636765
2016-09-30 00:00:00+00:00,0.0001704667144788452
2016-10-31 00:00:00+00:00,-6.171606918659034e-05
2016-11-30 00:00:00+00:00,0.006050702533310304
2016-12-31 00:00:00+00:00,0.0026874392548934534
2017-01-31 00:00:00+00:00,0.004009772312361548
2017-02-28 00:00:00+00:00,-0.0008235853600798704
2017-03-31 00:00:00+00:00,-4.72879936969095e-05
2017-04-30 00:00:00+00:00,0.0013238127484207496
2017-05-31 00:00:00+00:00,0.0
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,-0.0013525629547617157
2017-09-30 00:00:00+00:00,0.003922535723172915
2017-10-31 00:00:00+00:00,0.0014778098969978615
2017-11-30 00:00:00+00:00,0.001451005274256234
