symbol,timeframe,strategy,data_source,bars_total,bars_research,bars_holdout,range_start,range_end,params,wf_mode,folds,is_return,oos_return,oos_max_dd,oos_daily_dd,oos_sharpe,oos_trades,oos_gates_pass,oos_profitable,overfit_oos_weaker,anchored_oos_return,anchored_gates_pass,holdout_return,holdout_max_dd,holdout_daily_dd,holdout_sharpe,holdout_trades,holdout_gates_pass,holdout_profitable_and_gates,ftmo_golive_candidate,baseline_oos_return,baseline_gates_pass
USDJPY,D1,squeeze_breakout,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 10, ""exit_bars"": 16, ""lookback"": 60, ""session_hours"": null, ""squeeze_pct"": 0.2}",rolling,21,0.01778334830714441,0.0010863716666518514,0.056229588768051994,0.024917509483348404,-0.40425438103477823,70,True,True,True,0.0010863716666518514,True,-0.04401100009883452,0.07731950131390616,0.027039139031300584,-1.7288884934045299,21,True,False,False,-0.0006450113699034857,True
USDJPY,D1,hybrid_regime,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 24, ""rsi_high"": 70, ""rsi_low"": 30, ""session_hours"": null}",rolling,21,0.07051485827991853,0.008040734452473478,0.053641256860485154,0.02584921145463042,0.9497214056786871,35,True,True,True,0.008040734452473478,True,0.018260772314414586,0.02118180376635897,0.011059571809883055,1.1244805734551335,9,True,True,False,0.0056034405814352805,True
USDJPY,D1,breakout_donchian,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.15, ""donchian_window"": 40, ""session_hours"": null, ""use_mid_exit"": false}",rolling,21,0.055679665412174686,0.003968431256691678,0.050906469149170505,0.021304356689291308,0.6183075029314204,17,True,True,True,0.003968431256691678,True,-0.011010464407736897,0.051325994532470776,0.025150968538082526,-0.34816008760314304,8,True,False,False,0.01073921326813915,True
USDJPY,D1,bbands_reversion,approximate_non_ftmo,2601,2341,260,2016-09-15 23:00:00+00:00,2026-09-15 23:00:00+00:00,"{""adx_max"": 22, ""require_htf_align"": false, ""require_rsi"": false, ""rsi_high"": 60, ""rsi_low"": 35, ""session_hours"": null}",rolling,21,-0.001696821502592279,0.0024030345050451932,0.05015254242284995,0.02506883881876827,0.6551257798322547,18,True,True,False,0.0024030345050451932,True,0.05243358951746391,0.019889560489860215,0.008025083174973698,3.1319578283021183,4,True,True,False,0.0017310273963982252,True
XAUUSD,H4,squeeze_breakout,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 10, ""exit_bars"": 16, ""lookback"": 60, ""session_hours"": null, ""squeeze_pct"": 0.3}",rolling,16,0.054154677222549234,-0.0033594075897221617,0.08364464190696007,0.07450846149553632,-0.17619487871407724,67,False,False,True,-0.0033594075897221617,False,0.3269832501185814,0.08892530842904144,0.039478397516740954,1.916257051634406,50,True,True,False,-0.0031268367462163535,False
XAUUSD,H4,hybrid_regime,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 24, ""rsi_high"": 65, ""rsi_low"": 30, ""session_hours"": null}",rolling,16,-0.06106570344543567,-0.006457409170532558,0.09264256227421534,0.045603897656250045,-0.573030095439342,54,True,False,False,-0.006457409170532558,True,0.04323063480050138,0.04924374715401791,0.03933812879464298,0.5220309383087555,14,True,True,False,-0.007911522465297437,True
XAUUSD,H4,breakout_donchian,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 0, ""atr_pct_min"": 0.15, ""donchian_window"": 15, ""session_hours"": null, ""use_mid_exit"": false}",rolling,16,0.03429756963806092,0.006279032650320655,0.11057448267817083,0.04867654213169633,0.5131621629336387,60,True,True,True,0.006279032650320655,True,0.23253316628069198,0.03333988184709987,0.018967489188058097,2.424244104108419,12,True,True,False,0.0003485152941019795,False
XAUUSD,H4,bbands_reversion,approximate_non_ftmo,3714,2172,1542,2024-04-24 04:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_max"": 22, ""require_htf_align"": false, ""require_rsi"": false, ""rsi_high"": 60, ""rsi_low"": 35, ""session_hours"": null}",rolling,16,-0.00867000106811655,-0.004157734960937624,0.10983286307961905,0.04378755498046885,0.1258703236340289,12,True,False,False,-0.004157734960937624,True,-0.0839494004882817,0.09365553525390671,0.03138584492187511,-0.980382889888105,4,True,False,False,-0.00476397037963891,True
XAUUSD,D1,squeeze_breakout,approximate_non_ftmo,6536,6284,252,2000-08-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_min"": 10, ""exit_bars"": 8, ""lookback"": 60, ""session_hours"": null, ""squeeze_pct"": 0.3}",rolling,68,0.02068876719242259,-0.0018505348484842486,0.10735168329701957,0.034002908217075745,0.2398899342272422,257,False,False,True,-0.0018505348484842486,False,0.09072292987583697,0.04928553985770079,0.029453257031249958,3.524618456575687,9,True,True,False,-0.00042938451061106156,False
XAUUSD,D1,hybrid_regime,approximate_non_ftmo,6536,6284,252,2000-08-30 00:00:00+00:00,2026-09-16 00:00:00+00:00,"{""adx_chop"": 20, ""adx_trend"": 20, ""rsi_high"": 70, ""rsi_low"": 35, ""session_hours"": null}",rolling,68,0.015077250371261808,0.0017473381205581012,0.0799198590806032,0.02965955345982133,-0.16933262703980578,214,True,True,True,0.0017473381205581012,True,0.12490442300502247,0.03305527353278079,0.03156119497767868,5.128553112513427,6,True,True,False,0.0013564013639048005,True
