,USD,JPY,CAD,AUD,GBP,EUR,CHF,NZD
1970-03-01 00:00:00+00:00,,67.92223,,,,,,
1970-04-01 00:00:00+00:00,,67.96976,,,,,,
1970-05-01 00:00:00+00:00,,68.17205,,,,,,
1970-06-01 00:00:00+00:00,,68.17828,,,,,,
1970-07-01 00:00:00+00:00,,68.09753,,,,,,
1970-08-01 00:00:00+00:00,,68.11015,,,,,,
1970-09-01 00:00:00+00:00,,68.17143,,,,,,
1970-10-01 00:00:00+00:00,,68.00781,,,,,,
1970-11-01 00:00:00+00:00,,68.09903,,,,,,
1970-12-01 00:00:00+00:00,,67.81445,,,,,,
1971-01-01 00:00:00+00:00,,67.80401,,,,,,
1971-02-01 00:00:00+00:00,,68.02306,,,,,,
1971-03-01 00:00:00+00:00,,68.12824,,,72.16925,,,
1971-04-01 00:00:00+00:00,,68.03825,,,72.16925,,,
1971-05-01 00:00:00+00:00,,68.30564,,,72.16925,,,
1971-06-01 00:00:00+00:00,,68.12503,,,71.97784,,,
1971-07-01 00:00:00+00:00,,68.01865,,,71.97784,,,
1971-08-01 00:00:00+00:00,,67.86525,,,71.97784,,,
1971-09-01 00:00:00+00:00,,67.73209,,,71.70716,,,
1971-10-01 00:00:00+00:00,,67.65548,,,71.70716,,,
1971-11-01 00:00:00+00:00,,67.52188,,,71.70716,,,
1971-12-01 00:00:00+00:00,,67.40054,,,71.48768,,,
1972-01-01 00:00:00+00:00,,67.56012,,,71.48768,,,
1972-02-01 00:00:00+00:00,,67.46003,,,71.48768,,,
1972-03-01 00:00:00+00:00,,67.47221,,,71.76229,,,
1972-04-01 00:00:00+00:00,,67.35953,,,71.76229,,,
1972-05-01 00:00:00+00:00,,67.1275,,,71.76229,,,
1972-06-01 00:00:00+00:00,,67.15574,,,71.86849,,,
1972-07-01 00:00:00+00:00,,67.2365,,,71.86849,,,
1972-08-01 00:00:00+00:00,,67.08585,,,71.86849,,,
1972-09-01 00:00:00+00:00,,67.35035,,,71.95717,,,
1972-10-01 00:00:00+00:00,,67.41777,,,71.95717,,,
1972-11-01 00:00:00+00:00,,67.32101,,,71.95717,,,
1972-12-01 00:00:00+00:00,,67.4849,,,72.21693,,,
1973-01-01 00:00:00+00:00,,67.28757,,,72.21693,,,
1973-02-01 00:00:00+00:00,,67.66386,,,72.21693,,,
1973-03-01 00:00:00+00:00,,67.93133,,,72.78564,,,
1973-04-01 00:00:00+00:00,,68.04829,,,72.78564,,,
1973-05-01 00:00:00+00:00,,67.68819,,,72.78564,,,
1973-06-01 00:00:00+00:00,,67.65898,,,72.98767,,,
1973-07-01 00:00:00+00:00,,67.55274,,,72.98767,,,
1973-08-01 00:00:00+00:00,,67.79105,,,72.98767,,,
1973-09-01 00:00:00+00:00,,67.85969,,,72.93412,,,
1973-10-01 00:00:00+00:00,,67.71998,,,72.93412,,,
1973-11-01 00:00:00+00:00,,67.68892,,,72.93412,,,
1973-12-01 00:00:00+00:00,,68.0132,,,72.99617,,,
1974-01-01 00:00:00+00:00,,67.80569,,,72.99617,,,
1974-02-01 00:00:00+00:00,,67.37584,,,72.99617,,,
1974-03-01 00:00:00+00:00,,67.26428,,,72.93269,,,
1974-04-01 00:00:00+00:00,,67.28664,,,72.93269,,,
1974-05-01 00:00:00+00:00,,67.31441,,,72.93269,,,
1974-06-01 00:00:00+00:00,,67.28458,,,72.95316,,,
1974-07-01 00:00:00+00:00,,67.10962,,,72.95316,,,
1974-08-01 00:00:00+00:00,,66.96038,,,72.95316,,,
1974-09-01 00:00:00+00:00,,66.56506,,,73.11333,,,
1974-10-01 00:00:00+00:00,,66.59167,,,73.11333,,,
1974-11-01 00:00:00+00:00,,66.63229,,,73.11333,,,
1974-12-01 00:00:00+00:00,,66.5462,,,73.0719,,,
1975-01-01 00:00:00+00:00,,66.49638,,,73.0719,,,
1975-02-01 00:00:00+00:00,,66.19131,,,73.0719,,,
1975-03-01 00:00:00+00:00,,66.05028,,,72.86311,,,
1975-04-01 00:00:00+00:00,,66.01038,,,72.86311,,,
1975-05-01 00:00:00+00:00,,66.03008,,,72.86311,,,
1975-06-01 00:00:00+00:00,,65.86445,,,72.70626,,,
1975-07-01 00:00:00+00:00,,66.15359,,,72.70626,,,
1975-08-01 00:00:00+00:00,,65.98011,,,72.70626,,,
1975-09-01 00:00:00+00:00,,66.05106,,,72.55064,,,
1975-10-01 00:00:00+00:00,,66.09837,,,72.55064,,,
1975-11-01 00:00:00+00:00,,66.09476,,,72.55064,,,
1975-12-01 00:00:00+00:00,,66.03222,,,72.33105,,,
1976-01-01 00:00:00+00:00,,66.07663,,,72.33105,,,
1976-02-01 00:00:00+00:00,,66.23937,,,72.33105,,,
1976-03-01 00:00:00+00:00,,66.1392,63.0,,72.11481,,,
1976-04-01 00:00:00+00:00,,66.15199,63.1,,72.11481,,,
1976-05-01 00:00:00+00:00,,66.15328,63.2,,72.11481,,,
1976-06-01 00:00:00+00:00,,65.90388,63.3,,71.95724,,,
1976-07-01 00:00:00+00:00,,65.78805,63.2,,71.95724,,,
1976-08-01 00:00:00+00:00,,65.83287,63.1,,71.95724,,,
1976-09-01 00:00:00+00:00,,66.03905,63.0,,71.8585,,,
1976-10-01 00:00:00+00:00,,66.17314,63.0,,71.8585,,,
1976-11-01 00:00:00+00:00,,66.206,63.1,,71.8585,,,
1976-12-01 00:00:00+00:00,,66.11044,62.9,,71.80197,,,
1977-01-01 00:00:00+00:00,,66.18589,63.1,,71.80197,,,
1977-02-01 00:00:00+00:00,,66.35857,63.3,,71.80197,,,
1977-03-01 00:00:00+00:00,64.5756,66.30531,63.2,,71.75065,,,
1977-04-01 00:00:00+00:00,64.68546,66.28909,63.1,,71.75065,,,
1977-05-01 00:00:00+00:00,64.91043,66.34576,63.0,,71.75065,,,
1977-06-01 00:00:00+00:00,65.16001,66.4532,63.1,,71.64819,,,
1977-07-01 00:00:00+00:00,65.26382,66.22732,63.1,,71.64819,,,
1977-08-01 00:00:00+00:00,65.47758,66.27183,62.9,,71.64819,,,
1977-09-01 00:00:00+00:00,65.38144,66.46768,62.8,,71.58671,,,
1977-10-01 00:00:00+00:00,65.5663,66.43294,62.8,,71.58671,,,
1977-11-01 00:00:00+00:00,65.69836,66.57435,62.8,,71.58671,,,
1977-12-01 00:00:00+00:00,65.80962,66.43272,62.9,,71.50943,,,
1978-01-01 00:00:00+00:00,66.11588,66.6133,62.9,,71.50943,,,
1978-02-01 00:00:00+00:00,66.3738,66.68696,63.0,,71.50943,,,
1978-03-01 00:00:00+00:00,66.42548,66.51077,63.0,,71.52104,,,
1978-04-01 00:00:00+00:00,66.43626,66.67168,63.2,64.29648,71.52104,,,
1978-05-01 00:00:00+00:00,66.56063,66.66721,63.3,64.24757,71.52104,,,
1978-06-01 00:00:00+00:00,66.93955,66.71499,63.4,64.49491,71.50504,,,
