time,high_wui_xs
2011-10-31 00:00:00+00:00,-0.011910661752369212
2011-11-30 00:00:00+00:00,0.023495343983830574
2011-12-31 00:00:00+00:00,-0.001358318321488583
2012-01-31 00:00:00+00:00,-0.002984136994768405
2012-02-29 00:00:00+00:00,-0.0005105631548383283
2012-03-31 00:00:00+00:00,0.003414283652982242
2012-04-30 00:00:00+00:00,0.00046515451575501743
2012-05-31 00:00:00+00:00,0.013962514996607833
2012-06-30 00:00:00+00:00,-0.009658867224385248
2012-07-31 00:00:00+00:00,-0.0018389966509920752
2012-08-31 00:00:00+00:00,0.0009308400451424337
2012-09-30 00:00:00+00:00,-0.0037556009768558996
2012-10-31 00:00:00+00:00,0.0009723432730612824
2012-11-30 00:00:00+00:00,-0.0016673601769771063
2012-12-31 00:00:00+00:00,0.006543698945238541
2013-01-31 00:00:00+00:00,-0.004106810860467824
2013-02-28 00:00:00+00:00,-0.010474839986970186
2013-03-31 00:00:00+00:00,-0.0017100176834989878
2013-04-30 00:00:00+00:00,0.001060145278491964
2013-05-31 00:00:00+00:00,0.0192166454687257
2013-06-30 00:00:00+00:00,0.02205581149696023
2013-07-31 00:00:00+00:00,-0.0030804831266474375
2013-08-31 00:00:00+00:00,0.012144869288802207
2013-09-30 00:00:00+00:00,0.01096986762276786
2013-10-31 00:00:00+00:00,0.004955451258956911
2013-11-30 00:00:00+00:00,0.005306297133789828
2013-12-31 00:00:00+00:00,0.016014022634049496
2014-01-31 00:00:00+00:00,-0.005603087110426674
2014-02-28 00:00:00+00:00,0.0018793085485733219
2014-03-31 00:00:00+00:00,-0.0037153307417340242
2014-04-30 00:00:00+00:00,0.00555771834006813
2014-05-31 00:00:00+00:00,0.0013183134843464117
2014-06-30 00:00:00+00:00,-0.0061197197472546705
2014-07-31 00:00:00+00:00,0.0032006346495374594
2014-08-31 00:00:00+00:00,-0.006332633775282703
2014-09-30 00:00:00+00:00,-0.008452051408642913
2014-10-31 00:00:00+00:00,-0.0038598161599195935
2014-11-30 00:00:00+00:00,-0.003386424215912509
2014-12-31 00:00:00+00:00,0.004710207572505176
2015-01-31 00:00:00+00:00,0.03871200620411064
2015-02-28 00:00:00+00:00,-0.005378559599885313
2015-03-31 00:00:00+00:00,-0.007476948887927715
2015-04-30 00:00:00+00:00,0.003211751101615201
2015-05-31 00:00:00+00:00,0.01694646372362718
2015-06-30 00:00:00+00:00,0.006379817946121191
2015-07-31 00:00:00+00:00,0.01661203426949709
2015-08-31 00:00:00+00:00,0.008400839976439922
2015-09-30 00:00:00+00:00,-0.001602626751720404
2015-10-31 00:00:00+00:00,0.0003912663862650767
2015-11-30 00:00:00+00:00,-0.0088892527918768
2015-12-31 00:00:00+00:00,-0.009147516042143033
2016-01-31 00:00:00+00:00,-0.009694209125510778
2016-02-29 00:00:00+00:00,0.01306499519092541
2016-03-31 00:00:00+00:00,-0.01223852410160009
2016-04-30 00:00:00+00:00,0.0021403014677210397
2016-05-31 00:00:00+00:00,0.01047981631857331
