time,high_ip_z_xs
2011-10-31 00:00:00+00:00,0.0031197709341324042
2011-11-30 00:00:00+00:00,-0.00236879028440129
2011-12-31 00:00:00+00:00,0.013896620111013558
2012-01-31 00:00:00+00:00,-0.007500550188809352
2012-02-29 00:00:00+00:00,-8.508459983258554e-05
2012-03-31 00:00:00+00:00,0.0034969270473959035
2012-04-30 00:00:00+00:00,0.004487859346842038
2012-05-31 00:00:00+00:00,-0.012749059640232652
2012-06-30 00:00:00+00:00,-0.0026364999954702206
2012-07-31 00:00:00+00:00,-0.00481073715348046
2012-08-31 00:00:00+00:00,-0.001415808564359189
2012-09-30 00:00:00+00:00,0.006700603885591239
2012-10-31 00:00:00+00:00,-0.005737963826854875
2012-11-30 00:00:00+00:00,-0.003846176301402826
2012-12-31 00:00:00+00:00,0.008550356331858078
2013-01-31 00:00:00+00:00,-0.005492627327742028
2013-02-28 00:00:00+00:00,-7.007063898567534e-05
2013-03-31 00:00:00+00:00,-0.0020651713874701993
2013-04-30 00:00:00+00:00,0.01207221803515579
2013-05-31 00:00:00+00:00,-0.0017253765169218394
2013-06-30 00:00:00+00:00,0.00288577537631185
2013-07-31 00:00:00+00:00,0.011752368741675623
2013-08-31 00:00:00+00:00,0.003436609294787285
2013-09-30 00:00:00+00:00,-0.0017028808024686093
2013-10-31 00:00:00+00:00,-0.0013195971828657838
2013-11-30 00:00:00+00:00,0.011888705192901083
2013-12-31 00:00:00+00:00,0.0022567617897992776
2014-01-31 00:00:00+00:00,-0.004401129896663414
2014-02-28 00:00:00+00:00,-0.0050313662085693656
2014-03-31 00:00:00+00:00,-0.008438381453874433
2014-04-30 00:00:00+00:00,0.001471068328499081
2014-05-31 00:00:00+00:00,0.004564594507475261
2014-06-30 00:00:00+00:00,0.0006648579394701315
2014-07-31 00:00:00+00:00,-0.005740854769755721
2014-08-31 00:00:00+00:00,0.0011082096650771867
2014-09-30 00:00:00+00:00,-0.015358216477970754
2014-10-31 00:00:00+00:00,-0.005926634942549525
2014-11-30 00:00:00+00:00,0.007074392065475443
2014-12-31 00:00:00+00:00,0.008360095751910102
2015-01-31 00:00:00+00:00,0.03609526913081007
2015-02-28 00:00:00+00:00,-0.0005641669508312797
2015-03-31 00:00:00+00:00,-0.006825412973144096
2015-04-30 00:00:00+00:00,0.012146609054285662
2015-05-31 00:00:00+00:00,-0.0052802668413231
2015-06-30 00:00:00+00:00,0.008901575896891778
2015-07-31 00:00:00+00:00,0.009599735992102731
