time,ai_threats_usd
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,-0.004590113321163769
2012-01-31 00:00:00+00:00,0.00045077433264650857
2012-02-29 00:00:00+00:00,-0.000953665280337801
2012-03-31 00:00:00+00:00,-0.0055362276211626815
2012-04-30 00:00:00+00:00,0.0013857803280252767
2012-05-31 00:00:00+00:00,0.0024719050110248997
2012-06-30 00:00:00+00:00,-0.002153946053085276
2012-07-31 00:00:00+00:00,-0.0002226461644715405
2012-08-31 00:00:00+00:00,0.0002475865962039414
2012-09-30 00:00:00+00:00,-0.0016417124092579227
2012-10-31 00:00:00+00:00,-0.002165361892515927
2012-11-30 00:00:00+00:00,0.000986871250803656
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0007302455417810272
2013-03-31 00:00:00+00:00,-0.0012708574725472932
2013-04-30 00:00:00+00:00,-0.00742943888844072
2013-05-31 00:00:00+00:00,0.007574631077833516
2013-06-30 00:00:00+00:00,0.00463267989725602
2013-07-31 00:00:00+00:00,0.002351505750116667
2013-08-31 00:00:00+00:00,-0.004223505074845146
2013-09-30 00:00:00+00:00,-0.011815100377346566
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0002758109150720056
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0010248290615670896
2014-02-28 00:00:00+00:00,-0.0014650412244588962
2014-03-31 00:00:00+00:00,-0.007453656067873959
2014-04-30 00:00:00+00:00,-0.003644094207033488
2014-05-31 00:00:00+00:00,-0.0011437987870589472
2014-06-30 00:00:00+00:00,0.0007687108253824348
2014-07-31 00:00:00+00:00,0.0018121179218779648
2014-08-31 00:00:00+00:00,0.0014939491361545265
2014-09-30 00:00:00+00:00,0.015892163739680276
2014-10-31 00:00:00+00:00,0.0028248635668237654
2014-11-30 00:00:00+00:00,0.0014514589314920112
2014-12-31 00:00:00+00:00,0.00027328099439749565
2015-01-31 00:00:00+00:00,0.003020971035640141
2015-02-28 00:00:00+00:00,0.0018306527458564759
2015-03-31 00:00:00+00:00,0.005614537589680335
2015-04-30 00:00:00+00:00,-0.0014306393282564889
2015-05-31 00:00:00+00:00,0.0033963127590797004
2015-06-30 00:00:00+00:00,-0.005058644471836349
2015-07-31 00:00:00+00:00,0.0020103082918145887
2015-08-31 00:00:00+00:00,0.0017530328521342398
2015-09-30 00:00:00+00:00,0.0016538419716229935
2015-10-31 00:00:00+00:00,-0.0016775903885251076
2015-11-30 00:00:00+00:00,0.0012544896662090022
2015-12-31 00:00:00+00:00,0.0006266005518615891
2016-01-31 00:00:00+00:00,-0.0022861910602530733
2016-02-29 00:00:00+00:00,0.0
2016-03-31 00:00:00+00:00,0.003459538850564048
2016-04-30 00:00:00+00:00,0.0
2016-05-31 00:00:00+00:00,0.0
2016-06-30 00:00:00+00:00,-0.0023751860460472507
2016-07-31 00:00:00+00:00,-0.0007245747598952912
2016-08-31 00:00:00+00:00,0.0
2016-09-30 00:00:00+00:00,0.0034757459618706132
2016-10-31 00:00:00+00:00,0.00202764330769889
2016-11-30 00:00:00+00:00,0.00017066691777589682
2016-12-31 00:00:00+00:00,0.016772805637381705
2017-01-31 00:00:00+00:00,-0.0006378640539400626
2017-02-28 00:00:00+00:00,-0.0033841392687855576
2017-03-31 00:00:00+00:00,0.000444328024604701
2017-04-30 00:00:00+00:00,-0.0013262603680460616
2017-05-31 00:00:00+00:00,-0.002916386136696425
2017-06-30 00:00:00+00:00,-0.003281767325038154
2017-07-31 00:00:00+00:00,0.0006377831861335004
2017-08-31 00:00:00+00:00,0.00546108430064951
2017-09-30 00:00:00+00:00,-0.0028557923089320703
