time,uip_st_xs
2011-10-31 00:00:00+00:00,0.02937759173732135
2011-11-30 00:00:00+00:00,-0.01622704083579729
2011-12-31 00:00:00+00:00,0.011407645748044981
2012-01-31 00:00:00+00:00,0.02112962054214096
2012-02-29 00:00:00+00:00,0.004162388327816791
2012-03-31 00:00:00+00:00,-0.013307836414309437
2012-04-30 00:00:00+00:00,0.0021398298393886517
2012-05-31 00:00:00+00:00,-0.02036935227541281
2012-06-30 00:00:00+00:00,0.017591716934673984
2012-07-31 00:00:00+00:00,0.021571550091280978
2012-08-31 00:00:00+00:00,-0.012613422960811582
2012-09-30 00:00:00+00:00,0.006868866648691352
2012-10-31 00:00:00+00:00,-0.004303665180324101
2012-11-30 00:00:00+00:00,0.0005802756465704828
2012-12-31 00:00:00+00:00,-0.005942378930801295
2013-01-31 00:00:00+00:00,0.004431067285912249
2013-02-28 00:00:00+00:00,0.005864029228129342
2013-03-31 00:00:00+00:00,0.020392538472055133
2013-04-30 00:00:00+00:00,-0.007791242845381019
2013-05-31 00:00:00+00:00,-0.02241200709674318
2013-06-30 00:00:00+00:00,-0.026494846599608324
2013-07-31 00:00:00+00:00,-0.0035462992598228604
2013-08-31 00:00:00+00:00,-0.0053567504410002575
2013-09-30 00:00:00+00:00,0.0208404924569916
2013-10-31 00:00:00+00:00,0.0014146122465119593
2013-11-30 00:00:00+00:00,-0.012781252701281831
2013-12-31 00:00:00+00:00,-0.006474277900937575
2014-01-31 00:00:00+00:00,-0.0003243570233930626
2014-02-28 00:00:00+00:00,0.006589517825459357
2014-03-31 00:00:00+00:00,0.0166424429277523
2014-04-30 00:00:00+00:00,-0.002630659662449353
2014-05-31 00:00:00+00:00,0.0024867637869814274
2014-06-30 00:00:00+00:00,0.007884549092113557
2014-07-31 00:00:00+00:00,-0.004690146452396182
2014-08-31 00:00:00+00:00,-0.0008105819659415259
2014-09-30 00:00:00+00:00,-0.02317202641602223
2014-10-31 00:00:00+00:00,0.004314771022315922
2014-11-30 00:00:00+00:00,-0.00274126683927578
2014-12-31 00:00:00+00:00,0.001419549849100088
2015-01-31 00:00:00+00:00,-0.02668425052414891
2015-02-28 00:00:00+00:00,0.020551897274737163
2015-03-31 00:00:00+00:00,0.006785827032559588
2015-04-30 00:00:00+00:00,-0.006285484617670312
2015-05-31 00:00:00+00:00,-0.017224906006405916
2015-06-30 00:00:00+00:00,-0.01532000198840433
2015-07-31 00:00:00+00:00,-0.006537359272419163
2015-08-31 00:00:00+00:00,-0.02332505430605758
2015-09-30 00:00:00+00:00,0.0015339168894101807
2015-10-31 00:00:00+00:00,0.023055027424654817
2015-11-30 00:00:00+00:00,0.016593552045772952
2015-12-31 00:00:00+00:00,-0.0031987630564018765
2016-01-31 00:00:00+00:00,-0.013992155842981413
2016-02-29 00:00:00+00:00,0.002076541043377844
2016-03-31 00:00:00+00:00,0.01152706823550087
2016-04-30 00:00:00+00:00,0.0024537256617769287
2016-05-31 00:00:00+00:00,-0.007931560549374383
2016-06-30 00:00:00+00:00,0.01658770767678397
2016-07-31 00:00:00+00:00,0.003561265936948388
2016-08-31 00:00:00+00:00,0.0036648919603317065
2016-09-30 00:00:00+00:00,-0.0020328392425165154
2016-10-31 00:00:00+00:00,0.007096526403926884
2016-11-30 00:00:00+00:00,0.009219091463896545
2016-12-31 00:00:00+00:00,-0.01108855401211295
2017-01-31 00:00:00+00:00,0.013966752711819241
2017-02-28 00:00:00+00:00,0.006592491902116082
2017-03-31 00:00:00+00:00,-0.01162958012467663
2017-04-30 00:00:00+00:00,-0.016863507209559647
2017-05-31 00:00:00+00:00,-0.00854482019042846
2017-06-30 00:00:00+00:00,0.008821806616098327
2017-07-31 00:00:00+00:00,0.01175851137504158
2017-08-31 00:00:00+00:00,-0.01662959962032573
2017-09-30 00:00:00+00:00,0.004236854596897155
2017-10-31 00:00:00+00:00,-0.007827593481556816
2017-11-30 00:00:00+00:00,-0.010947015425861184
2017-12-31 00:00:00+00:00,0.011665020795765813
2018-01-31 00:00:00+00:00,-0.0028672100761529817
2018-02-28 00:00:00+00:00,-0.008157971194388769
2018-03-31 00:00:00+00:00,-0.0006517386077354859
2018-04-30 00:00:00+00:00,0.0017548045080444385
2018-05-31 00:00:00+00:00,0.006680562616682595
2018-06-30 00:00:00+00:00,-0.010307225462746095
2018-07-31 00:00:00+00:00,-7.978432891087017e-05
2018-08-31 00:00:00+00:00,-0.0158823427619047
2018-09-30 00:00:00+00:00,0.0023666705151776934
2018-10-31 00:00:00+00:00,0.004950503217145075
2018-11-30 00:00:00+00:00,0.016135687582507163
2018-12-31 00:00:00+00:00,-0.019375477760167237
2019-01-31 00:00:00+00:00,0.01313166920146358
2019-02-28 00:00:00+00:00,0.002358161854534302
2019-03-31 00:00:00+00:00,-0.0028197381923341647
2019-04-30 00:00:00+00:00,-0.0008465262645178662
2019-05-31 00:00:00+00:00,-0.009251234034977185
2019-06-30 00:00:00+00:00,0.004249237189515531
2019-07-31 00:00:00+00:00,0.0018670783125604995
2019-08-31 00:00:00+00:00,-0.01252900647409716
2019-09-30 00:00:00+00:00,0.005216942011223358
2019-10-31 00:00:00+00:00,-0.0006338909158526418
2019-11-30 00:00:00+00:00,0.003832521519757437
2019-12-31 00:00:00+00:00,0.0013153997614823165
2020-01-31 00:00:00+00:00,-0.009551169360490275
2020-02-29 00:00:00+00:00,-0.00949190699681246
2020-03-31 00:00:00+00:00,-0.029308120617087985
2020-04-30 00:00:00+00:00,0.012370950999353925
2020-05-31 00:00:00+00:00,0.0008838758874540886
2020-06-30 00:00:00+00:00,0.007450891744288146
2020-07-31 00:00:00+00:00,-0.004761802314450891
2020-08-31 00:00:00+00:00,0.004921936364249202
2020-09-30 00:00:00+00:00,-0.0017844348484737926
2020-10-31 00:00:00+00:00,-0.005174664996229095
2020-11-30 00:00:00+00:00,0.009736815394400633
2020-12-31 00:00:00+00:00,0.0032094427268731796
2021-01-31 00:00:00+00:00,-0.005897755639090341
2021-02-28 00:00:00+00:00,0.013607561779980681
2021-03-31 00:00:00+00:00,0.007110790554998747
2021-04-30 00:00:00+00:00,-0.002683195833415364
2021-05-31 00:00:00+00:00,0.00041291210902638653
2021-06-30 00:00:00+00:00,-0.0015002265275613214
2021-07-31 00:00:00+00:00,-0.006643260111260596
2021-08-31 00:00:00+00:00,0.00252011129292673
2021-09-30 00:00:00+00:00,0.0028111721174417514
2021-10-31 00:00:00+00:00,0.009385528713125924
2021-11-30 00:00:00+00:00,-0.009180573394073188
2021-12-31 00:00:00+00:00,-0.0033529821270466
2022-01-31 00:00:00+00:00,-0.0021106580253522633
2022-02-28 00:00:00+00:00,0.003570663606104807
2022-03-31 00:00:00+00:00,0.015477712268980426
2022-04-30 00:00:00+00:00,-0.0034938659884778955
