time,cli_chg_xs
2011-10-31 00:00:00+00:00,0.004280994387946491
2011-11-30 00:00:00+00:00,0.007138904334164087
2011-12-31 00:00:00+00:00,0.015050300330452515
2012-01-31 00:00:00+00:00,-0.011490130497462281
2012-02-29 00:00:00+00:00,-0.008052597474555556
2012-03-31 00:00:00+00:00,0.0069436352551162095
2012-04-30 00:00:00+00:00,4.714922121618059e-07
2012-05-31 00:00:00+00:00,0.012193072929267856
2012-06-30 00:00:00+00:00,0.004362913128462376
2012-07-31 00:00:00+00:00,0.011546694377196687
2012-08-31 00:00:00+00:00,-0.008382450220579818
2012-09-30 00:00:00+00:00,-0.0034136870959907695
2012-10-31 00:00:00+00:00,-0.0030476343070591216
2012-11-30 00:00:00+00:00,0.0008053707534390053
2012-12-31 00:00:00+00:00,-0.00306745195061231
2013-01-31 00:00:00+00:00,-0.001971501714946755
2013-02-28 00:00:00+00:00,-0.009285622559386253
2013-03-31 00:00:00+00:00,-0.006264650745084643
2013-04-30 00:00:00+00:00,0.010147727853794697
2013-05-31 00:00:00+00:00,0.008152190133416282
2013-06-30 00:00:00+00:00,0.013308378432137724
2013-07-31 00:00:00+00:00,0.009919041132676165
2013-08-31 00:00:00+00:00,0.004800673322945759
2013-09-30 00:00:00+00:00,0.00016128558920636138
2013-10-31 00:00:00+00:00,0.0009119593682289651
2013-11-30 00:00:00+00:00,0.015701813906116913
2013-12-31 00:00:00+00:00,0.012099544024797293
2014-01-31 00:00:00+00:00,0.011612871365771493
2014-02-28 00:00:00+00:00,-0.002747800472926998
2014-03-31 00:00:00+00:00,-0.007750051007019865
2014-04-30 00:00:00+00:00,-0.001890052863738112
2014-05-31 00:00:00+00:00,-0.003350485135581893
2014-06-30 00:00:00+00:00,-0.003371306693785492
2014-07-31 00:00:00+00:00,-0.0045016507440402975
2014-08-31 00:00:00+00:00,-0.00019860985644959417
2014-09-30 00:00:00+00:00,-0.018156008795684908
2014-10-31 00:00:00+00:00,0.006017682131475688
2014-11-30 00:00:00+00:00,-0.007522496348559504
2014-12-31 00:00:00+00:00,-0.013477762461603149
2015-01-31 00:00:00+00:00,-0.017527334115861715
2015-02-28 00:00:00+00:00,0.005631013798257589
2015-03-31 00:00:00+00:00,0.0004044732436303544
2015-04-30 00:00:00+00:00,0.012975695776826557
2015-05-31 00:00:00+00:00,-0.010012417914727068
2015-06-30 00:00:00+00:00,-0.009556700166233112
2015-07-31 00:00:00+00:00,-0.003942426844109281
2015-08-31 00:00:00+00:00,0.00022156114124971538
2015-09-30 00:00:00+00:00,0.0038559480159781057
2015-10-31 00:00:00+00:00,-0.0032716445396610006
2015-11-30 00:00:00+00:00,-2.3530552551109807e-05
2015-12-31 00:00:00+00:00,0.021430431914610137
2016-01-31 00:00:00+00:00,0.01089724828189853
2016-02-29 00:00:00+00:00,-0.009278840791735687
2016-03-31 00:00:00+00:00,-0.018459077110405175
2016-04-30 00:00:00+00:00,-0.008043864203221007
2016-05-31 00:00:00+00:00,0.018773786884767718
2016-06-30 00:00:00+00:00,0.010570716075434694
2016-07-31 00:00:00+00:00,-0.004483474067957571
2016-08-31 00:00:00+00:00,0.0014919981183296738
2016-09-30 00:00:00+00:00,-0.011551247074012228
2016-10-31 00:00:00+00:00,-0.00621508078703803
2016-11-30 00:00:00+00:00,0.03159141194453108
2016-12-31 00:00:00+00:00,0.004976910876944407
2017-01-31 00:00:00+00:00,0.0027200896448811296
2017-02-28 00:00:00+00:00,-0.0018705819857033346
2017-03-31 00:00:00+00:00,-0.006535354683614769
2017-04-30 00:00:00+00:00,-0.00292092752517481
2017-05-31 00:00:00+00:00,-0.0070236771644248686
2017-06-30 00:00:00+00:00,0.005143804971891486
2017-07-31 00:00:00+00:00,-0.0007282347909707276
2017-08-31 00:00:00+00:00,-0.002854708495585778
2017-09-30 00:00:00+00:00,0.01741180845754209
2017-10-31 00:00:00+00:00,0.005268159193200672
2017-11-30 00:00:00+00:00,0.013226032990074188
2017-12-31 00:00:00+00:00,-0.010005174017560736
2018-01-31 00:00:00+00:00,0.004666686827538236
2018-02-28 00:00:00+00:00,0.017798661711262653
2018-03-31 00:00:00+00:00,0.0017750076618305854
2018-04-30 00:00:00+00:00,-0.007609666611046895
2018-05-31 00:00:00+00:00,0.0042857269407967635
2018-06-30 00:00:00+00:00,0.003263851970438436
2018-07-31 00:00:00+00:00,-0.005677870487152403
2018-08-31 00:00:00+00:00,-0.002179346365017376
2018-09-30 00:00:00+00:00,-0.010833648795910089
2018-10-31 00:00:00+00:00,0.008953570404132583
2018-11-30 00:00:00+00:00,0.00847325365013507
2018-12-31 00:00:00+00:00,-0.003664409892781384
2019-01-31 00:00:00+00:00,0.0037351916834964527
2019-02-28 00:00:00+00:00,-0.005457655119908256
2019-03-31 00:00:00+00:00,0.005767410454860622
2019-04-30 00:00:00+00:00,-0.0021348420555677983
2019-05-31 00:00:00+00:00,0.003856182444635037
2019-06-30 00:00:00+00:00,-0.006898545870278716
2019-07-31 00:00:00+00:00,0.001105293348483194
2019-08-31 00:00:00+00:00,0.0032623398516318236
2019-09-30 00:00:00+00:00,-0.0002354390938898998
2019-10-31 00:00:00+00:00,0.011070716597582964
2019-11-30 00:00:00+00:00,0.0009164691273799708
2019-12-31 00:00:00+00:00,0.006606886440718052
2020-01-31 00:00:00+00:00,-0.007134179626796078
2020-02-29 00:00:00+00:00,-0.006045445404686434
2020-03-31 00:00:00+00:00,-0.02913631455870369
2020-04-30 00:00:00+00:00,0.006947838878333945
2020-05-31 00:00:00+00:00,-0.011919694674400017
2020-06-30 00:00:00+00:00,-0.0021127549680579616
2020-07-31 00:00:00+00:00,-0.01733260493341937
2020-08-31 00:00:00+00:00,-0.002321655741807316
2020-09-30 00:00:00+00:00,-0.003474888585780711
2020-10-31 00:00:00+00:00,0.002645895581929514
2020-11-30 00:00:00+00:00,0.0001779910964454512
2020-12-31 00:00:00+00:00,-0.0004800041964496682
2021-01-31 00:00:00+00:00,-0.0021563598704869014
2021-02-28 00:00:00+00:00,-0.006153999743034655
