idea,params,window,ret,mean_mo,median_mo,pct_pos,top3,gates,p2t,static,daily,n_months,trades,overlap,n_legs
add_gbpjpy_cap15,"{""add_set"": ""corr0.25_n1"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 6}",2026,0.1737902400213378,0.019741151442255744,0.007792291647076732,0.625,0.927455427350258,True,0.07082654928429978,0.05122718899321495,0.02808270446623137,8,138,pure holdout,6
baseline_vt0025,"{""add_set"": ""none"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 5}",holdout_365d,0.21552412271510168,0.01523243086152203,0.010461477464302482,0.75,0.8139578289205267,True,0.06825160423221091,0.024614009146199968,0.030218171652093298,12,146,pure holdout,5
selected,"{""add_set"": ""corr0.25_n3"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 8}",holdout_365d,0.3095637832501159,0.020572631726080187,0.010565294365506683,0.8333333333333334,0.7369021920986946,True,0.046689605210432736,0.009915682505521545,0.02816959180495469,12,236,pure holdout,8
selected_no_recycle,"{""add_set"": ""corr0.25_n3"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 8}",holdout_365d,0.18807382799620198,0.014049236035428828,0.009316402352444908,0.75,0.7076220609091908,True,0.04058092204533973,0.02081686279344649,0.02088106189066675,12,236,pure holdout,8
selected_no_clock,"{""add_set"": ""corr0.25_n3"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 8}",holdout_365d,0.29586484197858653,0.019564120518077672,0.006819939007722486,0.6666666666666666,0.8408685040427317,True,0.044388493110453474,0.00925992867526831,0.029169788524036268,12,236,pure holdout,8
addonly_plain,"{""add_set"": ""corr0.25_n3"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 8}",holdout_365d,0.20184085902784532,0.01486683210119949,0.009735344009310865,0.75,0.7338839286284776,True,0.04681086547304419,0.027062378749586495,0.02356253096327055,12,236,pure holdout,8
locked_clock_recycle,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 5}",holdout_365d,0.2660029271517246,0.017990841781544503,0.0032066823455423332,0.75,0.904078980938793,True,0.052003239308465274,0.009946698354766996,0.035915441715451746,12,146,pure holdout,5
locked_h4_055_cap15,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 5}",holdout_365d,0.24213869327778692,0.016293236370071778,0.0019181176394618138,0.5833333333333334,0.8959362937070561,True,0.054679019961606776,0.009625382170804515,0.03530384046178282,12,146,pure holdout,5
locked_h4_055_k3_cap20,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 5}",holdout_365d,0.2660029271517246,0.017990841781544503,0.0032066823455423332,0.75,0.904078980938793,True,0.052003239308465274,0.009946698354766996,0.035915441715451746,12,146,pure holdout,5
locked_oos_cap15,"{""add_set"": ""none"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 5}",holdout_365d,0.22030805910212958,0.014888558536946503,0.004381422967671411,0.5833333333333334,0.8851527531882415,True,0.06428967890278156,0.021853877542361295,0.035929109606403796,12,146,pure holdout,5
add_gbpjpy_plain,"{""add_set"": ""corr0.25_n1"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 6}",holdout_365d,0.18547207684618106,0.01329688222147965,0.010326582066729095,0.75,0.791822416232684,True,0.06182044247856677,0.03000379960092876,0.02677508748861641,12,149,pure holdout,6
add_gbpjpy_cap15,"{""add_set"": ""corr0.25_n1"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 6}",holdout_365d,0.191073598238777,0.012793275626034098,0.00481243580777424,0.5833333333333334,0.8686082756162498,True,0.06842921864212072,0.03735088787695786,0.03593743573082073,12,149,pure holdout,6
baseline_vt0025,"{""add_set"": ""none"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 5}",roll12_end,0.21552412271510168,0.01523243086152203,0.010461477464302482,0.75,0.8139578289205267,True,0.06825160423221091,0.024614009146199968,0.030218171652093298,12,146,pure holdout,5
selected,"{""add_set"": ""corr0.25_n3"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_end,0.3095637832501159,0.020572631726080187,0.010565294365506683,0.8333333333333334,0.7369021920986946,True,0.046689605210432736,0.009915682505521545,0.02816959180495469,12,236,pure holdout,8
selected_no_recycle,"{""add_set"": ""corr0.25_n3"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_end,0.18807382799620198,0.014049236035428828,0.009316402352444908,0.75,0.7076220609091908,True,0.04058092204533973,0.02081686279344649,0.02088106189066675,12,236,pure holdout,8
selected_no_clock,"{""add_set"": ""corr0.25_n3"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_end,0.29586484197858653,0.019564120518077672,0.006819939007722486,0.6666666666666666,0.8408685040427317,True,0.044388493110453474,0.00925992867526831,0.029169788524036268,12,236,pure holdout,8
addonly_plain,"{""add_set"": ""corr0.25_n3"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 8}",roll12_end,0.20184085902784532,0.01486683210119949,0.009735344009310865,0.75,0.7338839286284776,True,0.04681086547304419,0.027062378749586495,0.02356253096327055,12,236,pure holdout,8
locked_clock_recycle,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 5}",roll12_end,0.2660029271517246,0.017990841781544503,0.0032066823455423332,0.75,0.904078980938793,True,0.052003239308465274,0.009946698354766996,0.035915441715451746,12,146,pure holdout,5
locked_h4_055_cap15,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 5}",roll12_end,0.24213869327778692,0.016293236370071778,0.0019181176394618138,0.5833333333333334,0.8959362937070561,True,0.054679019961606776,0.009625382170804515,0.03530384046178282,12,146,pure holdout,5
locked_h4_055_k3_cap20,"{""add_set"": ""none"", ""clock"": ""h4=0.55"", ""h4_share"": 0.55, ""max_k"": 3, ""recycle_cap"": 2.0, ""vt"": 0.0025, ""n_legs"": 5}",roll12_end,0.2660029271517246,0.017990841781544503,0.0032066823455423332,0.75,0.904078980938793,True,0.052003239308465274,0.009946698354766996,0.035915441715451746,12,146,pure holdout,5
locked_oos_cap15,"{""add_set"": ""none"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 5}",roll12_end,0.22030805910212958,0.014888558536946503,0.004381422967671411,0.5833333333333334,0.8851527531882415,True,0.06428967890278156,0.021853877542361295,0.035929109606403796,12,146,pure holdout,5
add_gbpjpy_plain,"{""add_set"": ""corr0.25_n1"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 6}",roll12_end,0.18547207684618106,0.01329688222147965,0.010326582066729095,0.75,0.791822416232684,True,0.06182044247856677,0.03000379960092876,0.02677508748861641,12,149,pure holdout,6
add_gbpjpy_cap15,"{""add_set"": ""corr0.25_n1"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.5, ""vt"": 0.0025, ""n_legs"": 6}",roll12_end,0.191073598238777,0.012793275626034098,0.00481243580777424,0.5833333333333334,0.8686082756162498,True,0.06842921864212072,0.03735088787695786,0.03593743573082073,12,149,pure holdout,6
baseline_vt0025,"{""add_set"": ""none"", ""clock"": ""oos_sharpe"", ""h4_share"": null, ""max_k"": null, ""recycle_cap"": 1.0, ""vt"": 0.0025, ""n_legs"": 5}",roll12_m6,0.16449332218046808,0.011309149872287835,0.0029890953300992784,0.6666666666666666,0.8020160651091527,True,0.038723675235688884,0.017623940539596223,0.033966165880603076,12,79,mixed,5
