time,value_vix_gpr_stack
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0
2012-01-31 00:00:00+00:00,0.0
2012-02-29 00:00:00+00:00,0.0
2012-03-31 00:00:00+00:00,0.0
2012-04-30 00:00:00+00:00,0.0
2012-05-31 00:00:00+00:00,0.0
2012-06-30 00:00:00+00:00,0.0
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.0
2012-10-31 00:00:00+00:00,0.0
2012-11-30 00:00:00+00:00,0.0
2012-12-31 00:00:00+00:00,0.0
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,0.0
2013-03-31 00:00:00+00:00,0.0
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,0.0
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,0.0
2013-09-30 00:00:00+00:00,0.0
2013-10-31 00:00:00+00:00,0.0
2013-11-30 00:00:00+00:00,0.0
2013-12-31 00:00:00+00:00,0.0
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.0
2014-03-31 00:00:00+00:00,0.0
2014-04-30 00:00:00+00:00,0.0
2014-05-31 00:00:00+00:00,0.0
2014-06-30 00:00:00+00:00,0.0
2014-07-31 00:00:00+00:00,0.0
2014-08-31 00:00:00+00:00,0.0
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.000829088720055271
2014-11-30 00:00:00+00:00,-0.0004111297935950331
2014-12-31 00:00:00+00:00,-0.007188046156496708
2015-01-31 00:00:00+00:00,-0.0026884648910624476
2015-02-28 00:00:00+00:00,-0.0019445476644373016
2015-03-31 00:00:00+00:00,-0.0006098997876677892
2015-04-30 00:00:00+00:00,0.0036439276881310434
2015-05-31 00:00:00+00:00,0.007404603847686042
2015-06-30 00:00:00+00:00,-0.005498305227569
2015-07-31 00:00:00+00:00,0.0018068374596797998
2015-08-31 00:00:00+00:00,-0.011054169838704442
2015-09-30 00:00:00+00:00,0.00029440858362717037
2015-10-31 00:00:00+00:00,0.009391130611878573
2015-11-30 00:00:00+00:00,-0.0006573059436322248
2015-12-31 00:00:00+00:00,0.0015486830926467743
2016-01-31 00:00:00+00:00,0.002797279241975037
2016-02-29 00:00:00+00:00,-0.004755052139687521
2016-03-31 00:00:00+00:00,-0.0050502311209830175
2016-04-30 00:00:00+00:00,0.01749839336196679
2016-05-31 00:00:00+00:00,-0.001148193861754132
2016-06-30 00:00:00+00:00,-0.018435811396639412
2016-07-31 00:00:00+00:00,-0.005099790050465347
2016-08-31 00:00:00+00:00,-0.0012581218575895559
2016-09-30 00:00:00+00:00,-0.004959109259992767
2016-10-31 00:00:00+00:00,-0.011078048542423669
2016-11-30 00:00:00+00:00,0.007728438599346132
2016-12-31 00:00:00+00:00,-0.0013609633540265786
2017-01-31 00:00:00+00:00,-0.005945805463320797
2017-02-28 00:00:00+00:00,0.0037111004263654657
2017-03-31 00:00:00+00:00,0.004053169748349461
2017-04-30 00:00:00+00:00,0.008457505789500663
2017-05-31 00:00:00+00:00,-0.0026365143734745633
2017-06-30 00:00:00+00:00,0.0007471533808665054
2017-07-31 00:00:00+00:00,0.010173431564321378
2017-08-31 00:00:00+00:00,-0.00022392602273912932
2017-09-30 00:00:00+00:00,0.009632559056659495
2017-10-31 00:00:00+00:00,-0.0059507263699735136
2017-11-30 00:00:00+00:00,-0.006686908524608182
2017-12-31 00:00:00+00:00,0.0046409664383195715
2018-01-31 00:00:00+00:00,-0.0013802336271158122
2018-02-28 00:00:00+00:00,-0.0011687631190403502
