idea,tag,params,n_legs,score,raw_min_mo,avg_pct_pos,avg_top3,vt,chi,wm,symbols
lock_plus4|oos_sharpe|vt0.004|hi2.0,lock_plus4,n=9|w=oos_sharpe|vt=0.004|chi=2.0|mc=None,9,0.0027916144185797303,0.005387841883661734,0.7386363636363636,0.6140767681136783,0.004,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD|EURCHF
lock_plus4|oos_sharpe|vt0.005|hi2.0,lock_plus4,n=9|w=oos_sharpe|vt=0.005|chi=2.0|mc=None,9,0.0027916144185797303,0.005387841883661734,0.7386363636363636,0.6140767681136783,0.005,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD|EURCHF
mr_n5|equal|vt0.0025|hi3.0,mr_n5,n=5|w=equal|vt=0.0025|chi=3.0|mc=None,5,0.002750771601711654,0.005565423363576138,0.7386363636363636,0.6203662940466121,0.0025,3.0,equal,GBPCAD|CADJPY|AUDCAD|EURUSD|USDCHF
lock_plus4|oos_sharpe|vt0.002|hi2.0,lock_plus4,n=9|w=oos_sharpe|vt=0.002|chi=2.0|mc=None,9,0.002713895157717032,0.005342746269750156,0.7386363636363636,0.6157212778008281,0.002,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD|EURCHF
lock_plus3|oos_sharpe|vt0.003|hi2.0,lock_plus3,n=8|w=oos_sharpe|vt=0.003|chi=2.0|mc=None,8,0.0026285291269272856,0.005419803245941435,0.7386363636363636,0.6197818529753538,0.003,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD
lock_plus3|oos_sharpe|vt0.0035|hi2.0,lock_plus3,n=8|w=oos_sharpe|vt=0.0035|chi=2.0|mc=None,8,0.0026285291269272856,0.005419803245941435,0.7386363636363636,0.6197818529753538,0.0035,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD
lock_plus3|oos_sharpe|vt0.004|hi2.0,lock_plus3,n=8|w=oos_sharpe|vt=0.004|chi=2.0|mc=None,8,0.0026285291269272856,0.005419803245941435,0.7386363636363636,0.6197818529753538,0.004,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD
lock_plus3|oos_sharpe|vt0.005|hi2.0,lock_plus3,n=8|w=oos_sharpe|vt=0.005|chi=2.0|mc=None,8,0.0026285291269272856,0.005419803245941435,0.7386363636363636,0.6197818529753538,0.005,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD
lock_plus3|oos_sharpe|vt0.0025|hi2.0,lock_plus3,n=8|w=oos_sharpe|vt=0.0025|chi=2.0|mc=None,8,0.0025999870680909498,0.005419803245941435,0.7386363636363636,0.6204954044462622,0.0025,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD
lock_plus3|oos_sharpe|vt0.002|hi2.0,lock_plus3,n=8|w=oos_sharpe|vt=0.002|chi=2.0|mc=None,8,0.002459644054601559,0.0053590022512347985,0.7386363636363636,0.622483954915831,0.002,2.0,oos_sharpe,USDCHF|GBPUSD|CADJPY|AUDCAD|GBPCAD|EURUSD|GBPJPY|NZDCAD
