time,high_ival_xs
2011-10-31 00:00:00+00:00,-0.0032482862303236937
2011-11-30 00:00:00+00:00,-0.0017364798518051394
2011-12-31 00:00:00+00:00,0.00032313566354602585
2012-01-31 00:00:00+00:00,0.00879217092009621
2012-02-29 00:00:00+00:00,-0.005375920966690817
2012-03-31 00:00:00+00:00,-0.0013638041875095874
2012-04-30 00:00:00+00:00,0.006027992834493512
2012-05-31 00:00:00+00:00,-0.008561325198604863
2012-06-30 00:00:00+00:00,-0.007756054062883488
2012-07-31 00:00:00+00:00,0.01108625789990847
2012-08-31 00:00:00+00:00,0.008573329049680778
2012-09-30 00:00:00+00:00,-0.0009073197345448314
2012-10-31 00:00:00+00:00,-0.002155131702853863
2012-11-30 00:00:00+00:00,0.0018360874553744466
2012-12-31 00:00:00+00:00,0.006615242610277017
2013-01-31 00:00:00+00:00,0.00814816556763831
2013-02-28 00:00:00+00:00,-0.009914470938186204
2013-03-31 00:00:00+00:00,0.011257167279488556
2013-04-30 00:00:00+00:00,0.006494711022991817
2013-05-31 00:00:00+00:00,-0.005316958082268397
2013-06-30 00:00:00+00:00,-0.020578377701831907
2013-07-31 00:00:00+00:00,-0.008292534487375103
2013-08-31 00:00:00+00:00,-0.012973260368461803
2013-09-30 00:00:00+00:00,-0.005687027768536579
2013-10-31 00:00:00+00:00,-0.0015821626616759898
2013-11-30 00:00:00+00:00,-0.010875835128515532
2013-12-31 00:00:00+00:00,-0.0005374242599928136
2014-01-31 00:00:00+00:00,-0.001369481296134012
2014-02-28 00:00:00+00:00,-0.005871765390146999
2014-03-31 00:00:00+00:00,-0.0001998552664194131
2014-04-30 00:00:00+00:00,-0.0008926048404125364
2014-05-31 00:00:00+00:00,-1.9656270376033902e-05
2014-06-30 00:00:00+00:00,0.0051660308685408385
2014-07-31 00:00:00+00:00,0.0045691174001118995
2014-08-31 00:00:00+00:00,0.004986574759022311
2014-09-30 00:00:00+00:00,-0.016575895206497382
2014-10-31 00:00:00+00:00,0.0007967432770612515
2014-11-30 00:00:00+00:00,-0.0025008752871557016
2014-12-31 00:00:00+00:00,-0.012504575357754733
2015-01-31 00:00:00+00:00,-0.044466560440203584
2015-02-28 00:00:00+00:00,-0.01648860949586828
2015-03-31 00:00:00+00:00,-0.010545465649835828
2015-04-30 00:00:00+00:00,0.0024861952685963917
2015-05-31 00:00:00+00:00,0.005574716512050548
2015-06-30 00:00:00+00:00,-0.006998810294977065
2015-07-31 00:00:00+00:00,-0.0071034384365233905
2015-08-31 00:00:00+00:00,-0.001915480390290214
2015-09-30 00:00:00+00:00,-0.012203319117343181
2015-10-31 00:00:00+00:00,-0.007925164428519094
2015-11-30 00:00:00+00:00,-0.01326906957078533
2015-12-31 00:00:00+00:00,-0.002297986267438823
2016-01-31 00:00:00+00:00,0.02197357183581472
2016-02-29 00:00:00+00:00,-0.005322034257482788
2016-03-31 00:00:00+00:00,0.015010344263530984
2016-04-30 00:00:00+00:00,0.004771407310923292
2016-05-31 00:00:00+00:00,0.014156533249405356
2016-06-30 00:00:00+00:00,-0.03045229549811057
2016-07-31 00:00:00+00:00,0.002426693980305039
2016-08-31 00:00:00+00:00,-0.0025107228668477255
2016-09-30 00:00:00+00:00,-0.002295017455309467
2016-10-31 00:00:00+00:00,0.011127437920740224
2016-11-30 00:00:00+00:00,-0.012006755857581264
2016-12-31 00:00:00+00:00,-0.004541553765311956
2017-01-31 00:00:00+00:00,0.009529218122841465
2017-02-28 00:00:00+00:00,0.0014330370816906246
2017-03-31 00:00:00+00:00,0.012249592002005594
2017-04-30 00:00:00+00:00,-0.0015034666885983539
2017-05-31 00:00:00+00:00,-0.006006482667509139
2017-06-30 00:00:00+00:00,-0.005288404656877632
2017-07-31 00:00:00+00:00,0.003667383565618243
2017-08-31 00:00:00+00:00,-0.008791382279264792
2017-09-30 00:00:00+00:00,-0.004436496216277952
2017-10-31 00:00:00+00:00,0.004515495731793662
2017-11-30 00:00:00+00:00,-0.004050202004095449
2017-12-31 00:00:00+00:00,-0.012300494000142659
2018-01-31 00:00:00+00:00,0.0038649838716349194
2018-02-28 00:00:00+00:00,0.0046041835141037435
2018-03-31 00:00:00+00:00,-0.0015453030343755003
2018-04-30 00:00:00+00:00,0.003955556093811596
2018-05-31 00:00:00+00:00,0.0023441663565781923
2018-06-30 00:00:00+00:00,0.004047402984535431
2018-07-31 00:00:00+00:00,0.0001493197467465901
2018-08-31 00:00:00+00:00,-0.013266501911252337
2018-09-30 00:00:00+00:00,-0.008178492501417667
2018-10-31 00:00:00+00:00,-0.0023427456240447952
