time,high_cu_xs
2011-10-31 00:00:00+00:00,0.02026571112875608
2011-11-30 00:00:00+00:00,-0.015198179265521805
2011-12-31 00:00:00+00:00,0.0005044607351287755
2012-01-31 00:00:00+00:00,0.00057935829400102
2012-02-29 00:00:00+00:00,0.002138491219781269
2012-03-31 00:00:00+00:00,-0.007867818434535434
2012-04-30 00:00:00+00:00,-0.0018889325511282085
2012-05-31 00:00:00+00:00,-0.018356198663170176
2012-06-30 00:00:00+00:00,0.009157062529909554
2012-07-31 00:00:00+00:00,0.016898124743769616
2012-08-31 00:00:00+00:00,-0.007224243704201827
2012-09-30 00:00:00+00:00,0.011068133040818218
2012-10-31 00:00:00+00:00,0.0010642681401231702
2012-11-30 00:00:00+00:00,-0.001110241523744282
2012-12-31 00:00:00+00:00,-0.0017097648471521287
2013-01-31 00:00:00+00:00,0.0010840028970580118
2013-02-28 00:00:00+00:00,0.0010955545119413213
2013-03-31 00:00:00+00:00,0.008296651596297888
2013-04-30 00:00:00+00:00,-0.0009470240582629685
2013-05-31 00:00:00+00:00,-0.02630721195208119
2013-06-30 00:00:00+00:00,-0.01682578919931743
2013-07-31 00:00:00+00:00,-0.011392891661850646
2013-08-31 00:00:00+00:00,0.0008997040461915518
2013-09-30 00:00:00+00:00,0.016925732752062883
2013-10-31 00:00:00+00:00,-0.007698434282773503
2013-11-30 00:00:00+00:00,0.011155571269867437
2013-12-31 00:00:00+00:00,-0.007172731307660163
2014-01-31 00:00:00+00:00,-0.015215679888997191
2014-02-28 00:00:00+00:00,0.002478517277388903
2014-03-31 00:00:00+00:00,0.0014080650341774525
2014-04-30 00:00:00+00:00,0.003065303265998409
2014-05-31 00:00:00+00:00,0.012110763399989954
2014-06-30 00:00:00+00:00,0.00163336682781412
2014-07-31 00:00:00+00:00,-0.004969763970503305
2014-08-31 00:00:00+00:00,-0.0014153453929990345
2014-09-30 00:00:00+00:00,0.008159194077634657
2014-10-31 00:00:00+00:00,0.0037798331110985295
2014-11-30 00:00:00+00:00,0.00329723036794749
2014-12-31 00:00:00+00:00,-0.0013234213251192006
2015-01-31 00:00:00+00:00,-0.030759211961227106
2015-02-28 00:00:00+00:00,0.005132948991564579
2015-03-31 00:00:00+00:00,-0.013845839485296607
2015-04-30 00:00:00+00:00,0.009712052676328353
2015-05-31 00:00:00+00:00,-0.004357564942807257
2015-06-30 00:00:00+00:00,0.013365822632813495
2015-07-31 00:00:00+00:00,0.004900813145066074
2015-08-31 00:00:00+00:00,0.019908288488229342
2015-09-30 00:00:00+00:00,0.0021609487202447486
2015-10-31 00:00:00+00:00,0.003235819754811242
2015-11-30 00:00:00+00:00,-0.0037670955587739696
2015-12-31 00:00:00+00:00,0.010277450690898027
2016-01-31 00:00:00+00:00,-0.010692478100630343
2016-02-29 00:00:00+00:00,-0.006706010441106747
2016-03-31 00:00:00+00:00,-0.009332189989808448
2016-04-30 00:00:00+00:00,-0.0008047490653755318
2016-05-31 00:00:00+00:00,0.008480563577371258
2016-06-30 00:00:00+00:00,-0.013965352947688081
2016-07-31 00:00:00+00:00,0.00040302981081774547
2016-08-31 00:00:00+00:00,0.005288310577727939
2016-09-30 00:00:00+00:00,-0.005811174874258085
2016-10-31 00:00:00+00:00,-0.011707525940527708
2016-11-30 00:00:00+00:00,0.008986356395697337
2016-12-31 00:00:00+00:00,-0.003632716275251191
2017-01-31 00:00:00+00:00,-0.0027367887915550337
2017-02-28 00:00:00+00:00,0.007925296031513263
2017-03-31 00:00:00+00:00,0.0005665166447315073
2017-04-30 00:00:00+00:00,0.0034782175895089473
2017-05-31 00:00:00+00:00,0.005665533210900353
2017-06-30 00:00:00+00:00,5.816196289898379e-05
2017-07-31 00:00:00+00:00,-0.0012893437671520624
2017-08-31 00:00:00+00:00,-0.004032604970213405
2017-09-30 00:00:00+00:00,0.0166994671990901
2017-10-31 00:00:00+00:00,-0.008569536712552006
2017-11-30 00:00:00+00:00,-0.0007463299689528524
2017-12-31 00:00:00+00:00,0.0007047532881230278
2018-01-31 00:00:00+00:00,-0.005639917294178787
2018-02-28 00:00:00+00:00,-0.0022381775533383275
2018-03-31 00:00:00+00:00,-0.004631163757297885
2018-04-30 00:00:00+00:00,0.005559417305375902
2018-05-31 00:00:00+00:00,0.004287160834674175
2018-06-30 00:00:00+00:00,-0.007278369969886289
