time,curve_slope_xs
2011-10-31 00:00:00+00:00,-0.004300136626335216
2011-11-30 00:00:00+00:00,-0.007149186819394915
2011-12-31 00:00:00+00:00,-0.010601026783249812
2012-01-31 00:00:00+00:00,0.007798404852867202
2012-02-29 00:00:00+00:00,0.00042821227195988243
2012-03-31 00:00:00+00:00,0.009252804696062267
2012-04-30 00:00:00+00:00,0.0023465846952630542
2012-05-31 00:00:00+00:00,0.004211878005987213
2012-06-30 00:00:00+00:00,-0.005929592635034564
2012-07-31 00:00:00+00:00,-0.00832410146016982
2012-08-31 00:00:00+00:00,0.006988627660316826
2012-09-30 00:00:00+00:00,0.005132513813041584
2012-10-31 00:00:00+00:00,-0.0009848135236416589
2012-11-30 00:00:00+00:00,-0.0029952427311461527
2012-12-31 00:00:00+00:00,0.002990445183872925
2013-01-31 00:00:00+00:00,-0.0002809005115350649
2013-02-28 00:00:00+00:00,-0.008546840875161776
2013-03-31 00:00:00+00:00,-0.008190157354070138
2013-04-30 00:00:00+00:00,0.013626424834069617
2013-05-31 00:00:00+00:00,0.010169760164946418
2013-06-30 00:00:00+00:00,0.01330837843213728
2013-07-31 00:00:00+00:00,0.009919041132676387
2013-08-31 00:00:00+00:00,0.003436609294787285
2013-09-30 00:00:00+00:00,0.0054758673777643985
2013-10-31 00:00:00+00:00,-0.0028144023231910786
2013-11-30 00:00:00+00:00,0.002514838090600602
2013-12-31 00:00:00+00:00,0.0009747921824123651
2014-01-31 00:00:00+00:00,-9.959753718435937e-05
2014-02-28 00:00:00+00:00,0.0017605686901016604
2014-03-31 00:00:00+00:00,-0.00022413302278045943
2014-04-30 00:00:00+00:00,0.0036999183289105897
2014-05-31 00:00:00+00:00,-0.002001559067899228
2014-06-30 00:00:00+00:00,0.004259715378859497
2014-07-31 00:00:00+00:00,-0.002717245894449438
2014-08-31 00:00:00+00:00,-0.006487986735780549
2014-09-30 00:00:00+00:00,-0.005616798289340363
2014-10-31 00:00:00+00:00,-0.0030436422255685214
2014-11-30 00:00:00+00:00,-0.0049528875700805
2014-12-31 00:00:00+00:00,-0.0022448801286855113
2015-01-31 00:00:00+00:00,-0.007059867987720625
2015-02-28 00:00:00+00:00,0.011969377814115889
2015-03-31 00:00:00+00:00,-0.011961950807970356
2015-04-30 00:00:00+00:00,0.00490286660209005
2015-05-31 00:00:00+00:00,0.02201172920732919
2015-06-30 00:00:00+00:00,0.01792212960159989
2015-07-31 00:00:00+00:00,0.009475530067693194
2015-08-31 00:00:00+00:00,0.011682370126169461
2015-09-30 00:00:00+00:00,-0.006619333889793078
2015-10-31 00:00:00+00:00,-0.012828721119041209
2015-11-30 00:00:00+00:00,-0.0074257250083079596
2015-12-31 00:00:00+00:00,-0.007355856510239844
2016-01-31 00:00:00+00:00,-0.004481204527655769
2016-02-29 00:00:00+00:00,-0.01302010421148736
2016-03-31 00:00:00+00:00,0.0015390768950998002
2016-04-30 00:00:00+00:00,0.005771027511371818
2016-05-31 00:00:00+00:00,-7.694982950845475e-05
2016-06-30 00:00:00+00:00,-0.028286247826975086
2016-07-31 00:00:00+00:00,-0.005187736288921885
2016-08-31 00:00:00+00:00,-0.002359143481005632
2016-09-30 00:00:00+00:00,0.005275606922496179
2016-10-31 00:00:00+00:00,-0.0010939150748944249
2016-11-30 00:00:00+00:00,0.005521019832087193
2016-12-31 00:00:00+00:00,0.002904418145905918
2017-01-31 00:00:00+00:00,-0.0034285355560143005
2017-02-28 00:00:00+00:00,-0.003023441931467863
2017-03-31 00:00:00+00:00,-0.0081062328399929
2017-04-30 00:00:00+00:00,-0.0020172936024004384
2017-05-31 00:00:00+00:00,0.007587465092870227
