,USD,EUR,GBP,JPY,CAD,AUD,CHF,NZD
1955-04-01 00:00:00+00:00,6.170198652620407,,,,,,,
1955-05-01 00:00:00+00:00,6.170198652620407,,,,,,,
1955-06-01 00:00:00+00:00,6.170198652620407,,,,,,,
1955-07-01 00:00:00+00:00,7.78024122522416,,,,,,,
1955-08-01 00:00:00+00:00,7.78024122522416,,,,,,,
1955-09-01 00:00:00+00:00,7.78024122522416,,,,,,,
1955-10-01 00:00:00+00:00,8.01591534699757,,,,,,,
1955-11-01 00:00:00+00:00,8.01591534699757,,,,,,,
1955-12-01 00:00:00+00:00,8.01591534699757,,,,,,,
1956-01-01 00:00:00+00:00,6.579017157473288,,,,,,,
1956-02-01 00:00:00+00:00,6.579017157473288,,,,,,,
1956-03-01 00:00:00+00:00,6.579017157473288,,,,,,,
1956-04-01 00:00:00+00:00,3.2169536930857223,,2.4048343852179244,,,,,
1956-05-01 00:00:00+00:00,3.2169536930857223,,2.4048343852179244,,,,,
1956-06-01 00:00:00+00:00,3.2169536930857223,,2.4048343852179244,,,,,
1956-07-01 00:00:00+00:00,2.4034581040155656,,2.2562537938839666,,,,,
1956-08-01 00:00:00+00:00,2.4034581040155656,,2.2562537938839666,,,,,
1956-09-01 00:00:00+00:00,2.4034581040155656,,2.2562537938839666,,,,,
1956-10-01 00:00:00+00:00,0.9479719903271011,,0.45271800030948217,,,,,
1956-11-01 00:00:00+00:00,0.9479719903271011,,0.45271800030948217,,,,,
1956-12-01 00:00:00+00:00,0.9479719903271011,,0.45271800030948217,,,,,
1957-01-01 00:00:00+00:00,1.9968256800221962,,1.6911479871556834,,,,,
1957-02-01 00:00:00+00:00,1.9968256800221962,,1.6911479871556834,,,,,
1957-03-01 00:00:00+00:00,1.9968256800221962,,1.6911479871556834,,,,,
1957-04-01 00:00:00+00:00,3.049755556654521,,2.2664563231083568,,,,,
1957-05-01 00:00:00+00:00,3.049755556654521,,2.2664563231083568,,,,,
1957-06-01 00:00:00+00:00,3.049755556654521,,2.2664563231083568,,,,,
1957-07-01 00:00:00+00:00,1.9809816112854817,,2.31800314434929,,,,,
1957-08-01 00:00:00+00:00,1.9809816112854817,,2.31800314434929,,,,,
1957-09-01 00:00:00+00:00,1.9809816112854817,,2.31800314434929,,,,,
1957-10-01 00:00:00+00:00,3.0727752588546986,,1.7993475589912267,,,,,
1957-11-01 00:00:00+00:00,3.0727752588546986,,1.7993475589912267,,,,,
1957-12-01 00:00:00+00:00,3.0727752588546986,,1.7993475589912267,,,,,
1958-01-01 00:00:00+00:00,0.3546985440340933,,1.5039403639005355,,,,,
1958-02-01 00:00:00+00:00,0.3546985440340933,,1.5039403639005355,,,,,
1958-03-01 00:00:00+00:00,0.3546985440340933,,1.5039403639005355,,,,,
1958-04-01 00:00:00+00:00,-2.872290151724388,,1.8289120169077133,,,,,
1958-05-01 00:00:00+00:00,-2.872290151724388,,1.8289120169077133,,,,,
1958-06-01 00:00:00+00:00,-2.872290151724388,,1.8289120169077133,,,,,
1958-07-01 00:00:00+00:00,-2.0195448352779644,,-0.6750500942526161,,,,,
1958-08-01 00:00:00+00:00,-2.0195448352779644,,-0.6750500942526161,,,,,
1958-09-01 00:00:00+00:00,-2.0195448352779644,,-0.6750500942526161,,,,,
1958-10-01 00:00:00+00:00,-0.7259560538199872,,2.121712668393383,,,,,
1958-11-01 00:00:00+00:00,-0.7259560538199872,,2.121712668393383,,,,,
1958-12-01 00:00:00+00:00,-0.7259560538199872,,2.121712668393383,,,,,
1959-01-01 00:00:00+00:00,2.657328817722271,,2.0973678923163597,,,,,
1959-02-01 00:00:00+00:00,2.657328817722271,,2.0973678923163597,,,,,
1959-03-01 00:00:00+00:00,2.657328817722271,,2.0973678923163597,,,,,
1959-04-01 00:00:00+00:00,7.41510618608312,,0.5750498555130656,,,,,
1959-05-01 00:00:00+00:00,7.41510618608312,,0.5750498555130656,,,,,
1959-06-01 00:00:00+00:00,7.41510618608312,,0.5750498555130656,,,,,
1959-07-01 00:00:00+00:00,9.11883397027542,,4.779944085640153,,,,,
1959-08-01 00:00:00+00:00,9.11883397027542,,4.779944085640153,,,,,
1959-09-01 00:00:00+00:00,9.11883397027542,,4.779944085640153,,,,,
1959-10-01 00:00:00+00:00,6.726222832695439,,4.7227129032245685,,,,,
1959-11-01 00:00:00+00:00,6.726222832695439,,4.7227129032245685,,,,,
1959-12-01 00:00:00+00:00,6.726222832695439,,4.7227129032245685,,,,,
1960-01-01 00:00:00+00:00,4.584935700624793,,7.029708097881615,,,,,
1960-02-01 00:00:00+00:00,4.584935700624793,,7.029708097881615,,,,,
1960-03-01 00:00:00+00:00,4.584935700624793,,7.029708097881615,,,,,
1960-04-01 00:00:00+00:00,4.923796233552125,,9.045631952169565,,,,,
1960-05-01 00:00:00+00:00,4.923796233552125,,9.045631952169565,,,,,
1960-06-01 00:00:00+00:00,4.923796233552125,,9.045631952169565,,,,,
1960-07-01 00:00:00+00:00,2.059097332343973,,6.600541396587678,,,,,
1960-08-01 00:00:00+00:00,2.059097332343973,,6.600541396587678,,,,,
1960-09-01 00:00:00+00:00,2.059097332343973,,6.600541396587678,,,,,
1960-10-01 00:00:00+00:00,2.4876554730871137,,5.926475104229523,,,,,
1960-11-01 00:00:00+00:00,2.4876554730871137,,5.926475104229523,,,,,
1960-12-01 00:00:00+00:00,2.4876554730871137,,5.926475104229523,,,,,
1961-01-01 00:00:00+00:00,0.8851013393141871,,3.881500022844886,,,,,
1961-02-01 00:00:00+00:00,0.8851013393141871,,3.881500022844886,,,,,
1961-03-01 00:00:00+00:00,0.8851013393141871,,3.881500022844886,,,,,
1961-04-01 00:00:00+00:00,-0.6675232254102159,,3.0301961711153957,,,3.076266536608996,,
1961-05-01 00:00:00+00:00,-0.6675232254102159,,3.0301961711153957,,,3.076266536608996,,
1961-06-01 00:00:00+00:00,-0.6675232254102159,,3.0301961711153957,,,3.076266536608996,,
1961-07-01 00:00:00+00:00,1.565784675156423,,4.158676025244334,,,-0.7702624114325762,,
1961-08-01 00:00:00+00:00,1.565784675156423,,4.158676025244334,,,-0.7702624114325762,,
1961-09-01 00:00:00+00:00,1.565784675156423,,4.158676025244334,,,-0.7702624114325762,,
1961-10-01 00:00:00+00:00,3.0115335707234347,,2.1488316971192134,,,-1.707600123155728,,
1961-11-01 00:00:00+00:00,3.0115335707234347,,2.1488316971192134,,,-1.707600123155728,,
1961-12-01 00:00:00+00:00,3.0115335707234347,,2.1488316971192134,,,-1.707600123155728,,
1962-01-01 00:00:00+00:00,6.397499051364797,,1.3841352416152253,,,-0.3844328429045363,,
1962-02-01 00:00:00+00:00,6.397499051364797,,1.3841352416152253,,,-0.3844328429045363,,
1962-03-01 00:00:00+00:00,6.397499051364797,,1.3841352416152253,,,-0.3844328429045363,,
1962-04-01 00:00:00+00:00,7.5691608384994336,,0.16659438226822587,,9.28877812967366,2.0996474958004496,,
1962-05-01 00:00:00+00:00,7.5691608384994336,,0.16659438226822587,,9.28877812967366,2.0996474958004496,,
1962-06-01 00:00:00+00:00,7.5691608384994336,,0.16659438226822587,,9.28877812967366,2.0996474958004496,,
1962-07-01 00:00:00+00:00,6.7302726238879895,,0.7057860976869446,,7.436926824328327,5.216008037509079,,
1962-08-01 00:00:00+00:00,6.7302726238879895,,0.7057860976869446,,7.436926824328327,5.216008037509079,,
1962-09-01 00:00:00+00:00,6.7302726238879895,,0.7057860976869446,,7.436926824328327,5.216008037509079,,
1962-10-01 00:00:00+00:00,6.006872773535221,,1.792423720197256,,6.226028026779917,6.8309960965733385,,
1962-11-01 00:00:00+00:00,6.006872773535221,,1.792423720197256,,6.226028026779917,6.8309960965733385,,
1962-12-01 00:00:00+00:00,6.006872773535221,,1.792423720197256,,6.226028026779917,6.8309960965733385,,
1963-01-01 00:00:00+00:00,4.309846776579329,,1.6387439728216213,,6.856676744707557,7.506312830530004,,
1963-02-01 00:00:00+00:00,4.309846776579329,,1.6387439728216213,,6.856676744707557,7.506312830530004,,
1963-03-01 00:00:00+00:00,4.309846776579329,,1.6387439728216213,,6.856676744707557,7.506312830530004,,
1963-04-01 00:00:00+00:00,3.6011098256111262,,1.6660211623955146,,4.74697461822895,7.002421419717364,,
1963-05-01 00:00:00+00:00,3.6011098256111262,,1.6660211623955146,,4.74697461822895,7.002421419717364,,
1963-06-01 00:00:00+00:00,3.6011098256111262,,1.6660211623955146,,4.74697461822895,7.002421419717364,,
1963-07-01 00:00:00+00:00,3.8245860648760788,,5.053155443536417,,5.432440013611006,3.624003910468443,,
1963-08-01 00:00:00+00:00,3.8245860648760788,,5.053155443536417,,5.432440013611006,3.624003910468443,,
1963-09-01 00:00:00+00:00,3.8245860648760788,,5.053155443536417,,5.432440013611006,3.624003910468443,,
1963-10-01 00:00:00+00:00,4.8186973942503375,,4.900569407440147,,4.892183792398241,7.018968356000399,,
1963-11-01 00:00:00+00:00,4.8186973942503375,,4.900569407440147,,4.892183792398241,7.018968356000399,,
1963-12-01 00:00:00+00:00,4.8186973942503375,,4.900569407440147,,4.892183792398241,7.018968356000399,,
1964-01-01 00:00:00+00:00,5.159809819779504,,7.655152206080129,,6.093018569495179,7.383279044517321,,
1964-02-01 00:00:00+00:00,5.159809819779504,,7.655152206080129,,6.093018569495179,7.383279044517321,,
1964-03-01 00:00:00+00:00,5.159809819779504,,7.655152206080129,,6.093018569495179,7.383279044517321,,
1964-04-01 00:00:00+00:00,6.217339685355361,,7.870896868790744,,8.063714753918738,4.770618361358436,,
1964-05-01 00:00:00+00:00,6.217339685355361,,7.870896868790744,,8.063714753918738,4.770618361358436,,
1964-06-01 00:00:00+00:00,6.217339685355361,,7.870896868790744,,8.063714753918738,4.770618361358436,,
1964-07-01 00:00:00+00:00,6.182313565988085,,5.338103147962658,,6.9134966741311255,8.772776638107871,,
1964-08-01 00:00:00+00:00,6.182313565988085,,5.338103147962658,,6.9134966741311255,8.772776638107871,,
1964-09-01 00:00:00+00:00,6.182313565988085,,5.338103147962658,,6.9134966741311255,8.772776638107871,,
1964-10-01 00:00:00+00:00,5.52128548672135,,5.230988065369613,,7.239632055991008,5.125503171827095,,
1964-11-01 00:00:00+00:00,5.52128548672135,,5.230988065369613,,7.239632055991008,5.125503171827095,,
1964-12-01 00:00:00+00:00,5.52128548672135,,5.230988065369613,,7.239632055991008,5.125503171827095,,
1965-01-01 00:00:00+00:00,5.1578128119197375,,4.50975265056508,,4.506996737980895,5.845937970739445,,
1965-02-01 00:00:00+00:00,5.1578128119197375,,4.50975265056508,,4.506996737980895,5.845937970739445,,
1965-03-01 00:00:00+00:00,5.1578128119197375,,4.50975265056508,,4.506996737980895,5.845937970739445,,
1965-04-01 00:00:00+00:00,5.478299928542851,,3.497418778929351,,5.197900527269694,6.937569112159947,,
1965-05-01 00:00:00+00:00,5.478299928542851,,3.497418778929351,,5.197900527269694,6.937569112159947,,
1965-06-01 00:00:00+00:00,5.478299928542851,,3.497418778929351,,5.197900527269694,6.937569112159947,,
1965-07-01 00:00:00+00:00,5.660274870302584,,1.6878368740782301,,5.764936807756249,5.98362143735951,,
