time,gpr_bilat_ew
2011-10-31 00:00:00+00:00,0.0015345265945585496
2011-11-30 00:00:00+00:00,0.007189359417185237
2011-12-31 00:00:00+00:00,0.0002165140342553773
2012-01-31 00:00:00+00:00,-0.005810760857960728
2012-02-29 00:00:00+00:00,-0.00020298895355952418
2012-03-31 00:00:00+00:00,-0.00041492981659152495
2012-04-30 00:00:00+00:00,-0.000611079592513275
2012-05-31 00:00:00+00:00,-0.005067877324993031
2012-06-30 00:00:00+00:00,-0.002085429013166995
2012-07-31 00:00:00+00:00,0.004075787149154353
2012-08-31 00:00:00+00:00,-0.003487190079846436
2012-09-30 00:00:00+00:00,-0.004076474194286139
2012-10-31 00:00:00+00:00,-0.003052791412917699
2012-11-30 00:00:00+00:00,-0.0017746007456328483
2012-12-31 00:00:00+00:00,-0.0012884478721048032
2013-01-31 00:00:00+00:00,0.005094144379973242
2013-02-28 00:00:00+00:00,-0.00788804758815953
2013-03-31 00:00:00+00:00,-0.00023379754317720547
2013-04-30 00:00:00+00:00,0.004239739260403441
2013-05-31 00:00:00+00:00,0.001960556082316822
2013-06-30 00:00:00+00:00,0.00318125816561321
2013-07-31 00:00:00+00:00,-0.007946521017540453
2013-08-31 00:00:00+00:00,-4.6349207448059815e-05
2013-09-30 00:00:00+00:00,0.0027928694370591423
2013-10-31 00:00:00+00:00,-0.00010871503757836631
2013-11-30 00:00:00+00:00,-0.00542177070140859
2013-12-31 00:00:00+00:00,-0.0021039658712498355
2014-01-31 00:00:00+00:00,-0.0069569807738346645
2014-02-28 00:00:00+00:00,-0.001982996773041701
2014-03-31 00:00:00+00:00,-0.00290544160790962
2014-04-30 00:00:00+00:00,0.0005994842756589236
2014-05-31 00:00:00+00:00,0.0024639486979010083
2014-06-30 00:00:00+00:00,0.0025332902717360994
2014-07-31 00:00:00+00:00,0.005827485580175873
2014-08-31 00:00:00+00:00,0.003519280504973077
2014-09-30 00:00:00+00:00,-0.0021049101640675527
