,USD,EUR,GBP,JPY,CAD,AUD
1981-04-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-05-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-06-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-07-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-08-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-09-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-10-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-11-01 00:00:00+00:00,,,-2.836,-4.415,,
1981-12-01 00:00:00+00:00,,,-2.836,-4.415,,
1982-01-01 00:00:00+00:00,,,-2.836,-4.415,,
1982-02-01 00:00:00+00:00,,,-2.836,-4.415,,
1982-03-01 00:00:00+00:00,,,-2.836,-4.415,,
1982-04-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-05-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-06-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-07-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-08-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-09-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-10-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-11-01 00:00:00+00:00,,,-3.769,-3.852,,
1982-12-01 00:00:00+00:00,,,-3.769,-3.852,,
1983-01-01 00:00:00+00:00,,,-3.769,-3.852,,
1983-02-01 00:00:00+00:00,,,-3.769,-3.852,,
1983-03-01 00:00:00+00:00,,,-3.769,-3.852,,
1983-04-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-05-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-06-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-07-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-08-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-09-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-10-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-11-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1983-12-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1984-01-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1984-02-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1984-03-01 00:00:00+00:00,,,-2.271,-3.813,0.22,
1984-04-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-05-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-06-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-07-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-08-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-09-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-10-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-11-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1984-12-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1985-01-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1985-02-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1985-03-01 00:00:00+00:00,,,-2.871,-3.947,-0.01,
1985-04-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-05-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-06-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-07-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-08-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-09-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-10-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-11-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1985-12-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1986-01-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1986-02-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1986-03-01 00:00:00+00:00,,,-3.16,-2.624,0.07,
1986-04-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-05-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-06-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-07-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-08-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-09-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-10-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-11-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1986-12-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1987-01-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1987-02-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1987-03-01 00:00:00+00:00,,,-2.478,-1.371,0.923,
1987-04-01 00:00:00+00:00,,,-2.335,-1.362,-0.345,
