time,soft_low_vix
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0025787330013369303
2012-01-31 00:00:00+00:00,0.0005382366809896233
2012-02-29 00:00:00+00:00,-0.0019894840704728356
2012-03-31 00:00:00+00:00,0.004453907147046854
2012-04-30 00:00:00+00:00,0.003595001311710533
2012-05-31 00:00:00+00:00,-0.0034271155512478613
2012-06-30 00:00:00+00:00,-0.0031066845213651995
2012-07-31 00:00:00+00:00,0.00011407313612132874
2012-08-31 00:00:00+00:00,0.0040140952182801115
2012-09-30 00:00:00+00:00,0.002323990066244175
2012-10-31 00:00:00+00:00,0.0027335688882008657
2012-11-30 00:00:00+00:00,0.0014382681165310274
2012-12-31 00:00:00+00:00,0.003417659268507567
2013-01-31 00:00:00+00:00,-0.0014551125583558422
2013-02-28 00:00:00+00:00,-0.0006702989766500522
2013-03-31 00:00:00+00:00,-0.005749918048879921
2013-04-30 00:00:00+00:00,0.0057151527111158895
2013-05-31 00:00:00+00:00,0.009466338619836812
2013-06-30 00:00:00+00:00,0.00019200827972665202
2013-07-31 00:00:00+00:00,0.006244667691920558
2013-08-31 00:00:00+00:00,0.0011119359603797285
2013-09-30 00:00:00+00:00,0.0025770601287546935
2013-10-31 00:00:00+00:00,-0.0005684320302962176
2013-11-30 00:00:00+00:00,0.0024250037842687977
2013-12-31 00:00:00+00:00,-0.0003795128789502167
2014-01-31 00:00:00+00:00,0.0008105998403837855
2014-02-28 00:00:00+00:00,-0.001348465252349107
2014-03-31 00:00:00+00:00,0.0009597489178687635
2014-04-30 00:00:00+00:00,0.0015831073567946774
2014-05-31 00:00:00+00:00,0.0024896285510915828
2014-06-30 00:00:00+00:00,0.0015489315119414648
2014-07-31 00:00:00+00:00,-0.0017056592984220353
2014-08-31 00:00:00+00:00,0.0017057794221826406
2014-09-30 00:00:00+00:00,0.0009237892248448176
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,0.0014669847029258332
2014-12-31 00:00:00+00:00,-0.0001376258979259859
2015-01-31 00:00:00+00:00,0.0
2015-02-28 00:00:00+00:00,-0.002161298883993412
2015-03-31 00:00:00+00:00,0.006242965560849134
2015-04-30 00:00:00+00:00,-0.002081444372760588
2015-05-31 00:00:00+00:00,9.113204439703537e-05
2015-06-30 00:00:00+00:00,0.0015450295861061392
2015-07-31 00:00:00+00:00,0.0013853999696751274
2015-08-31 00:00:00+00:00,0.0028749794848628163
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,-0.004793238477306283
2015-11-30 00:00:00+00:00,-0.0009047830130105572
2015-12-31 00:00:00+00:00,-0.0014112245322267514
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,0.0
2016-03-31 00:00:00+00:00,0.00017183105812135224
2016-04-30 00:00:00+00:00,0.0008547679249595319
2016-05-31 00:00:00+00:00,-0.004615956471097915
2016-06-30 00:00:00+00:00,0.008678574027258135
2016-07-31 00:00:00+00:00,-0.00011741621788385892
2016-08-31 00:00:00+00:00,-0.0032119048559637875
2016-09-30 00:00:00+00:00,0.00011367394091488237
2016-10-31 00:00:00+00:00,-0.00038743616056224894
2016-11-30 00:00:00+00:00,0.004821051241763907
2016-12-31 00:00:00+00:00,0.0026874392548934534
2017-01-31 00:00:00+00:00,0.00400977231236177
2017-02-28 00:00:00+00:00,0.001797326741350469
2017-03-31 00:00:00+00:00,-0.0015921489971515435
2017-04-30 00:00:00+00:00,0.003177794451179272
2017-05-31 00:00:00+00:00,-0.0023404822426440486
2017-06-30 00:00:00+00:00,0.003230892516647099
2017-07-31 00:00:00+00:00,0.004022529796429364
2017-08-31 00:00:00+00:00,-0.0018882277433106553
