time,crash_skew_xs_126
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.0019303332576749987
2012-01-31 00:00:00+00:00,-0.010657591971888536
2012-02-29 00:00:00+00:00,-0.007926414339694876
2012-03-31 00:00:00+00:00,0.013055879403291115
2012-04-30 00:00:00+00:00,0.005792795593518418
2012-05-31 00:00:00+00:00,0.007255723129680813
2012-06-30 00:00:00+00:00,-0.015322531155723906
2012-07-31 00:00:00+00:00,-0.019699474823218877
2012-08-31 00:00:00+00:00,0.003999574645209503
2012-09-30 00:00:00+00:00,0.0013465139826132067
2012-10-31 00:00:00+00:00,-0.003652370097377955
2012-11-30 00:00:00+00:00,0.0020085123540445338
2012-12-31 00:00:00+00:00,-0.007423062722678564
2013-01-31 00:00:00+00:00,-0.008223066669209023
2013-02-28 00:00:00+00:00,-0.0045544963341873634
2013-03-31 00:00:00+00:00,0.008850003161394504
2013-04-30 00:00:00+00:00,0.0051077612796675
2013-05-31 00:00:00+00:00,-0.023337650592444192
2013-06-30 00:00:00+00:00,-0.023153750625347636
2013-07-31 00:00:00+00:00,-0.004672142297969306
2013-08-31 00:00:00+00:00,-0.004357912907337669
2013-09-30 00:00:00+00:00,0.015317017783769593
2013-10-31 00:00:00+00:00,-0.00228227842885953
2013-11-30 00:00:00+00:00,-0.010690984802616987
2013-12-31 00:00:00+00:00,-0.010228728338332105
2014-01-31 00:00:00+00:00,0.004182643824333754
2014-02-28 00:00:00+00:00,-0.0005192744988374853
2014-03-31 00:00:00+00:00,-0.006130744760027063
2014-04-30 00:00:00+00:00,0.004278657402071007
2014-05-31 00:00:00+00:00,0.0005474000000671442
2014-06-30 00:00:00+00:00,-0.000562896396146817
2014-07-31 00:00:00+00:00,0.0006771764265243174
2014-08-31 00:00:00+00:00,0.0012994904349132863
2014-09-30 00:00:00+00:00,-0.009144386384683068
2014-10-31 00:00:00+00:00,0.0021840738304250706
2014-11-30 00:00:00+00:00,-0.008728085762278459
2014-12-31 00:00:00+00:00,-0.01192387383618787
2015-01-31 00:00:00+00:00,0.039817791525733615
2015-02-28 00:00:00+00:00,0.004551883561743075
2015-03-31 00:00:00+00:00,-0.01181919315494584
2015-04-30 00:00:00+00:00,0.004190688436989332
2015-05-31 00:00:00+00:00,0.012754387240910381
2015-06-30 00:00:00+00:00,0.02044534633282802
2015-07-31 00:00:00+00:00,0.0036143387330589416
2015-08-31 00:00:00+00:00,0.00878982165563702
2015-09-30 00:00:00+00:00,0.000630479639502024
2015-10-31 00:00:00+00:00,0.016451121922081313
2015-11-30 00:00:00+00:00,0.004718791538701694
2015-12-31 00:00:00+00:00,0.008720157407600793
2016-01-31 00:00:00+00:00,-0.006031450729176657
2016-02-29 00:00:00+00:00,0.010721891967920172
2016-03-31 00:00:00+00:00,0.01281322921681971
2016-04-30 00:00:00+00:00,0.0023784096323995474
2016-05-31 00:00:00+00:00,-0.007931560549374606
2016-06-30 00:00:00+00:00,0.04094849325013605
2016-07-31 00:00:00+00:00,0.002849766355333072
2016-08-31 00:00:00+00:00,0.0010678337435670038
2016-09-30 00:00:00+00:00,-0.006525168094714817
2016-10-31 00:00:00+00:00,-0.01173527348819281
2016-11-30 00:00:00+00:00,0.005018522226502897
2016-12-31 00:00:00+00:00,0.0014188224072082534
2017-01-31 00:00:00+00:00,0.01004034956128752
2017-02-28 00:00:00+00:00,0.008659370456856719
2017-03-31 00:00:00+00:00,-0.0033199317597205624
2017-04-30 00:00:00+00:00,-0.012507960929310724
2017-05-31 00:00:00+00:00,-0.0028791183408213294
2017-06-30 00:00:00+00:00,-0.0006513338783604716
2017-07-31 00:00:00+00:00,0.0012286002186776557
2017-08-31 00:00:00+00:00,-0.007051000664373808
