time,fiscal_ew
2011-10-31 00:00:00+00:00,0.006855402472989214
2011-11-30 00:00:00+00:00,-0.009067817919573007
2011-12-31 00:00:00+00:00,0.00018824436631370567
2012-01-31 00:00:00+00:00,-0.00016647326509589
2012-02-29 00:00:00+00:00,-0.00025289393047400743
2012-03-31 00:00:00+00:00,0.0028225286781182746
2012-04-30 00:00:00+00:00,0.0009921654581572792
2012-05-31 00:00:00+00:00,-0.0017382546631966589
2012-06-30 00:00:00+00:00,-0.0005743710261689738
2012-07-31 00:00:00+00:00,-0.001904517140305817
2012-08-31 00:00:00+00:00,0.0029716447930030476
2012-09-30 00:00:00+00:00,0.003974581405481015
2012-10-31 00:00:00+00:00,0.0020206076807760542
2012-11-30 00:00:00+00:00,0.00015683138048028233
2012-12-31 00:00:00+00:00,0.0019443880540073177
2013-01-31 00:00:00+00:00,0.004295586162910592
2013-02-28 00:00:00+00:00,-0.005151672171781696
2013-03-31 00:00:00+00:00,-0.004366784800912793
2013-04-30 00:00:00+00:00,0.00469469053336713
2013-05-31 00:00:00+00:00,-0.00153894311280256
2013-06-30 00:00:00+00:00,-0.004858387354737426
2013-07-31 00:00:00+00:00,0.0005355891234097854
2013-08-31 00:00:00+00:00,-0.004218179364163022
2013-09-30 00:00:00+00:00,-0.0017482323957904722
2013-10-31 00:00:00+00:00,0.0041993986146207085
2013-11-30 00:00:00+00:00,-0.0073995676927010035
2013-12-31 00:00:00+00:00,-0.0018164297226814785
2014-01-31 00:00:00+00:00,-0.002711869334140693
2014-02-28 00:00:00+00:00,0.0005276583447146876
2014-03-31 00:00:00+00:00,0.0035060785207354783
2014-04-30 00:00:00+00:00,-0.0013818307198342206
2014-05-31 00:00:00+00:00,0.00015506859292990782
2014-06-30 00:00:00+00:00,0.0008383473688216014
2014-07-31 00:00:00+00:00,-0.0011179804065749588
2014-08-31 00:00:00+00:00,0.0002554285274580792
2014-09-30 00:00:00+00:00,-0.00542319815812764
2014-10-31 00:00:00+00:00,0.0008672976946966227
2014-11-30 00:00:00+00:00,-0.0028381597802523695
