series,horizon,n_events,n_controls,event_cum_mean,control_cum_mean,diff_event_minus_control,tstat_diff
EUR,-5,206,206,0.000741239025714156,-0.000171996747372964,0.00091323577308712,0.7327079605041664
EUR,-4,206,206,0.0003571534772736904,-0.0003333554886357474,0.0006905089659094378,0.6228912660795356
EUR,-3,206,206,0.00018011135778737422,-0.00021968485975349487,0.0003997962175408691,0.39188635342299993
EUR,-2,206,206,0.00038753641927046796,0.00012906608223737894,0.00025847033703308906,0.29400862801289374
EUR,-1,206,206,-0.00012460059094413726,0.00017413966551135026,-0.0002987402564554875,-0.4127495078643544
EUR,0,206,206,-0.00031333137352141906,0.0002637447866788089,-0.000577076160200228,-1.1526102354818943
EUR,1,206,206,8.152518811083466e-05,0.0004955711791501477,-0.00041404599103931304,-0.568128296397519
EUR,2,206,206,-0.0002180291093112697,-7.892962400100347e-05,-0.00013909948531026623,-0.16086281399460017
EUR,3,205,206,0.0002930922000847514,-0.000526437218782977,0.0008195294188677284,0.8544404244364278
EUR,4,205,206,0.000228693088695124,0.00028382825959596605,-5.5135170900842055e-05,-0.050941069644727756
EUR,5,205,206,0.00044696071267631205,0.0006621267836405885,-0.00021516607096427643,-0.1846066178088882
EUR,6,205,206,0.0004615423882514983,5.675771905310298e-05,0.0004047846691983953,0.31278238049711554
EUR,7,205,206,0.00014676004119794665,-0.0003156483271595773,0.00046240836835752394,0.33361563523116494
EUR,8,204,206,0.0002153004066349343,0.0001689770860634234,4.63233205715109e-05,0.03265598176363881
EUR,9,204,206,-0.00015092369200017718,0.0004216237356861785,-0.0005725474276863557,-0.401057899358218
EUR,10,204,206,-1.670058611913111e-05,0.0006490728881935416,-0.0006657734743126727,-0.4334840881405378
GBP,-5,206,206,0.001634949082794489,-0.00021634994978655925,0.0018512990325810484,1.3642398016855903
GBP,-4,206,206,0.0010766533560030256,-0.00032164900793182287,0.0013983023639348485,1.083062265817228
GBP,-3,206,206,0.001229370218214573,4.896349934516611e-05,0.0011804067188694069,0.9636954173531784
GBP,-2,206,206,0.001140172079899951,0.0006881338058655961,0.000452038274034355,0.4221827326384037
GBP,-1,206,206,0.0007872084924728568,0.00040958538831649096,0.0003776231041563659,0.43798048312789534
GBP,0,206,206,0.0001776028291722918,5.08108697424602e-05,0.0001267919594298316,0.22936701412422203
GBP,1,206,206,0.00014908349181423143,-0.0005016294758402677,0.0006507129676544991,0.8356949150757962
GBP,2,206,206,-1.987510834673595e-05,-0.0007849541146116568,0.0007650790062649209,0.7982995715036422
GBP,3,205,206,0.00045677182482180815,-0.0009276876435203423,0.0013844594683421504,1.3009241667245879
GBP,4,205,206,0.00047194616253006183,-0.00034458482647657917,0.000816530989006641,0.6758750314899106
GBP,5,205,206,0.0009159399832987872,0.00012713020206581995,0.0007888097812329672,0.5745945127302585
GBP,6,205,206,0.0006058175368847585,0.0003126912374496638,0.00029312629943509467,0.19550013505270433
GBP,7,205,206,0.00036416273119268324,0.0007825850214751368,-0.00041842229028245356,-0.2542499419937225
GBP,8,204,206,0.0004353062762385072,0.0011412495014815134,-0.0007059432252430062,-0.40896286658545494
GBP,9,204,206,0.0004056670940721858,0.0013854922302567667,-0.000979825136184581,-0.5384969457910945
GBP,10,204,206,0.0002608625274068519,0.001433214672175016,-0.0011723521447681642,-0.6192200553044609
JPY,-5,206,206,0.0012600768772475588,0.0003487015180846408,0.000911375359162918,0.768757212494845
JPY,-4,206,206,0.0009841931789856936,0.0002268818205511025,0.0007573113584345911,0.7092565586814303
JPY,-3,206,206,0.00038487577692730484,0.00034004507793317904,4.483069899412581e-05,0.04576551113693784
JPY,-2,206,206,0.0005550968734693241,0.000687084370423839,-0.00013198749695451483,-0.16455283268195564
JPY,-1,206,206,0.00042792131059448963,0.00020275614398685614,0.0002251651666076335,0.34129585869875284
JPY,0,206,206,0.00023840540583791215,-0.0001273088001200567,0.00036571420595796884,0.8117976644148899
JPY,1,206,206,0.000488967206211393,-0.0005556302121661778,0.0010445974183775708,1.5557227271680576
JPY,2,206,206,0.0006781899924321149,-0.0007641384676581371,0.001442328460090252,1.8299878138402939
JPY,3,205,206,0.0011677642501895273,-0.0006695438131127525,0.0018373080633022798,2.1684441439637148
JPY,4,205,206,0.0013066016626962988,-0.0002312443586407896,0.0015378460213370884,1.5794046397885513
JPY,5,205,206,0.001487603328351125,-0.0002818418714650404,0.0017694451998161655,1.6367203066387994
JPY,6,205,206,0.0015786552118289398,-0.0002862345609049887,0.0018648897727339285,1.5476871488228854
JPY,7,205,206,0.00184962494112495,-0.00030829979728810554,0.0021579247384130554,1.7004729553452205
JPY,8,204,206,0.002489582433616782,8.975836110143213e-05,0.0023998240725153497,1.8402570629862713
JPY,9,204,206,0.002877383158091021,-0.0002780152972590177,0.0031553984553500387,2.2741235211755773
JPY,10,204,206,0.0025522692098037727,-0.00021095642619606012,0.002763225635999833,1.9063288353314585
AUD,-5,206,206,0.0012334325592426908,-0.0009467518092613497,0.0021801843685040406,1.5325940451059945
AUD,-4,206,206,0.00032554057918758367,-0.001057397432319163,0.0013829380115067467,1.0482460728785195
AUD,-3,206,206,1.2795248322613462e-05,-0.00019275170654658733,0.0002055469548692008,0.16954702118481232
AUD,-2,206,206,5.398116648034044e-05,0.0005635447500701899,-0.0005095635835898495,-0.47757106343633604
AUD,-1,206,206,5.768079850940431e-05,0.0006998399010909212,-0.000642159102581517,-0.7142042163717367
AUD,0,206,206,-0.00010399916871418689,0.0004975946439800406,-0.0006015938126942274,-0.9496987111077423
AUD,1,206,206,-0.00011330984614507143,0.00015602998314603796,-0.00026933982929110937,-0.31514078714368515
AUD,2,206,206,-0.0005974176954658239,-0.0005159019231405261,-8.151577232529779e-05,-0.0715888007329777
AUD,3,205,206,-0.0006729516296907678,-0.0008019080973530426,0.00012895646766227474,0.1013265877628441
AUD,4,205,206,-0.0005259470768105593,0.0001116620308849165,-0.0006376091076954758,-0.4503390383417358
AUD,5,205,206,-0.00047014669322275346,0.00011254334675239649,-0.00058269003997515,-0.3691303656774191
AUD,6,205,206,-0.0010871928557129554,0.00041108239642919536,-0.0014982752521421508,-0.8860108417484363
AUD,7,205,206,-0.0015155982924575052,0.0010519273037230036,-0.002567525596180509,-1.3924620396825726
AUD,8,204,206,-0.0014609528818967416,0.0024605466532366727,-0.003921499535133414,-2.0021923895072016
AUD,9,204,206,-0.00215019427228577,0.0025392262327291635,-0.004689420505014934,-2.2684817564835007
AUD,10,204,206,-0.0021363039366877586,0.002518481105228771,-0.004654785041916529,-2.0800441778386793
USD_BASKET,-5,206,206,0.0013010616675218553,-0.0002981016613219991,0.0015991633288438545,1.4708830722606767
USD_BASKET,-4,206,206,0.0007835500815558213,-0.00041942937217840325,0.0012029794537342245,1.2220251978600485
USD_BASKET,-3,206,206,0.0005082758365978505,-4.05538187323504e-05,0.0005488296553302009,0.5984604816183308
USD_BASKET,-2,206,206,0.0006005850929503825,0.0005763610594743193,2.4224033476063166e-05,0.030897815284236838
