series,horizon,n_events,n_controls,event_cum_mean,control_cum_mean,diff_event_minus_control,tstat_diff
USD_BASKET,-1,206,206,0.00033110043797583347,0.00041778135419617856,-8.66809162203451e-05,-0.13327900920218186
USD_BASKET,0,206,206,3.2842837228428262e-06,0.00019187206248465083,-0.000188587778761808,-0.42612479932510977
USD_BASKET,1,206,206,0.00019323767623534565,-0.00010973815298171205,0.0003029758292170577,0.4828824669277269
USD_BASKET,2,206,206,-2.9707192436023065e-05,-0.0005918513777749389,0.0005621441853389159,0.7195276451441657
USD_BASKET,3,205,206,0.00033290041705244007,-0.0009003288832517,0.00123322930030414,1.4139276201013549
USD_BASKET,4,205,206,0.000424594933348893,-0.0001387893859727128,0.0005633843193216058,0.5720393044491932
USD_BASKET,5,205,206,0.0006674660406676138,6.36894986229373e-05,0.0006037765420446765,0.547081977403857
USD_BASKET,6,205,206,0.00048716860487223293,2.477945412152341e-05,0.0004623891507507095,0.3832086890789623
USD_BASKET,7,205,206,0.000271265108766714,0.00016105851919118587,0.00011020658957552811,0.08556225377688285
USD_BASKET,8,204,206,0.0005085207988823968,0.0009117947157763665,-0.0004032739168939697,-0.3001957083570828
USD_BASKET,9,204,206,0.00021998942726289618,0.0009782205066598381,-0.000758231079396942,-0.5380353326798105
USD_BASKET,10,204,206,0.0001960209188277224,0.0010389888787348466,-0.0008429679599071242,-0.5615734899646595
