symbol,strategy,mean_mo_2024,mean_mo_2025,mean_mo_ho,gates_2025,gates_ho,trades_2025
EURUSD,bbands_reversion,0.0,0.0,0.0,True,True,0
EURUSD,mean_reversion_regime,0.0,0.0,0.0,True,True,0
EURUSD,breakout_donchian,0.0,0.0,0.0,False,True,41
EURUSD,squeeze_breakout,0.0,0.0,0.0,True,True,0
EURUSD,cci_reversion,0.0,0.0,0.0,True,True,0
GBPUSD,bbands_reversion,0.0,0.0,0.0,True,True,3
GBPUSD,mean_reversion_regime,0.024586087619816267,0.0,0.0,True,True,2
GBPUSD,breakout_donchian,0.0,0.0,0.0,False,True,40
GBPUSD,squeeze_breakout,0.0,0.0,0.0,True,True,0
GBPUSD,cci_reversion,0.0,0.0,0.0,True,True,2
USDJPY,bbands_reversion,0.0,0.0,0.0,True,True,0
USDJPY,mean_reversion_regime,0.0,0.0,0.0,True,False,0
USDJPY,breakout_donchian,0.0,0.0,0.0,True,True,0
USDJPY,squeeze_breakout,0.0,0.0,0.0,True,True,0
USDJPY,cci_reversion,0.0,0.0,-0.008865657161682037,True,False,0
EURJPY,bbands_reversion,0.0,0.0,0.0,True,True,2
EURJPY,mean_reversion_regime,0.0,0.0,-0.00599306762029402,True,True,9
EURJPY,breakout_donchian,0.0,-0.006087362432905378,0.0,True,True,45
EURJPY,squeeze_breakout,0.0,0.0,0.0,True,True,0
EURJPY,cci_reversion,0.0,0.0,0.0,True,True,3
AUDUSD,bbands_reversion,0.0,0.0,0.0,True,True,3
AUDUSD,mean_reversion_regime,0.0,-0.0012181099873969496,0.0,True,True,18
AUDUSD,breakout_donchian,0.0,0.0,0.0,False,True,31
AUDUSD,squeeze_breakout,0.0,0.0,0.0,True,True,7
AUDUSD,cci_reversion,0.0,0.0,0.0,True,True,2
USDCHF,bbands_reversion,0.0,0.0,0.0,True,True,4
USDCHF,mean_reversion_regime,0.0,-0.0036516084709731726,0.0,True,True,13
USDCHF,breakout_donchian,0.0,0.0,0.0,True,False,0
USDCHF,squeeze_breakout,0.0,0.0,0.0,True,True,4
USDCHF,cci_reversion,0.0,0.0,0.0,True,True,5
