horizon,n_events,usd_cum_mean,risk_cum_mean,usd_minus_risk
-5,206,0.0010338531536082062,-0.00179301020628436,0.002826863359892566
-4,206,0.0008777411027808592,-0.0010086486809512876,0.0018863897837321467
-3,206,0.0005783178199662632,-0.0008475978519316579,0.0014259156718979212
-2,206,0.0006136186225595199,-0.0007953326495873595,0.0014089512721468796
-1,206,0.00026915255374820965,-0.0005242054458924399,0.0007933579996406495
0,206,6.196241972239345e-05,-0.00010144620493846913,0.00016340862466086256
1,206,0.0002759160307791216,-0.00015359853765456162,0.00042951456843368324
2,206,0.00019174074383882176,2.1491557154393112e-05,0.00017024918668442863
3,206,0.0006843510845238633,-0.00010663204600476504,0.0007909831305286284
4,206,0.0007300051414884134,-0.00020330084534688587,0.0009333059868352992
5,206,0.0009946872738840274,-0.0005206896782988523,0.0015153769521828796
6,206,0.0009834270820746848,5.321251295751282e-06,0.0009781058307789334
7,206,0.0009148230406811427,0.00036419713593466285,0.0005506259047464799
8,206,0.001288099523291583,0.00033192599901769925,0.0009561735242738838
9,206,0.0010695456822445964,0.0006535602664684045,0.0004159854157761919
10,206,0.0011974597190493764,0.0006471463154710895,0.0005503134035782869
