,USD,CAD,EUR,GBP,JPY,AUD,NZD,CHF
1955-06-01 00:00:00+00:00,,,3.3067274641,,1.4370166919,,,1.1375463718
1955-07-01 00:00:00+00:00,,,3.3067274641,,1.4370166919,,,1.1375463718
1955-08-01 00:00:00+00:00,,,3.3067274641,,1.4370166919,,,1.1375463718
1955-09-01 00:00:00+00:00,,,1.9867549521,,1.7625112621,,,1.7110181248
1955-10-01 00:00:00+00:00,,,1.9867549521,,1.7625112621,,,1.7110181248
1955-11-01 00:00:00+00:00,,,1.9867549521,,1.7625112621,,,1.7110181248
1955-12-01 00:00:00+00:00,,,2.8138528281,,5.2121478446,,,-0.1154107351
1956-01-01 00:00:00+00:00,,,2.8138528281,,5.2121478446,,,-0.1154107351
1956-02-01 00:00:00+00:00,,,2.8138528281,,5.2121478446,,,-0.1154107351
1956-03-01 00:00:00+00:00,,,4.5263158234,,2.9970981753,,,5.3850217499
1956-04-01 00:00:00+00:00,,,4.5263158234,,2.9970981753,,,5.3850217499
1956-05-01 00:00:00+00:00,,,4.5263158234,,2.9970981753,,,5.3850217499
1956-06-01 00:00:00+00:00,,,-1.7119839063,,6.4231090366,,,-4.6585445164
1956-07-01 00:00:00+00:00,,,-1.7119839063,,6.4231090366,,,-4.6585445164
1956-08-01 00:00:00+00:00,,,-1.7119839063,,6.4231090366,,,-4.6585445164
1956-09-01 00:00:00+00:00,,,4.0983606412,,3.1048078937,,,5.3232332182
1956-10-01 00:00:00+00:00,,,4.0983606412,,3.1048078937,,,5.3232332182
1956-11-01 00:00:00+00:00,,,4.0983606412,,3.1048078937,,,5.3232332182
1956-12-01 00:00:00+00:00,,,2.4606299306,,3.2283085271,,,3.4770523352
1957-01-01 00:00:00+00:00,,,2.4606299306,,3.2283085271,,,3.4770523352
1957-02-01 00:00:00+00:00,,,2.4606299306,,3.2283085271,,,3.4770523352
1957-03-01 00:00:00+00:00,,-51.063825113082906,0.4803074124,,2.9472676107,,,-0.0447635774
1957-04-01 00:00:00+00:00,,-50.85469514716778,0.4803074124,,2.9472676107,,,-0.0447635774
1957-05-01 00:00:00+00:00,,-27.17638550085112,0.4803074124,,2.9472676107,,,-0.0447635774
1957-06-01 00:00:00+00:00,,-12.795114560184196,5.0669215979,-0.1574802741,1.480453077,,,2.2220946286
1957-07-01 00:00:00+00:00,,-15.77061792432406,5.0669215979,-0.1574802741,1.480453077,,,2.2220946286
1957-08-01 00:00:00+00:00,,-5.9210549591881545,5.0669215979,-0.1574802741,1.480453077,,,2.2220946286
1957-09-01 00:00:00+00:00,,-12.813161637150328,0.1819836274,-0.3154574506,2.9237964048,,,-0.1600983413
1957-10-01 00:00:00+00:00,,-1.8691507055528356,0.1819836274,-0.3154574506,2.9237964048,,,-0.1600983413
1957-11-01 00:00:00+00:00,,-4.1277279116785355,0.1819836274,-0.3154574506,2.9237964048,,,-0.1600983413
1957-12-01 00:00:00+00:00,,13.105943721861891,-0.9990917344,1.1075949686,2.282232502,,,-2.0822558368
1958-01-01 00:00:00+00:00,,44.900080492580386,-0.9990917344,1.1075949686,2.282232502,,,-2.0822558368
1958-02-01 00:00:00+00:00,,68.57799071531174,-0.9990917344,1.1075949686,2.282232502,,,-2.0822558368
1958-03-01 00:00:00+00:00,,123.04345898651437,2.752293568,-0.6781429792,0.5982380878,,,2.6101196674
1958-04-01 00:00:00+00:00,,120.1242054086085,2.752293568,-0.6781429792,0.5982380878,,,2.6101196674
1958-05-01 00:00:00+00:00,,84.09564200317483,2.752293568,-0.6781429792,0.5982380878,,,2.6101196674
1958-06-01 00:00:00+00:00,,58.60260151060144,-0.8035714225,0.472689112,2.7435981675,,,-1.1236765123
1958-07-01 00:00:00+00:00,,49.02127809614729,-0.8035714225,0.472689112,2.7435981675,,,-1.1236765123
1958-08-01 00:00:00+00:00,,23.076927705397242,-0.8035714225,0.472689112,2.7435981675,,,-1.1236765123
1958-09-01 00:00:00+00:00,,22.577996898625496,1.7101710077,-0.1045478167,4.3306832622,,,-1.1965174781
1958-10-01 00:00:00+00:00,,25.793653659322825,1.7101710077,-0.1045478167,4.3306832622,,,-1.1965174781
1958-11-01 00:00:00+00:00,,29.650692539639145,1.7101710077,-0.1045478167,4.3306832622,,,-1.1965174781
1958-12-01 00:00:00+00:00,,32.38093101645288,-0.2654867343,3.2967032719,3.0428666029,,,1.5584060984
1959-01-01 00:00:00+00:00,,18.214814565051853,-0.2654867343,3.2967032719,3.0428666029,,,1.5584060984
1959-02-01 00:00:00+00:00,,13.67347581144025,-0.2654867343,3.2967032719,3.0428666029,,,1.5584060984
1959-03-01 00:00:00+00:00,,-2.9239763139313646,5.1464063966,-1.4690982925,2.5929565932,,,6.7888486108
1959-04-01 00:00:00+00:00,,-15.575617684715981,5.1464063966,-1.4690982925,2.5929565932,,,6.7888486108
1959-05-01 00:00:00+00:00,,-21.90852599710642,5.1464063966,-1.4690982925,2.5929565932,,,6.7888486108
1959-06-01 00:00:00+00:00,,-24.339204582887973,0.3375527536,5.2442159398,2.974038241,,,-4.7283359922
1959-07-01 00:00:00+00:00,,-22.04454224195863,0.3375527536,5.2442159398,2.974038241,,,-4.7283359922
1959-08-01 00:00:00+00:00,,-16.792932811402295,0.3375527536,5.2442159398,2.974038241,,,-4.7283359922
1959-09-01 00:00:00+00:00,,-4.688560255823571,0.8410428901,-1.8075232041,3.9252959804,,,4.0447341837
1959-10-01 00:00:00+00:00,,-11.67192494524918,0.8410428901,-1.8075232041,3.9252959804,,,4.0447341837
1959-11-01 00:00:00+00:00,,-12.656642941672814,0.8410428901,-1.8075232041,3.9252959804,,,4.0447341837
1959-12-01 00:00:00+00:00,,-12.889683190663492,0.5838198387,2.8358209129,1.1426315982,,,1.5387552796
1960-01-01 00:00:00+00:00,,-5.770405728774541,0.5838198387,2.8358209129,1.1426315982,,,1.5387552796
1960-02-01 00:00:00+00:00,,-16.15798760558942,0.5838198387,2.8358209129,1.1426315982,,,1.5387552796
1960-03-01 00:00:00+00:00,,-21.017405373717025,4.3946931944,-0.1451378799,0.3623389431,,,0.2974889651
1960-04-01 00:00:00+00:00,,-39.371659683051405,4.3946931944,-0.1451378799,0.3623389431,,,0.2974889651
1960-05-01 00:00:00+00:00,,-38.900934489431016,4.3946931944,-0.1451378799,0.3623389431,,,0.2974889651
1960-06-01 00:00:00+00:00,,-33.11499367567403,6.4336775314,2.8585271353,2.038225015,,,4.7420166808
1960-07-01 00:00:00+00:00,,-30.989016568683645,6.4336775314,2.8585271353,2.038225015,,,4.7420166808
1960-08-01 00:00:00+00:00,,-19.499234643553653,6.4336775314,2.8585271353,2.038225015,,,4.7420166808
1960-09-01 00:00:00+00:00,,-14.335902706569437,0.0746268681,-1.2246820684,4.8457068045,,,1.5804394442
1960-10-01 00:00:00+00:00,,-25.71429519661137,0.0746268681,-1.2246820684,4.8457068045,,,1.5804394442
1960-11-01 00:00:00+00:00,,-17.2883822331375,0.0746268681,-1.2246820684,4.8457068045,,,1.5804394442
1960-12-01 00:00:00+00:00,,-17.481068615592644,2.908277392,1.8121125527,5.6317749317,,,-0.6945365121
1961-01-01 00:00:00+00:00,,-26.384373365930024,2.908277392,1.8121125527,5.6317749317,,,-0.6945365121
1961-02-01 00:00:00+00:00,,-8.351182257460065,2.908277392,1.8121125527,5.6317749317,,,-0.6945365121
1961-03-01 00:00:00+00:00,,5.84746485713159,-0.2173912853,0.5620608504,2.5202873647,,,7.3935939904
1961-04-01 00:00:00+00:00,,60.08820105451933,-0.2173912853,0.5620608504,2.5202873647,,,7.3935939904
1961-05-01 00:00:00+00:00,,66.39053631316145,-0.2173912853,0.5620608504,2.5202873647,,,7.3935939904
