,USD,EUR,GBP,JPY,CAD,AUD,NZD,CHF
1955-05-01 00:00:00+00:00,,,,12.6625,,,,
1955-06-01 00:00:00+00:00,,,,12.6625,,,,
1955-07-01 00:00:00+00:00,,,,12.6625,,,,
1955-08-01 00:00:00+00:00,,,,13.0947,,,,
1955-09-01 00:00:00+00:00,,,,13.0947,,,,
1955-10-01 00:00:00+00:00,,,,13.0947,,,,
1955-11-01 00:00:00+00:00,,,,13.509,,,,
1955-12-01 00:00:00+00:00,,,,13.509,,,,
1956-01-01 00:00:00+00:00,,,,13.509,,,,
1956-02-01 00:00:00+00:00,,,,14.1134,,,,
1956-03-01 00:00:00+00:00,,,,14.1134,,,,
1956-04-01 00:00:00+00:00,,,,14.1134,,,,
1956-05-01 00:00:00+00:00,,,,14.5879,,,,
1956-06-01 00:00:00+00:00,,,,14.5879,,,,
1956-07-01 00:00:00+00:00,,,,14.5879,,,,
1956-08-01 00:00:00+00:00,,,,15.2501,,,,
1956-09-01 00:00:00+00:00,,,,15.2501,,,,
1956-10-01 00:00:00+00:00,,,,15.2501,,,,
1956-11-01 00:00:00+00:00,,,,16.106,,,,
1956-12-01 00:00:00+00:00,,,,16.106,,,,
1957-01-01 00:00:00+00:00,,,,16.106,,,,
1957-02-01 00:00:00+00:00,,,,17.1175,,,,
1957-03-01 00:00:00+00:00,,,,17.1175,,,,
1957-04-01 00:00:00+00:00,,,,17.1175,,,,
1957-05-01 00:00:00+00:00,,,,17.9545,,,,
1957-06-01 00:00:00+00:00,,,,17.9545,,,,
1957-07-01 00:00:00+00:00,,,,17.9545,,,,
1957-08-01 00:00:00+00:00,,,,18.692,,,,
1957-09-01 00:00:00+00:00,,,,18.692,,,,
1957-10-01 00:00:00+00:00,,,,18.692,,,,
1957-11-01 00:00:00+00:00,,,,19.3889,,,,
1957-12-01 00:00:00+00:00,,,,19.3889,,,,
1958-01-01 00:00:00+00:00,,,,19.3889,,,,
1958-02-01 00:00:00+00:00,,,,20.7359,,,,
1958-03-01 00:00:00+00:00,,,,20.7359,,,,
1958-04-01 00:00:00+00:00,,,,20.7359,,,,
1958-05-01 00:00:00+00:00,,,,22.077,,,,
1958-06-01 00:00:00+00:00,,,,22.077,,,,
1958-07-01 00:00:00+00:00,,,,22.077,,,,
1958-08-01 00:00:00+00:00,,,,23.3128,,,,
1958-09-01 00:00:00+00:00,,,,23.3128,,,,
1958-10-01 00:00:00+00:00,,,,23.3128,,,,
1958-11-01 00:00:00+00:00,,,,24.4646,,,,
1958-12-01 00:00:00+00:00,,,,24.4646,,,,
1959-01-01 00:00:00+00:00,,,,24.4646,,,,
1959-02-01 00:00:00+00:00,,,,25.7054,,,,
1959-03-01 00:00:00+00:00,,,,25.7054,,,,
1959-04-01 00:00:00+00:00,,,,25.7054,,,,
1959-05-01 00:00:00+00:00,,,,27.1387,,,,
1959-06-01 00:00:00+00:00,,,,27.1387,,,,
1959-07-01 00:00:00+00:00,,,,27.1387,,,,
1959-08-01 00:00:00+00:00,,,,28.5884,,,,
1959-09-01 00:00:00+00:00,,,,28.5884,,,,
1959-10-01 00:00:00+00:00,,,,28.5884,,,,
1959-11-01 00:00:00+00:00,,,,29.9318,,,,
1959-12-01 00:00:00+00:00,,,,29.9318,,,,
1960-01-01 00:00:00+00:00,,,,29.9318,,,,
1960-02-01 00:00:00+00:00,,,,31.1929,,,,
1960-03-01 00:00:00+00:00,,,,31.1929,,,,
1960-04-01 00:00:00+00:00,,,,31.1929,,,,
1960-05-01 00:00:00+00:00,,,,32.2073,,,,
1960-06-01 00:00:00+00:00,,,,32.2073,,,,
1960-07-01 00:00:00+00:00,,,,32.2073,,,,
1960-08-01 00:00:00+00:00,,,,34.3203,,,,
1960-09-01 00:00:00+00:00,,,,34.3203,,,,
1960-10-01 00:00:00+00:00,,,,34.3203,,,,
1960-11-01 00:00:00+00:00,,,,36.5231,,,,
1960-12-01 00:00:00+00:00,,,,36.5231,,,,
1961-01-01 00:00:00+00:00,,,,36.5231,,,,
1961-02-01 00:00:00+00:00,,,,39.9262,,,,
1961-03-01 00:00:00+00:00,,,,39.9262,,,,
1961-04-01 00:00:00+00:00,,,,39.9262,,,,
1961-05-01 00:00:00+00:00,,,,42.6336,,,,
1961-06-01 00:00:00+00:00,,,,42.6336,,,,
1961-07-01 00:00:00+00:00,,,,42.6336,,,,
1961-08-01 00:00:00+00:00,,,,45.6751,,,,
1961-09-01 00:00:00+00:00,,,,45.6751,,,,
1961-10-01 00:00:00+00:00,,,,45.6751,,,,
1961-11-01 00:00:00+00:00,,,,48.0695,,,,
1961-12-01 00:00:00+00:00,,,,48.0695,,,,
1962-01-01 00:00:00+00:00,,,,48.0695,,,,
1962-02-01 00:00:00+00:00,,,,48.597,,,,
1962-03-01 00:00:00+00:00,,,,48.597,,,,
1962-04-01 00:00:00+00:00,,,,48.597,,,,
1962-05-01 00:00:00+00:00,,,,50.333,,,,
1962-06-01 00:00:00+00:00,,,,50.333,,,,
1962-07-01 00:00:00+00:00,,,,50.333,,,,
1962-08-01 00:00:00+00:00,,,,51.5219,,,34.7416,
1962-09-01 00:00:00+00:00,,,,51.5219,,,34.7416,
1962-10-01 00:00:00+00:00,,,,51.5219,,,34.7416,
1962-11-01 00:00:00+00:00,,,,53.0175,,,34.755,
1962-12-01 00:00:00+00:00,,,,53.0175,,,34.755,
1963-01-01 00:00:00+00:00,,,,53.0175,,,34.755,
