idea,params,window,ret,mean_mo,median_mo,pct_pos,top3,gates,p2t,static,daily,n_months,trades,overlap
baseline_vt0025,vt=0.0025,2024,0.0538272989964585,0.0042168566813899,0.0011741691302125,0.5454545454545454,0.7412750869651012,True,0.0742398295032484,0.0438644487188285,0.0286311572879072,11,130,research/WF
regime_sleeves,adx>=18.0|wh=0.85|wl=0.15,2024,0.1132731411286573,0.0066491099295905,0.0036982152224531,0.5454545454545454,0.6858745592791767,True,0.0398179625963948,0.0035186788401873,0.0111847236945455,11,257,research/WF
corr_throttle,look=90|c0=0.45|k=3.0|vt0025,2024,0.060900946621242,0.0047210421339435,0.0017196452082095,0.5454545454545454,0.7339939811845143,True,0.0724062809787182,0.0417368968497603,0.0284276961151789,11,130,research/WF
hotstreak,vt0025|look=12|hot=0.02|cool=0.55,2024,0.0627710092817057,0.0050929507112109,0.0041126007984302,0.6363636363636364,0.7245443625427582,True,0.0798385421008709,0.0497257545918255,0.0288646194595962,11,130,research/WF
roll_is_sharpe,look=120|raw,2024,-0.0226824959003324,0.0024397027062346,0.0017120032010997,0.6363636363636364,0.753324251282559,True,0.0871034078777556,0.081204625242491,0.0314171007287096,11,130,research/WF
baseline_vt0025,vt=0.0025,2025,0.2199083608044478,0.0162778531854137,0.0099734750789008,0.7272727272727273,0.6925774266330262,True,0.0385814149833915,0.0117830537617261,0.0358091135355361,11,74,mixed
regime_sleeves,adx>=18.0|wh=0.85|wl=0.15,2025,0.0110351899337886,0.0003361938601993,0.003839830083351,0.6363636363636364,0.6860139065699247,True,0.0669668565188659,0.0150954135270498,0.0117874594033943,11,258,mixed
corr_throttle,look=90|c0=0.45|k=3.0|vt0025,2025,0.207961622288338,0.0152151989258322,0.0118091806768891,0.7272727272727273,0.663986083001707,True,0.0381809124580986,0.0119329529723641,0.0294697576964148,11,74,mixed
hotstreak,vt0025|look=12|hot=0.02|cool=0.55,2025,0.2201720664037507,0.0163294517192579,0.011907309486876,0.7272727272727273,0.6813488744285834,True,0.0386526106710738,0.0117830537617263,0.0387731102897788,11,74,mixed
roll_is_sharpe,look=120|raw,2025,0.1045052369517596,0.0138987390181063,0.0026219836303291,0.6363636363636364,0.751921953213802,True,0.0783292397073541,0.0657752128146367,0.0334005842200998,11,74,mixed
baseline_vt0025,vt=0.0025,2026,0.2003263095563225,0.023011327609662,0.0134402730877588,0.875,0.8680846676945262,True,0.0637639234145679,0.0340644065203452,0.0250778809074343,8,122,pure holdout
regime_sleeves,adx>=18.0|wh=0.85|wl=0.15,2026,0.021785575078272,0.0032406307785868,0.0028640086874961,0.75,0.8981451218789455,True,0.0477546024423368,0.0385263105528641,0.0131678063180434,8,149,pure holdout
corr_throttle,look=90|c0=0.45|k=3.0|vt0025,2026,0.2013846461729795,0.0230432178503442,0.0143079442234927,0.875,0.857345916553204,True,0.0630004321055454,0.0325890780378364,0.0246205099336351,8,122,pure holdout
hotstreak,vt0025|look=12|hot=0.02|cool=0.55,2026,0.1978355753722522,0.0226402009605656,0.0128320885700363,0.875,0.8627618561219084,True,0.0628911280301696,0.0315805903997547,0.0251310719510473,8,122,pure holdout
roll_is_sharpe,look=120|raw,2026,-0.0003387254810666,7.879112021613732e-05,-0.0034931963283341,0.375,1.0,True,0.0661766659713496,0.0480632542669054,0.0308044950877354,8,122,pure holdout
baseline_vt0025,vt=0.0025,holdout_365d,0.2155241227151016,0.015232430861522,0.0104614774643024,0.75,0.8139578289205267,True,0.0682516042322109,0.0246140091461999,0.0302181716520932,12,146,pure holdout
regime_sleeves,adx>=18.0|wh=0.85|wl=0.15,holdout_365d,-0.0180247125160682,-0.0003794434241673,0.000373387987846,0.5833333333333334,0.7746519735595347,True,0.0472091026633574,0.044919211955764,0.0090296399377119,12,143,pure holdout
corr_throttle,look=90|c0=0.45|k=3.0|vt0025,holdout_365d,0.2159536656568785,0.015192565885638,0.0108462559718525,0.75,0.7931318491923098,True,0.065335883628388,0.0208941789894919,0.0303688389345213,12,146,pure holdout
hotstreak,vt0025|look=12|hot=0.02|cool=0.55,holdout_365d,0.222023518968162,0.0156493740794757,0.0092698969089599,0.75,0.7779551665671457,True,0.0650417895932083,0.0222582670076011,0.0340876250197262,12,146,pure holdout
roll_is_sharpe,look=120|raw,holdout_365d,-0.0306185288538466,-0.0025927171904984,-0.0062776664315812,0.25,1.0,True,0.0858178495711551,0.0771594797202003,0.0134709483807573,12,146,pure holdout
baseline_vt0025,vt=0.0025,roll12_end,0.2155241227151016,0.015232430861522,0.0104614774643024,0.75,0.8139578289205267,True,0.0682516042322109,0.0246140091461999,0.0302181716520932,12,146,pure holdout
regime_sleeves,adx>=18.0|wh=0.85|wl=0.15,roll12_end,-0.0180247125160682,-0.0003794434241673,0.000373387987846,0.5833333333333334,0.7746519735595347,True,0.0472091026633574,0.044919211955764,0.0090296399377119,12,143,pure holdout
corr_throttle,look=90|c0=0.45|k=3.0|vt0025,roll12_end,0.2159536656568785,0.015192565885638,0.0108462559718525,0.75,0.7931318491923098,True,0.065335883628388,0.0208941789894919,0.0303688389345213,12,146,pure holdout
hotstreak,vt0025|look=12|hot=0.02|cool=0.55,roll12_end,0.222023518968162,0.0156493740794757,0.0092698969089599,0.75,0.7779551665671457,True,0.0650417895932083,0.0222582670076011,0.0340876250197262,12,146,pure holdout
roll_is_sharpe,look=120|raw,roll12_end,-0.0306185288538466,-0.0025927171904984,-0.0062776664315812,0.25,1.0,True,0.0858178495711551,0.0771594797202003,0.0134709483807573,12,146,pure holdout
baseline_vt0025,vt=0.0025,roll12_m6,0.164493322180468,0.0113091498722878,0.0029890953300992,0.6666666666666666,0.8020160651091527,True,0.0387236752356888,0.0176239405395962,0.033966165880603,12,79,mixed
regime_sleeves,adx>=18.0|wh=0.85|wl=0.15,roll12_m6,0.0039680137625779,0.0016733533670026,0.0018311039892474,0.75,0.6765948602266544,True,0.047519816373762,0.0255099475351902,0.0104167387221736,12,215,mixed
corr_throttle,look=90|c0=0.45|k=3.0|vt0025,roll12_m6,0.1507192001894273,0.010225195299684,0.0030567874057568,0.6666666666666666,0.7765844387164594,True,0.039434903856485,0.0180610600524015,0.0282184168495314,12,79,mixed
hotstreak,vt0025|look=12|hot=0.02|cool=0.55,roll12_m6,0.1586773318810586,0.0108864496315904,0.0029890953300993,0.6666666666666666,0.7889640089341853,True,0.0392396816853172,0.0181512731801523,0.036616047516121,12,79,mixed
roll_is_sharpe,look=120|raw,roll12_m6,0.0657016724165389,0.0052976399547156,-0.0005260699623648,0.5,0.963083207000646,True,0.071707055944181,0.0639339785123242,0.032448106477581,12,79,mixed
adx_tilt,t=25|b=1.25,2024,0.05830843273939368,0.004585843409695852,0.0010913395285330196,0.5454545454545454,0.7418981449827676,True,0.07158347781283772,0.04082414274203722,0.027044326356039528,11,130,research/WF
adx_tilt,t=25|b=1.25,2025,0.20802171940301584,0.015131977432778498,0.010963422331445205,0.7272727272727273,0.6658581200594189,True,0.03803159802316261,0.011618616332090314,0.03009562809862604,11,74,mixed
adx_tilt,t=25|b=1.25,2026,0.21302953707561478,0.0237057572240153,0.0147267135949265,0.875,0.8520803683290953,True,0.06271358421610852,0.02873159187311772,0.025991871538910492,8,122,pure holdout
adx_tilt,t=25|b=1.25,holdout_365d,0.21116979076733866,0.01582788025739874,0.01071585819334886,0.75,0.7919448372377448,True,0.06472029076970158,0.030276282312710973,0.029316952538970074,12,146,pure holdout
adx_tilt,t=25|b=1.25,roll12_end,0.21116979076733866,0.01582788025739874,0.01071585819334886,0.75,0.7919448372377448,True,0.06472029076970158,0.030276282312710973,0.029316952538970074,12,146,pure holdout
adx_tilt,t=25|b=1.25,roll12_m6,0.13804000941045835,0.009638316069259523,0.0028610573015569463,0.6666666666666666,0.7856442306414867,True,0.043730468649144406,0.02685852288741167,0.02849531463563777,12,79,mixed
