time,dsr_chg_xs
2011-10-31 00:00:00+00:00,0.013707944045056264
2011-11-30 00:00:00+00:00,-0.018867959394819445
2011-12-31 00:00:00+00:00,0.000384249141838211
2012-01-31 00:00:00+00:00,0.004410837707367055
2012-02-29 00:00:00+00:00,-0.001782449822329668
2012-03-31 00:00:00+00:00,-0.001669141291609555
2012-04-30 00:00:00+00:00,-0.001488108447081471
2012-05-31 00:00:00+00:00,-9.50727576950472e-05
2012-06-30 00:00:00+00:00,-0.008639411002017594
2012-07-31 00:00:00+00:00,-0.009429783970986039
2012-08-31 00:00:00+00:00,0.006657379220334603
2012-09-30 00:00:00+00:00,-0.0004991834337806367
2012-10-31 00:00:00+00:00,-0.007995634487293235
2012-11-30 00:00:00+00:00,0.0016966259491211222
2012-12-31 00:00:00+00:00,0.005470486219005588
2013-01-31 00:00:00+00:00,-0.0023602855389486255
2013-02-28 00:00:00+00:00,-0.005586482646795621
2013-03-31 00:00:00+00:00,-0.008681547088423502
2013-04-30 00:00:00+00:00,0.008916104560103388
2013-05-31 00:00:00+00:00,0.004872273424962437
2013-06-30 00:00:00+00:00,0.011140785731587721
2013-07-31 00:00:00+00:00,0.015073643139451365
2013-08-31 00:00:00+00:00,-0.013479603467227319
2013-09-30 00:00:00+00:00,-0.009559165164581884
2013-10-31 00:00:00+00:00,-0.004003462648119793
2013-11-30 00:00:00+00:00,0.0012307303323964014
2013-12-31 00:00:00+00:00,0.004415662057305703
2014-01-31 00:00:00+00:00,-0.013002573276972962
2014-02-28 00:00:00+00:00,-0.004276878486545566
2014-03-31 00:00:00+00:00,-0.005333250359727093
2014-04-30 00:00:00+00:00,6.628074126258099e-05
2014-05-31 00:00:00+00:00,0.005764910578183624
2014-06-30 00:00:00+00:00,-0.0033278585403182515
2014-07-31 00:00:00+00:00,-0.0017785354163177836
2014-08-31 00:00:00+00:00,0.00303529371422262
2014-09-30 00:00:00+00:00,-0.0017446125724233097
2014-10-31 00:00:00+00:00,0.003621164078696726
2014-11-30 00:00:00+00:00,0.006687398043697224
2014-12-31 00:00:00+00:00,0.0006397551138757063
2015-01-31 00:00:00+00:00,-0.017902976238095225
2015-02-28 00:00:00+00:00,-0.0013347174908683312
2015-03-31 00:00:00+00:00,0.010123851486994795
2015-04-30 00:00:00+00:00,0.0018771309889713539
2015-05-31 00:00:00+00:00,-0.009303942429061962
2015-06-30 00:00:00+00:00,-0.009556700166233889
2015-07-31 00:00:00+00:00,-0.01794832840397631
2015-08-31 00:00:00+00:00,-0.01194522873506454
2015-09-30 00:00:00+00:00,-0.0017829558145683322
2015-10-31 00:00:00+00:00,0.006391372472392298
2015-11-30 00:00:00+00:00,0.013569274406329379
2015-12-31 00:00:00+00:00,-0.010468955464359775
2016-01-31 00:00:00+00:00,-0.002261144682862981
2016-02-29 00:00:00+00:00,0.02166740579671611
2016-03-31 00:00:00+00:00,0.019851779271852443
2016-04-30 00:00:00+00:00,0.00308352710950599
2016-05-31 00:00:00+00:00,-0.021235961148345583
2016-06-30 00:00:00+00:00,0.029608281822039118
2016-07-31 00:00:00+00:00,0.004527528375027234
2016-08-31 00:00:00+00:00,-0.0018042914599539772
2016-09-30 00:00:00+00:00,0.003916832754244037
2016-10-31 00:00:00+00:00,0.017373714799098883
2016-11-30 00:00:00+00:00,0.021227516309793915
2016-12-31 00:00:00+00:00,0.0006322622933629951
2017-01-31 00:00:00+00:00,0.009538488725796324
2017-02-28 00:00:00+00:00,-0.003245496393995184
