time,commodity_xs_basket
2011-10-31 00:00:00+00:00,0.002406558664083791
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,-0.006891946986558484
2012-01-31 00:00:00+00:00,-0.0017965420945593724
2012-02-29 00:00:00+00:00,0.002179072128592363
2012-03-31 00:00:00+00:00,-0.0055752533764172885
2012-04-30 00:00:00+00:00,0.00044062985720283443
2012-05-31 00:00:00+00:00,-0.012430853426858013
2012-06-30 00:00:00+00:00,0.0036967643623155855
2012-07-31 00:00:00+00:00,0.0
2012-08-31 00:00:00+00:00,0.0
2012-09-30 00:00:00+00:00,0.00195812482061819
2012-10-31 00:00:00+00:00,-0.005026253703839134
2012-11-30 00:00:00+00:00,0.0024205725461243777
2012-12-31 00:00:00+00:00,0.002314738727328125
2013-01-31 00:00:00+00:00,0.0
2013-02-28 00:00:00+00:00,-0.0013711705681143105
2013-03-31 00:00:00+00:00,0.009224327730917636
2013-04-30 00:00:00+00:00,0.0
2013-05-31 00:00:00+00:00,-0.003383297486379999
2013-06-30 00:00:00+00:00,0.0
2013-07-31 00:00:00+00:00,0.0
2013-08-31 00:00:00+00:00,-0.012740092157924265
2013-09-30 00:00:00+00:00,0.001528904720583757
2013-10-31 00:00:00+00:00,-0.002189348687150483
2013-11-30 00:00:00+00:00,-0.011615880153505453
2013-12-31 00:00:00+00:00,0.0008583498722927185
2014-01-31 00:00:00+00:00,0.0
2014-02-28 00:00:00+00:00,0.006251683084377735
2014-03-31 00:00:00+00:00,0.0098957191576734
2014-04-30 00:00:00+00:00,-0.0029052959597973826
2014-05-31 00:00:00+00:00,0.004933683837156311
2014-06-30 00:00:00+00:00,0.004984886742598782
2014-07-31 00:00:00+00:00,-0.005230244884119051
2014-08-31 00:00:00+00:00,-0.001369681209169471
2014-09-30 00:00:00+00:00,0.0
2014-10-31 00:00:00+00:00,0.0
2014-11-30 00:00:00+00:00,0.0
2014-12-31 00:00:00+00:00,0.0
2015-01-31 00:00:00+00:00,0.0
2015-02-28 00:00:00+00:00,0.0
2015-03-31 00:00:00+00:00,0.0
2015-04-30 00:00:00+00:00,0.0
2015-05-31 00:00:00+00:00,-0.01076390678639838
2015-06-30 00:00:00+00:00,-0.011965138577709755
2015-07-31 00:00:00+00:00,-0.007857640275237943
2015-08-31 00:00:00+00:00,-0.000840116569432503
2015-09-30 00:00:00+00:00,0.0
2015-10-31 00:00:00+00:00,0.0
2015-11-30 00:00:00+00:00,0.0
2015-12-31 00:00:00+00:00,0.0029105321869720147
2016-01-31 00:00:00+00:00,0.0
2016-02-29 00:00:00+00:00,0.0
2016-03-31 00:00:00+00:00,0.0
2016-04-30 00:00:00+00:00,-0.006710395980328965
2016-05-31 00:00:00+00:00,-0.00933232098673642
2016-06-30 00:00:00+00:00,0.02873941037726091
2016-07-31 00:00:00+00:00,0.0034218120943108055
2016-08-31 00:00:00+00:00,0.0008674926917227044
2016-09-30 00:00:00+00:00,-0.0017438190498985096
2016-10-31 00:00:00+00:00,0.0016928876834683138
2016-11-30 00:00:00+00:00,0.007921073416567781
2016-12-31 00:00:00+00:00,0.009748127417632091
2017-01-31 00:00:00+00:00,0.005994199827815017
2017-02-28 00:00:00+00:00,0.00023023922309572953
2017-03-31 00:00:00+00:00,-0.010104425880005596
2017-04-30 00:00:00+00:00,-0.0036001983332831777
2017-05-31 00:00:00+00:00,-0.001644246546712913
2017-06-30 00:00:00+00:00,0.0
2017-07-31 00:00:00+00:00,0.0
2017-08-31 00:00:00+00:00,-0.0006361779219598018
2017-09-30 00:00:00+00:00,-0.00038463338875938113
2017-10-31 00:00:00+00:00,-0.011022564127930123
2017-11-30 00:00:00+00:00,-0.010139265934469677
2017-12-31 00:00:00+00:00,0.013600764863929804
2018-01-31 00:00:00+00:00,-0.006104403368065836
2018-02-28 00:00:00+00:00,-0.011166794233226418
2018-03-31 00:00:00+00:00,-0.000754956973910037
2018-04-30 00:00:00+00:00,0.0033873399450214947
2018-05-31 00:00:00+00:00,0.0067306369170696545
2018-06-30 00:00:00+00:00,-0.007717712874736771
2018-07-31 00:00:00+00:00,0.005520066399301804
2018-08-31 00:00:00+00:00,-0.0030705229470517903
2018-09-30 00:00:00+00:00,0.0
2018-10-31 00:00:00+00:00,0.0063326721171423905
2018-11-30 00:00:00+00:00,0.007334137301292731
2018-12-31 00:00:00+00:00,0.004707296060355803
2019-01-31 00:00:00+00:00,0.0
2019-02-28 00:00:00+00:00,0.0
2019-03-31 00:00:00+00:00,0.0021135157787681713
2019-04-30 00:00:00+00:00,-0.005605284622518525
2019-05-31 00:00:00+00:00,-0.005156511725254442
2019-06-30 00:00:00+00:00,-0.0004417600232217156
2019-07-31 00:00:00+00:00,0.0
2019-08-31 00:00:00+00:00,-0.003396789198555572
2019-09-30 00:00:00+00:00,0.0
2019-10-31 00:00:00+00:00,-0.0009764585329888886
2019-11-30 00:00:00+00:00,-6.939066769517943e-05
2019-12-31 00:00:00+00:00,0.008967558800632158
2020-01-31 00:00:00+00:00,-0.012342030239358093
2020-02-29 00:00:00+00:00,-0.004312541932115055
2020-03-31 00:00:00+00:00,0.0
2020-04-30 00:00:00+00:00,0.0
2020-05-31 00:00:00+00:00,0.0
2020-06-30 00:00:00+00:00,0.0
2020-07-31 00:00:00+00:00,-0.007117891792937758
2020-08-31 00:00:00+00:00,0.007832931366266394
2020-09-30 00:00:00+00:00,-0.003277218765992518
2020-10-31 00:00:00+00:00,-0.003927833165470962
2020-11-30 00:00:00+00:00,0.01262179028820376
2020-12-31 00:00:00+00:00,-0.003320363042610408
2021-01-31 00:00:00+00:00,0.000598908277347654
2021-02-28 00:00:00+00:00,0.011024227309193169
2021-03-31 00:00:00+00:00,0.001251370312814526
2021-04-30 00:00:00+00:00,0.0036792732515047444
2021-05-31 00:00:00+00:00,-0.0008441822092705165
2021-06-30 00:00:00+00:00,-0.004036046092911416
2021-07-31 00:00:00+00:00,-0.007404956804885177
2021-08-31 00:00:00+00:00,0.001686179740317817
2021-09-30 00:00:00+00:00,0.002273816351606728
2021-10-31 00:00:00+00:00,0.015335736942918121
2021-11-30 00:00:00+00:00,-0.010686657897648222
2021-12-31 00:00:00+00:00,0.0014006235573604808
2022-01-31 00:00:00+00:00,-0.008934282820305395
2022-02-28 00:00:00+00:00,0.007558424032432898
2022-03-31 00:00:00+00:00,0.02979170868377512
2022-04-30 00:00:00+00:00,0.005963134018391214
2022-05-31 00:00:00+00:00,-0.003607022140765692
2022-06-30 00:00:00+00:00,0.00192356022529383
2022-07-31 00:00:00+00:00,0.004878255470656123
2022-08-31 00:00:00+00:00,-0.0002725529207333599
2022-09-30 00:00:00+00:00,0.0
2022-10-31 00:00:00+00:00,0.0
2022-11-30 00:00:00+00:00,0.0006945130310100911
2022-12-31 00:00:00+00:00,-0.0012082791776391044
2023-01-31 00:00:00+00:00,-0.0002980895880032586
2023-02-28 00:00:00+00:00,-0.0020890972817261266
2023-03-31 00:00:00+00:00,0.0019491907548014886
2023-04-30 00:00:00+00:00,0.0
2023-05-31 00:00:00+00:00,0.0026383551872852795
2023-06-30 00:00:00+00:00,0.0
2023-07-31 00:00:00+00:00,-0.0016399413311370958
2023-08-31 00:00:00+00:00,0.0021856615796145284
2023-09-30 00:00:00+00:00,0.013445884868911628
2023-10-31 00:00:00+00:00,-0.009574517049133147
2023-11-30 00:00:00+00:00,0.0031711026886285243
2023-12-31 00:00:00+00:00,0.0019440874806408992
2024-01-31 00:00:00+00:00,0.0
2024-02-29 00:00:00+00:00,0.0
2024-03-31 00:00:00+00:00,0.0
2024-04-30 00:00:00+00:00,0.00045571481038919615
2024-05-31 00:00:00+00:00,0.005106421060145028
2024-06-30 00:00:00+00:00,0.007582545978959354
2024-07-31 00:00:00+00:00,-0.02453364360346344
2024-08-31 00:00:00+00:00,0.0010796944484405824
2024-09-30 00:00:00+00:00,0.0
2024-10-31 00:00:00+00:00,0.0
2024-11-30 00:00:00+00:00,-0.004246196151952097
2024-12-31 00:00:00+00:00,-0.008231537707926062
2025-01-31 00:00:00+00:00,0.0010398842732461944
2025-02-28 00:00:00+00:00,-0.0066885613367748675
2025-03-31 00:00:00+00:00,-0.008793858966519852
2025-04-30 00:00:00+00:00,-0.0010048518167635745
2025-05-31 00:00:00+00:00,0.0027421368517071
2025-06-30 00:00:00+00:00,0.0
2025-07-31 00:00:00+00:00,-0.0007223765859795117
2025-08-31 00:00:00+00:00,-0.0023714206189749953
2025-09-30 00:00:00+00:00,-0.002232866881914042
2025-10-31 00:00:00+00:00,0.0035381886390997153
2025-11-30 00:00:00+00:00,-0.003514102293151855
2025-12-31 00:00:00+00:00,0.005716655855017905
2026-01-31 00:00:00+00:00,0.008312196305501951
2026-02-28 00:00:00+00:00,0.005557712306464957
2026-03-31 00:00:00+00:00,-0.004052492404232999
2026-04-30 00:00:00+00:00,0.006627059920912615
2026-05-31 00:00:00+00:00,0.004555819495585922
2026-06-30 00:00:00+00:00,-0.010567728190878922
2026-07-31 00:00:00+00:00,0.005178950539454608
2026-08-31 00:00:00+00:00,0.0021241070197131062
2026-09-30 00:00:00+00:00,0.0
