label,ret,p2t,static,daily,gates,mean_mo,pct_pos,top3_share,n_months,overlap
2024,0.02670411117760274,0.05630248537318939,0.033611769389383844,0.020535328504058124,True,0.0018788124150593934,0.6363636363636364,0.6816831096327499,11,research/WF overlap
2025,0.1173223488265771,0.028671652688018447,0.015223382220058411,0.01603077445999952,True,0.009077929683334348,0.5454545454545454,0.6559663632308468,11,mixed research→holdout
2026,0.14562022902973504,0.034815730308930135,0.018548937569314004,0.017041611729914148,True,0.016827222608389758,0.75,0.941949485237959,8,pure holdout
holdout_365d,0.014685682912939368,0.04224851426080134,0.029401930258704377,0.017015229868582827,True,0.0003769842241322559,0.5,0.8667625618048697,12,pure holdout
roll12_end,0.014685682912939368,0.04224851426080134,0.029401930258704377,0.017015229868582827,True,0.0003769842241322559,0.5,0.8667625618048697,12,pure holdout
roll12_m6,0.08496948066082322,0.028095596467221085,0.012870442257036338,0.01566928024742796,True,0.005697519610641938,0.4166666666666667,0.8280027688536137,12,mixed
