,USD,EUR,GBP,CAD,JPY,AUD,NZD,CHF
1967-04-01 00:00:00+00:00,-21.0405558335,-7.0270270197,,-2.2851196937,,,,
1967-05-01 00:00:00+00:00,-18.643807925,-14.3896524021,,-4.7148852213,,,,
1967-06-01 00:00:00+00:00,-11.5342019638,-8.652094712,,-3.6993785827,,,,
1967-07-01 00:00:00+00:00,-4.0139555114,-11.9113573588,,-0.9521402159,,,,
1967-08-01 00:00:00+00:00,3.2668861947,-8.41035121,,1.7502768129,,,,
1967-09-01 00:00:00+00:00,-1.1702529586,-7.4792243679,,2.5488602534,,,,
1967-10-01 00:00:00+00:00,-1.1023940548,-3.4749034823,,3.4721624792,,,,
1967-11-01 00:00:00+00:00,0.9350685992,-2.7698185408,,4.8577015052,,,,
1967-12-01 00:00:00+00:00,13.5899797292,-1.446480241,,3.6632556548,,,,
1968-01-01 00:00:00+00:00,25.2267487359,6.454918038,,3.3138318119,,,,
1968-02-01 00:00:00+00:00,33.637753446,-2.6819923305,,2.4564518933,,,,
1968-03-01 00:00:00+00:00,30.4700627402,-1.8726591668,,1.4277364884,,,,
1968-04-01 00:00:00+00:00,27.9610378019,4.6511627742,,4.7836088189,,,,
1968-05-01 00:00:00+00:00,29.1438911301,-1.0387157503,,9.3825561304,,,,
1968-06-01 00:00:00+00:00,25.6121359227,2.8913260226,,11.4205283793,,,,
1968-07-01 00:00:00+00:00,21.6504120869,10.4821803157,,10.6890684875,,,,
1968-08-01 00:00:00+00:00,16.2100616015,6.6599394718,,8.4627296729,,,,
1968-09-01 00:00:00+00:00,17.7824850355,4.5908183536,,9.1163101124,,,,
1968-10-01 00:00:00+00:00,18.4777404917,9.5000000059,,7.6302548798,,,,
1968-11-01 00:00:00+00:00,20.3048843993,3.9292730996,,5.850909525,,,,
1968-12-01 00:00:00+00:00,14.678601568,4.7945205618,,5.7486520125,,,,
1969-01-01 00:00:00+00:00,9.8852196667,7.3147256973,,4.1623610212,,,,
1969-02-01 00:00:00+00:00,7.6587289763,4.6259842389,,-1.3865390126,,,,
1969-03-01 00:00:00+00:00,14.6940570461,15.9351144998,,0.9919328308,,,,
1969-04-01 00:00:00+00:00,19.2829271352,1.0185185319,,1.1219968111,,,,
1969-05-01 00:00:00+00:00,14.3090666261,6.2022900616,,-0.4105317084,,,,
1969-06-01 00:00:00+00:00,13.2111974877,9.20542635,,-2.7092159933,,,,
1969-07-01 00:00:00+00:00,13.2769280339,10.436432629,,-5.7103331506,,,,
1969-08-01 00:00:00+00:00,13.8735642688,10.3122043472,,-9.2957746326,,,,
1969-09-01 00:00:00+00:00,12.264512404,15.0763358637,,-7.7125931529,,,,
