time,low_cu_xs
2011-10-31 00:00:00+00:00,-0.02007880627505043
2011-11-30 00:00:00+00:00,0.015232808527790409
2011-12-31 00:00:00+00:00,-0.0010272769635014667
2012-01-31 00:00:00+00:00,-0.0006200597793482032
2012-02-29 00:00:00+00:00,-0.002170302569093452
2012-03-31 00:00:00+00:00,0.007379498420342356
2012-04-30 00:00:00+00:00,0.0017912364478731568
2012-05-31 00:00:00+00:00,0.018571353519641676
2012-06-30 00:00:00+00:00,-0.009584039665661237
2012-07-31 00:00:00+00:00,-0.016701342454943924
2012-08-31 00:00:00+00:00,0.007245073292983406
2012-09-30 00:00:00+00:00,-0.011446666818049733
2012-10-31 00:00:00+00:00,-0.0011027228514981502
2012-11-30 00:00:00+00:00,0.0010821748195797287
2012-12-31 00:00:00+00:00,0.0013764262049882348
2013-01-31 00:00:00+00:00,-0.0011359650802648114
2013-02-28 00:00:00+00:00,-0.001141487721052603
2013-03-31 00:00:00+00:00,-0.008726992145953183
2013-04-30 00:00:00+00:00,0.0008013977703817954
2013-05-31 00:00:00+00:00,0.026877544679794196
2013-06-30 00:00:00+00:00,0.016534836818399956
2013-07-31 00:00:00+00:00,0.01143145582501326
2013-08-31 00:00:00+00:00,-0.0009644294560858802
2013-09-30 00:00:00+00:00,-0.01730599534487154
2013-10-31 00:00:00+00:00,0.007695667944431772
2013-11-30 00:00:00+00:00,-0.011080402230670972
2013-12-31 00:00:00+00:00,0.006642909861760415
2014-01-31 00:00:00+00:00,0.015321784153843554
2014-02-28 00:00:00+00:00,-0.00254124352855023
2014-03-31 00:00:00+00:00,-0.0017671027101581194
2014-04-30 00:00:00+00:00,-0.00309804892198573
2014-05-31 00:00:00+00:00,-0.012010166348414453
2014-06-30 00:00:00+00:00,-0.0019386447954841124
2014-07-31 00:00:00+00:00,0.004980113913236828
2014-08-31 00:00:00+00:00,0.0014054109974770412
2014-09-30 00:00:00+00:00,-0.008500276556889563
2014-10-31 00:00:00+00:00,-0.0038598161599198155
2014-11-30 00:00:00+00:00,-0.003386424215912731
2014-12-31 00:00:00+00:00,0.0009607158834203933
2015-01-31 00:00:00+00:00,0.03147322983323875
