key,corr,min_mo,min_pos,mean_2024,mean_2025_IS,pos_2024,pos_2025_IS,top3_2024,top3_2025_IS,symbol,strategy
USDJPY_hybrid_regime,0.02989104626826063,0.0017739944054334933,0.5,0.0036755354985774746,0.0017739944054334933,0.5454545454545454,0.5,0.8664130003083939,0.9825124293389191,USDJPY,hybrid_regime
EURUSD_bbands_reversion,0.07144460473449644,0.001763559582200272,0.25,0.004462527715565969,0.001763559582200272,0.36363636363636365,0.25,0.8662671513613338,1.0,EURUSD,bbands_reversion
EURUSD_cci_reversion,0.15403517435121583,0.0015048071129249718,0.25,0.0032155660253460967,0.0015048071129249718,0.6363636363636364,0.25,0.7084707187454041,1.0,EURUSD,cci_reversion
EURUSD_willr_reversion,0.03833947210945755,0.0010091338467685042,0.45454545454545453,0.0010091338467685042,0.0016743495191411384,0.45454545454545453,0.5,0.7770882339044607,0.9895977021663789,EURUSD,willr_reversion
EURUSD_mean_reversion_regime,0.02472483314645296,0.0006032271180939769,0.125,0.0009280651876536987,0.0006032271180939769,0.18181818181818182,0.125,1.0,1.0,EURUSD,mean_reversion_regime
EURGBP_mean_reversion_regime,0.10320509848239881,0.0003496007841178721,0.125,0.0003496007841178721,0.001473138476195554,0.2727272727272727,0.125,1.0,1.0,EURGBP,mean_reversion_regime
EURCAD_bbands_reversion,0.1975078125942217,0.00016234380063408216,0.36363636363636365,0.0010564756920512204,0.00016234380063408216,0.36363636363636365,0.375,0.9979229020284144,1.0,EURCAD,bbands_reversion
