factor,n_months,mean_mo,tstat_ols,tstat_nw,nw_lags,pct_pos_mo,top3,ann_sharpe_daily
value_raw,180,-0.00013719921200929056,-0.22151103810451261,-0.2229066961173108,4,0.4166666666666667,0.12058681963372792,-0.04518113981792663
value_vix_cool,180,-0.00021424577756217386,-0.45955307767035575,-0.455868325406777,4,0.39444444444444443,0.1269248630746532,-0.09711150656806453
value_gpr_cool,180,-0.0002693310908443769,-0.5279289494686359,-0.5740713069066106,4,0.37777777777777777,0.13868513681013828,-0.10928297463907598
value_low_vix,180,-0.00023815145679435175,-0.6145487362022963,-0.59899333467761,4,0.3111111111111111,0.17346226308877133,-0.1296491719293261
value_low_gpr,180,-0.0007351180080338761,-1.6258741191973303,-1.6908476482796182,4,0.3388888888888889,0.18424942500626013,-0.3550697323884701
value_high_vix,180,-0.00045567000856401124,-1.1125845586708096,-1.2115518882947585,4,0.12222222222222222,0.3861137566655632,-0.27201614911066024
value_vix_gpr_stack,180,-0.0002769426214325601,-0.6788886045653332,-0.7036517908012695,4,0.36666666666666664,0.13931498016859742,-0.1463162846460034
value_vix_gpr_ew,180,-0.00036288624105561615,-0.8846362446891397,-0.9061811511075163,4,0.39444444444444443,0.1394051884318008,-0.18915829682535648
