date,cip_stress
2000-01-31 23:59:59.999999+00:00,-26.275993866666663
2000-02-29 23:59:59.999999+00:00,-27.087863385714286
2000-03-31 23:59:59.999999+00:00,-43.70071167142857
2000-04-30 23:59:59.999999+00:00,-40.45000174285714
2000-05-31 23:59:59.999999+00:00,-54.54289642857143
2000-06-30 23:59:59.999999+00:00,-40.685699871428575
2000-07-31 23:59:59.999999+00:00,-47.26429618571429
2000-08-31 23:59:59.999999+00:00,-48.04285795714286
2000-09-30 23:59:59.999999+00:00,-46.02145157142858
2000-10-31 23:59:59.999999+00:00,-54.72856357142857
2000-11-30 23:59:59.999999+00:00,-60.78567971428572
2000-12-31 23:59:59.999999+00:00,-48.98929128571428
2001-01-31 23:59:59.999999+00:00,-34.94998271428572
2001-02-28 23:59:59.999999+00:00,-41.878592714285716
2001-03-31 23:59:59.999999+00:00,-48.442873857142864
2001-04-30 23:59:59.999999+00:00,-36.960734571428574
2001-05-31 23:59:59.999999+00:00,-40.471408857142855
2001-06-30 23:59:59.999999+00:00,-41.521441857142854
2001-07-31 23:59:59.999999+00:00,-39.303577857142855
2001-08-31 23:59:59.999999+00:00,-32.50712657142857
2001-09-30 23:59:59.999999+00:00,-24.600015685714286
2001-10-31 23:59:59.999999+00:00,-29.082158257142858
2001-11-30 23:59:59.999999+00:00,-41.57142414285714
2001-12-31 23:59:59.999999+00:00,-41.364277
2002-01-31 23:59:59.999999+00:00,-32.65712372857143
2002-02-28 23:59:59.999999+00:00,-28.257147000000003
2002-03-31 23:59:59.999999+00:00,-22.307169314285716
2002-04-30 23:59:59.999999+00:00,-10.960684962857142
2002-05-31 23:59:59.999999+00:00,-19.40000144285714
2002-06-30 23:59:59.999999+00:00,-20.69069800935586
2002-07-31 23:59:59.999999+00:00,-34.767168285714284
2002-08-31 23:59:59.999999+00:00,-16.509272585714285
2002-09-30 23:59:59.999999+00:00,-37.03216171428572
2002-10-31 23:59:59.999999+00:00,-28.361426714285717
2002-11-30 23:59:59.999999+00:00,-25.050696585714288
2002-12-31 23:59:59.999999+00:00,-17.626415857142856
2003-01-31 23:59:59.999999+00:00,-20.314268942857144
2003-02-28 23:59:59.999999+00:00,-20.320712614285718
2003-03-31 23:59:59.999999+00:00,-20.98430587142857
2003-04-30 23:59:59.999999+00:00,-17.270025514285713
2003-05-31 23:59:59.999999+00:00,-17.580711142857144
2003-06-30 23:59:59.999999+00:00,-11.885013671428572
