time,high_bci_xs
2011-10-31 00:00:00+00:00,0.008501498609072344
2011-11-30 00:00:00+00:00,0.008339348927149937
2011-12-31 00:00:00+00:00,0.004645329922780217
2012-01-31 00:00:00+00:00,0.00045315607010731895
2012-02-29 00:00:00+00:00,-0.001536740764693123
2012-03-31 00:00:00+00:00,0.0005778988561335741
2012-04-30 00:00:00+00:00,0.00965557789683169
2012-05-31 00:00:00+00:00,0.007982224826746709
2012-06-30 00:00:00+00:00,0.0008286827590895385
2012-07-31 00:00:00+00:00,0.011305764799893536
2012-08-31 00:00:00+00:00,0.0008408555354075808
2012-09-30 00:00:00+00:00,-0.0035917103308292786
2012-10-31 00:00:00+00:00,-0.005144164144859298
2012-11-30 00:00:00+00:00,0.006159208360574819
2012-12-31 00:00:00+00:00,0.0032464473261046844
2013-01-31 00:00:00+00:00,-0.02740210589876524
2013-02-28 00:00:00+00:00,-0.004868041448322202
2013-03-31 00:00:00+00:00,0.0141634286483443
2013-04-30 00:00:00+00:00,-0.004436269196515519
2013-05-31 00:00:00+00:00,-0.0030298059246056663
2013-06-30 00:00:00+00:00,0.0039919684145506285
2013-07-31 00:00:00+00:00,0.008642267563120365
2013-08-31 00:00:00+00:00,0.007563611846072904
2013-09-30 00:00:00+00:00,-0.008092970613633454
2013-10-31 00:00:00+00:00,0.012286937658151142
2013-11-30 00:00:00+00:00,0.0022822705974272495
2013-12-31 00:00:00+00:00,-0.005655226033944083
2014-01-31 00:00:00+00:00,-1.3282907665446153e-05
2014-02-28 00:00:00+00:00,-0.003485283140274187
2014-03-31 00:00:00+00:00,-0.00579839702541185
2014-04-30 00:00:00+00:00,0.0036169951691822355
2014-05-31 00:00:00+00:00,0.005611271749753177
2014-06-30 00:00:00+00:00,-0.002976023821881446
2014-07-31 00:00:00+00:00,0.003993558527112029
2014-08-31 00:00:00+00:00,-0.0031893812946723887
2014-09-30 00:00:00+00:00,0.008041929265489856
2014-10-31 00:00:00+00:00,-0.006266813603499788
2014-11-30 00:00:00+00:00,-0.004076797587163172
2014-12-31 00:00:00+00:00,-0.01209001239539964
2015-01-31 00:00:00+00:00,-0.05143486430529731
2015-02-28 00:00:00+00:00,-0.015947280591009805
2015-03-31 00:00:00+00:00,-0.010756180373257429
2015-04-30 00:00:00+00:00,-0.0016412414599535907
2015-05-31 00:00:00+00:00,0.0024938700337318043
2015-06-30 00:00:00+00:00,0.00382649107869959
2015-07-31 00:00:00+00:00,0.009177630320355235
2015-08-31 00:00:00+00:00,0.011972764954191195
2015-09-30 00:00:00+00:00,0.0007220534303886694
2015-10-31 00:00:00+00:00,-0.0019120962983462109
2015-11-30 00:00:00+00:00,-0.007192781012478999
2015-12-31 00:00:00+00:00,0.024043110020222747
2016-01-31 00:00:00+00:00,0.009161275446258
2016-02-29 00:00:00+00:00,0.018284754099040956
2016-03-31 00:00:00+00:00,0.0023864449834387624
2016-04-30 00:00:00+00:00,-0.009600336068519066
2016-05-31 00:00:00+00:00,-0.00896678837651843
2016-06-30 00:00:00+00:00,0.04829780941301309
2016-07-31 00:00:00+00:00,0.006794724780493144
2016-08-31 00:00:00+00:00,-0.006128613006784356
2016-09-30 00:00:00+00:00,-0.012478924743064224
2016-10-31 00:00:00+00:00,0.01816333230477385
2016-11-30 00:00:00+00:00,0.023505979185906023
2016-12-31 00:00:00+00:00,0.0037852226060464123
2017-01-31 00:00:00+00:00,0.0047876668464184036
2017-02-28 00:00:00+00:00,0.002352367388554377
2017-03-31 00:00:00+00:00,-0.0033508439443691307
2017-04-30 00:00:00+00:00,0.007662937715208429
2017-05-31 00:00:00+00:00,-0.01730741831006055
2017-06-30 00:00:00+00:00,-0.003480089743209458
2017-07-31 00:00:00+00:00,0.012260575438037824
2017-08-31 00:00:00+00:00,-0.013550145576789685
2017-09-30 00:00:00+00:00,0.023686470195154463
2017-10-31 00:00:00+00:00,0.004342737098269156
2017-11-30 00:00:00+00:00,0.00030731353942958783
2017-12-31 00:00:00+00:00,0.002753429190444745
2018-01-31 00:00:00+00:00,-0.003252121298073951
2018-02-28 00:00:00+00:00,0.006038876794308257
2018-03-31 00:00:00+00:00,-0.013391183578226551
2018-04-30 00:00:00+00:00,-0.008668692150222146
2018-05-31 00:00:00+00:00,0.02083186338675347
2018-06-30 00:00:00+00:00,0.0014201447069477346
2018-07-31 00:00:00+00:00,0.0016585924016545572
2018-08-31 00:00:00+00:00,0.015209813533361816
2018-09-30 00:00:00+00:00,-0.007863041994214393
2018-10-31 00:00:00+00:00,0.0005882135151851209
2018-11-30 00:00:00+00:00,0.001118253248500345
2018-12-31 00:00:00+00:00,0.009549360162116383
2019-01-31 00:00:00+00:00,-0.021623434321324964
2019-02-28 00:00:00+00:00,-0.011238297995609825
2019-03-31 00:00:00+00:00,0.011143394770202653
2019-04-30 00:00:00+00:00,-0.01158892879162654
2019-05-31 00:00:00+00:00,-0.012731525347984496
2019-06-30 00:00:00+00:00,-0.007043920746067411
2019-07-31 00:00:00+00:00,0.0074077787518762594
2019-08-31 00:00:00+00:00,-0.0021694875511008016
2019-09-30 00:00:00+00:00,-0.011710119090812321
2019-10-31 00:00:00+00:00,-0.02120867007846816
2019-11-30 00:00:00+00:00,-0.005795247292207484
2019-12-31 00:00:00+00:00,0.0006155421196243349
2020-01-31 00:00:00+00:00,-0.006979937336798692
2020-02-29 00:00:00+00:00,0.00612793587460958
2020-03-31 00:00:00+00:00,0.020756801667790814
2020-04-30 00:00:00+00:00,-0.0099801536339158
2020-05-31 00:00:00+00:00,0.017167272622979457
2020-06-30 00:00:00+00:00,0.0033766709911737802
2020-07-31 00:00:00+00:00,-0.008120238437317906
2020-08-31 00:00:00+00:00,-0.007092204307542427
2020-09-30 00:00:00+00:00,0.007451209525003222
2020-10-31 00:00:00+00:00,0.001782640297125937
2020-11-30 00:00:00+00:00,-0.0011429530907162144
2020-12-31 00:00:00+00:00,-0.0057410472407241064
2021-01-31 00:00:00+00:00,0.00763764139971479
2021-02-28 00:00:00+00:00,-0.009456255021429438
2021-03-31 00:00:00+00:00,0.011335161543041483
2021-04-30 00:00:00+00:00,0.010777575336589074
2021-05-31 00:00:00+00:00,-0.00541431039577589
2021-06-30 00:00:00+00:00,0.0053290908762184674
2021-07-31 00:00:00+00:00,-0.00549769417144752
2021-08-31 00:00:00+00:00,-0.002201092105801883
2021-09-30 00:00:00+00:00,-0.0009721433758315134
2021-10-31 00:00:00+00:00,0.0008630332955308351
2021-11-30 00:00:00+00:00,-0.011484595299642186
2021-12-31 00:00:00+00:00,0.005081787587112752
2022-01-31 00:00:00+00:00,0.004106677302488482
2022-02-28 00:00:00+00:00,-0.0024701059015421745
2022-03-31 00:00:00+00:00,-0.003842217763982525
2022-04-30 00:00:00+00:00,-0.00034295237502157683
2022-05-31 00:00:00+00:00,-0.005010881023856273
2022-06-30 00:00:00+00:00,-0.005889721002829917
2022-07-31 00:00:00+00:00,0.013290809892247513
2022-08-31 00:00:00+00:00,-0.015481463854761457
2022-09-30 00:00:00+00:00,0.020638701467151188
2022-10-31 00:00:00+00:00,-0.030198117804927427
2022-11-30 00:00:00+00:00,0.0054527957223158285
2022-12-31 00:00:00+00:00,0.011799332378404692
2023-01-31 00:00:00+00:00,-0.013811258953856598
2023-02-28 00:00:00+00:00,0.0059649504367851325
2023-03-31 00:00:00+00:00,-0.0019024324958638594
2023-04-30 00:00:00+00:00,0.00025377337758825114
2023-05-31 00:00:00+00:00,-0.010122827710345561
2023-06-30 00:00:00+00:00,0.0012763305067637898
2023-07-31 00:00:00+00:00,-0.002739731275927304
2023-08-31 00:00:00+00:00,-0.000721948243098236
2023-09-30 00:00:00+00:00,0.0064148139712500996
2023-10-31 00:00:00+00:00,-0.007942420531385164
2023-11-30 00:00:00+00:00,0.005434357610432317
2023-12-31 00:00:00+00:00,-0.015624286728438186
2024-01-31 00:00:00+00:00,0.009488198119401714
2024-02-29 00:00:00+00:00,0.01067567868535102
2024-03-31 00:00:00+00:00,0.012058213117938088
2024-04-30 00:00:00+00:00,0.003928721631778265
2024-05-31 00:00:00+00:00,0.002403212600921467
2024-06-30 00:00:00+00:00,0.0013745368377495737
2024-07-31 00:00:00+00:00,0.0039249604538373895
