time,soft_ew_growth
2011-10-31 00:00:00+00:00,0.013887743617737813
2011-11-30 00:00:00+00:00,-0.004905954115984823
2011-12-31 00:00:00+00:00,0.006148639247816057
2012-01-31 00:00:00+00:00,-0.0007335360038218663
2012-02-29 00:00:00+00:00,-0.0038602314152605954
2012-03-31 00:00:00+00:00,0.0013988399015039121
2012-04-30 00:00:00+00:00,0.004083962399226149
2012-05-31 00:00:00+00:00,-0.005756800382118454
2012-06-30 00:00:00+00:00,-0.003924478268410914
2012-07-31 00:00:00+00:00,0.006456549163409653
2012-08-31 00:00:00+00:00,0.003145042719500335
2012-09-30 00:00:00+00:00,-0.0014559535082403485
2012-10-31 00:00:00+00:00,0.000294649997700569
2012-11-30 00:00:00+00:00,0.001539481880054927
2012-12-31 00:00:00+00:00,0.005311151379220558
2013-01-31 00:00:00+00:00,-0.011509871671261274
2013-02-28 00:00:00+00:00,-0.002577548244375394
2013-03-31 00:00:00+00:00,-0.0014384934713168596
2013-04-30 00:00:00+00:00,0.004941447978070945
2013-05-31 00:00:00+00:00,-0.0009358835268331589
2013-06-30 00:00:00+00:00,0.005396183288382206
2013-07-31 00:00:00+00:00,0.001716523906367895
2013-08-31 00:00:00+00:00,0.00749499938004905
2013-09-30 00:00:00+00:00,0.002402937666103666
2013-10-31 00:00:00+00:00,-0.0008619121455133438
2013-11-30 00:00:00+00:00,0.004145451123844568
2013-12-31 00:00:00+00:00,-0.0025777758392310224
2014-01-31 00:00:00+00:00,0.004417663135868555
2014-02-28 00:00:00+00:00,-0.0020416760868045003
2014-03-31 00:00:00+00:00,0.0022396370536119647
2014-04-30 00:00:00+00:00,0.0022930797210374276
2014-05-31 00:00:00+00:00,0.005861931485943828
2014-06-30 00:00:00+00:00,-0.0005498110147627022
2014-07-31 00:00:00+00:00,-0.00017216577344703055
2014-08-31 00:00:00+00:00,0.001143457512041035
2014-09-30 00:00:00+00:00,0.0015810405546670125
2014-10-31 00:00:00+00:00,-3.9609961795972204e-05
2014-11-30 00:00:00+00:00,0.006444287571811147
2014-12-31 00:00:00+00:00,-0.0001924660481920082
2015-01-31 00:00:00+00:00,0.013230023061109542
2015-02-28 00:00:00+00:00,-0.011079540130285892
2015-03-31 00:00:00+00:00,0.0008807985220049552
2015-04-30 00:00:00+00:00,0.00455986923465268
2015-05-31 00:00:00+00:00,0.0010785928487575536
2015-06-30 00:00:00+00:00,0.0039047334046706794
2015-07-31 00:00:00+00:00,0.005466736105754322
2015-08-31 00:00:00+00:00,0.010216535683789107
2015-09-30 00:00:00+00:00,0.0026658609671739164
2015-10-31 00:00:00+00:00,-0.004235406111719797
2015-11-30 00:00:00+00:00,-0.005908940199215618
2015-12-31 00:00:00+00:00,0.0051263825833605114
2016-01-31 00:00:00+00:00,0.009316222242333971
2016-02-29 00:00:00+00:00,0.007870832792013172
2016-03-31 00:00:00+00:00,-0.0010602879233351237
2016-04-30 00:00:00+00:00,-0.0019113677095263792
2016-05-31 00:00:00+00:00,-0.002989511411914725
2016-06-30 00:00:00+00:00,0.01930281240618026
2016-07-31 00:00:00+00:00,0.0010072235290095044
2016-08-31 00:00:00+00:00,-0.004568427415161835
2016-09-30 00:00:00+00:00,-0.0041094332803564
2016-10-31 00:00:00+00:00,-0.0015434816830001141
2016-11-30 00:00:00+00:00,0.007595601956357445
2016-12-31 00:00:00+00:00,0.0029311179267195175
2017-01-31 00:00:00+00:00,0.003569675102925496
2017-02-28 00:00:00+00:00,-0.0007665175008153557
2017-03-31 00:00:00+00:00,-0.002843714990869106
2017-04-30 00:00:00+00:00,0.0013018766832899598
2017-05-31 00:00:00+00:00,-0.0025151832351419934
2017-06-30 00:00:00+00:00,0.0027381681114866385
