time,housing_ew
2011-10-31 00:00:00+00:00,-0.012025087118855193
2011-11-30 00:00:00+00:00,-0.0018288208250407667
2011-12-31 00:00:00+00:00,-0.006599993436481544
2012-01-31 00:00:00+00:00,0.0028652775736657254
2012-02-29 00:00:00+00:00,-0.0008917654272933007
2012-03-31 00:00:00+00:00,0.005309321575043491
2012-04-30 00:00:00+00:00,0.0026289667238628134
2012-05-31 00:00:00+00:00,0.001762676309611022
2012-06-30 00:00:00+00:00,0.0007577884425704617
2012-07-31 00:00:00+00:00,0.0040829826611537
2012-08-31 00:00:00+00:00,-0.0037056883578812094
2012-09-30 00:00:00+00:00,0.0019121257232381783
2012-10-31 00:00:00+00:00,0.001633467661517729
2012-11-30 00:00:00+00:00,0.0007844758998964974
2012-12-31 00:00:00+00:00,-0.001576441398362105
2013-01-31 00:00:00+00:00,0.00022799327721223506
2013-02-28 00:00:00+00:00,0.0037649802876000837
2013-03-31 00:00:00+00:00,0.008600446187285948
2013-04-30 00:00:00+00:00,0.002270145279271496
2013-05-31 00:00:00+00:00,0.0023532183059198353
2013-06-30 00:00:00+00:00,-0.0006471282526676614
2013-07-31 00:00:00+00:00,-0.00784684448815165
2013-08-31 00:00:00+00:00,-0.005381030734859182
2013-09-30 00:00:00+00:00,0.004832682606922933
2013-10-31 00:00:00+00:00,-0.0007915798110265104
2013-11-30 00:00:00+00:00,-0.006477143786051909
2013-12-31 00:00:00+00:00,-0.0008231348273440853
2014-01-31 00:00:00+00:00,0.005585963290887008
2014-02-28 00:00:00+00:00,0.005263881382200575
2014-03-31 00:00:00+00:00,-0.0030123674681102885
2014-04-30 00:00:00+00:00,-0.00012990008088753502
2014-05-31 00:00:00+00:00,0.0037266508932363163
2014-06-30 00:00:00+00:00,0.003935197431639281
2014-07-31 00:00:00+00:00,-0.0012110904235961284
2014-08-31 00:00:00+00:00,-0.0008421349975074044
2014-09-30 00:00:00+00:00,-0.004562813528782295
2014-10-31 00:00:00+00:00,-0.0006853472576123787
2014-11-30 00:00:00+00:00,-0.003900174145913149
2014-12-31 00:00:00+00:00,0.006058000838742084
2015-01-31 00:00:00+00:00,-4.238201102291228e-05
2015-02-28 00:00:00+00:00,-4.805319211764747e-06
2015-03-31 00:00:00+00:00,0.002279296534279718
2015-04-30 00:00:00+00:00,-0.003419534438403149
2015-05-31 00:00:00+00:00,0.0037727485271321637
2015-06-30 00:00:00+00:00,0.0054449706430572675
2015-07-31 00:00:00+00:00,-0.008514067300299022
2015-08-31 00:00:00+00:00,-0.009512245325622781
2015-09-30 00:00:00+00:00,-0.0062271932616067005
