time,high_cip_xs
2011-10-31 00:00:00+00:00,-0.028853137042972987
2011-11-30 00:00:00+00:00,0.016056714812630712
2011-12-31 00:00:00+00:00,-0.011484775752044318
2012-01-31 00:00:00+00:00,-0.020795855099791316
2012-02-29 00:00:00+00:00,-0.004243807750638928
2012-03-31 00:00:00+00:00,0.01333736808706476
2012-04-30 00:00:00+00:00,-0.0022465277800006733
2012-05-31 00:00:00+00:00,0.02061644828381981
2012-06-30 00:00:00+00:00,-0.017434221377670034
2012-07-31 00:00:00+00:00,-0.021260231790908635
2012-08-31 00:00:00+00:00,0.01271226437881623
2012-09-30 00:00:00+00:00,-0.00690964311723985
2012-10-31 00:00:00+00:00,0.004245063131136373
2012-11-30 00:00:00+00:00,-0.0006504417050389177
2012-12-31 00:00:00+00:00,0.005916903993251843
2013-01-31 00:00:00+00:00,-0.004534211634547702
2013-02-28 00:00:00+00:00,0.0025185903817825928
2013-03-31 00:00:00+00:00,-0.013636069127564099
2013-04-30 00:00:00+00:00,0.0006337351897409693
2013-05-31 00:00:00+00:00,0.02513806273101382
2013-06-30 00:00:00+00:00,0.02731813891632351
2013-07-31 00:00:00+00:00,0.0021618064823649696
2013-08-31 00:00:00+00:00,0.005107233046390824
2013-09-30 00:00:00+00:00,-0.020574081805990407
2013-10-31 00:00:00+00:00,-0.0015032861710723155
2013-11-30 00:00:00+00:00,0.012780988966623053
2013-12-31 00:00:00+00:00,0.0064189654376498595
2014-01-31 00:00:00+00:00,0.00012323448707252105
2014-02-28 00:00:00+00:00,-0.006729390451066797
2014-03-31 00:00:00+00:00,-0.01648131972940592
2014-04-30 00:00:00+00:00,0.0025438995469846404
2014-05-31 00:00:00+00:00,-0.002531940983532377
2014-06-30 00:00:00+00:00,-0.007882796037599227
2014-07-31 00:00:00+00:00,0.004675996251038317
2014-08-31 00:00:00+00:00,0.0007767946794610125
2014-09-30 00:00:00+00:00,0.02355420375463657
2014-10-31 00:00:00+00:00,-0.004372135856256842
2014-11-30 00:00:00+00:00,0.005465766937946315
2014-12-31 00:00:00+00:00,0.004473306257172904
2015-01-31 00:00:00+00:00,0.04404387295042933
2015-02-28 00:00:00+00:00,-0.017529475011406115
2015-03-31 00:00:00+00:00,0.0033715912280840588
2015-04-30 00:00:00+00:00,-0.0050516088638260515
2015-05-31 00:00:00+00:00,0.023073771703446377
2015-06-30 00:00:00+00:00,0.010983044200308711
2015-07-31 00:00:00+00:00,0.010768568598322092
2015-08-31 00:00:00+00:00,0.016577524365599894
2015-09-30 00:00:00+00:00,-0.0008236070295500886
2015-10-31 00:00:00+00:00,-0.019038399187744526
2015-11-30 00:00:00+00:00,-0.007084470119466113
2015-12-31 00:00:00+00:00,-0.005418460392212832
2016-01-31 00:00:00+00:00,0.013561611527892925
2016-02-29 00:00:00+00:00,-0.0022904394407772255
2016-03-31 00:00:00+00:00,-0.0217521008564866
2016-04-30 00:00:00+00:00,-0.0021742685266477046
