idea,mo_2024,mo_2025,mo_2026,mo_ho,pos_2024,pos_ho,top3_ho,promote,reason
lock+dual2|frozen1.0,0.0102547037959144,0.010687883003084854,0.016860576790448112,0.012647406971572748,0.7272727272727273,0.75,0.7326566351794471,False,holdout_fail
lock+dual2|is_scale_1.000,0.0102547037959144,0.010687883003084854,0.016860576790448112,0.012647406971572748,0.7272727272727273,0.75,0.7326566351794471,False,holdout_fail
lock+dual3|frozen1.0,0.008641929762848005,0.009277696281287617,0.013383365556544832,0.009195166465184165,0.5454545454545454,0.5833333333333334,0.7553172640335719,False,2024 mean_mo=0.86% <1%
lock+dual3|is_scale_1.000,0.008641929762848005,0.009277696281287617,0.013383365556544832,0.009195166465184165,0.5454545454545454,0.5833333333333334,0.7553172640335719,False,2024 mean_mo=0.86% <1%
lock+dual4|frozen1.0,0.007304512407359167,0.008626898102285412,0.011371457082731573,0.007930592479019505,0.5454545454545454,0.5833333333333334,0.7598220252945744,False,2024 mean_mo=0.73% <1%
lock+dual4|is_scale_1.000,0.007304512407359167,0.008626898102285412,0.011371457082731573,0.007930592479019505,0.5454545454545454,0.5833333333333334,0.7598220252945744,False,2024 mean_mo=0.73% <1%
scratch_dual4|frozen1.0,0.0059929238396031785,0.006913574336245681,-0.0060022777804753374,-0.01025043111440091,0.6363636363636364,0.3333333333333333,0.9249540168082565,False,2024 mean_mo=0.60% <1%
scratch_dual4|is_scale_1.000,0.0059929238396031785,0.006913574336245681,-0.0060022777804753374,-0.01025043111440091,0.6363636363636364,0.3333333333333333,0.9249540168082565,False,2024 mean_mo=0.60% <1%
baseline_locked|frozen1.0,0.004216856681390097,0.016277853185413808,0.023011327609662055,0.01523243086152229,0.5454545454545454,0.75,0.8139578289205227,False,2024 mean_mo=0.42% <1%
baseline_locked|is_scale_1.000,0.004216856681390097,0.016277853185413808,0.023011327609662055,0.01523243086152229,0.5454545454545454,0.75,0.8139578289205227,False,2024 mean_mo=0.42% <1%
baseline_locked,0.004216856681389925,0.016277853185413717,0.023011327609662083,0.01523243086152203,0.5454545454545454,0.75,0.8139578289205267,False,2024 mean_mo=0.42% <1%
missdiv::USDJPY_D1_hybrid_regime,0.003005366402010192,0.018018925630879236,0.020616693331375627,0.012326134248661053,0.6363636363636364,0.75,0.7668973090880558,False,2024 mean_mo=0.30% <1%
