currency,fred_id,freq,n_obs,start,end,last,note
USD,ULQELP01USQ657S,Q,763,1960-04-01,2023-10-01,0.936118085705194,OECD MEI early-estimate LP YoY ULQELP01USQ657S (quarterly) stale_end=2023-07-01
EUR,ULQELP01DEQ657S,Q,388,1991-07-01,2023-10-01,-0.144789518003896,Germany proxy via ULQELP01DEQ657S (Q) stale_end=2023-07-01 (EZ also ~2023-07; FR/IT/ES/NL Q657S alts)
GBP,ULQELP01GBQ657S,Q,628,1971-07-01,2023-10-01,0.3876509910004509,OECD MEI early-estimate LP YoY ULQELP01GBQ657S (quarterly) stale_end=2023-04-01
JPY,ULQELP01JPQ657S,Q,520,1980-07-01,2023-10-01,-0.807117674223498,OECD MEI early-estimate LP YoY ULQELP01JPQ657S (quarterly) stale_end=2023-07-01
CAD,ULQELP01CAQ657S,Q,748,1961-07-01,2023-10-01,-0.643171912855525,OECD MEI early-estimate LP YoY ULQELP01CAQ657S (quarterly) stale_end=2023-07-01
AUD,ULQELP01AUQ657S,Q,676,1967-07-01,2023-10-01,-0.431970357300333,OECD MEI early-estimate LP YoY ULQELP01AUQ657S (quarterly) stale_end=2023-07-01
NZD,ULQELP01NZQ657S,Q,433,1987-10-01,2023-10-01,0.341339257568365,OECD MEI early-estimate LP YoY ULQELP01NZQ657S (quarterly) stale_end=2023-04-01
CHF,ULQELP01CHQ657S,Q,340,1995-07-01,2023-10-01,0.375459463524308,OECD MEI early-estimate LP YoY ULQELP01CHQ657S (quarterly) stale_end=2023-07-01
