spec,score,mean_mo,pct_pos,top3,gates,p2t
baseline_vt0025,-1.9131154303933637,0.004216856681389925,0.5454545454545454,0.7412750869651012,True,0.07423982950324844
vt0.002_hi2.0,-0.516612447366547,0.002798746845812393,0.6363636363636364,0.7373970020092393,True,0.0549563289047688
vt0.0025_hi2.0,-0.2893886580457955,0.0028058587373681913,0.6363636363636364,0.7091126398609159,True,0.06220589046350822
vt0.0025_hi1.5,0.3491942421084654,0.002513770650779724,0.7272727272727273,0.6722949153001092,True,0.05164386550948206
vt0.003_hi2.0,0.2771567766825969,0.0030800936234400026,0.7272727272727273,0.6861906339918945,True,0.06773762148517329
vt0.002_hi1.25,0.3477244991822099,0.0020603107834506825,0.7272727272727273,0.6725184234230042,True,0.04318980016248021
vt+eq0.008_lb6,-1.6614828550326919,0.0009230917933624132,0.5454545454545454,0.7125963449334257,True,0.07423982950324833
vt+eq0.01_lb6,-1.5907184859348689,0.0016471901358776125,0.5454545454545454,0.7027429163828551,True,0.07423982950324833
vt+eq0.012_lb4,-3.504130721153992,0.0030485079747349726,0.5454545454545454,0.7545505649584927,True,0.07423982950324833
vt+eq0.012_lb6,-1.5942198793731015,0.0023677090485505884,0.5454545454545454,0.701960869392653,True,0.07423982950324833
vt+eq0.015_lb6,-1.7165313795397292,0.002988945423794444,0.5454545454545454,0.7171922596977807,True,0.07423982950324833
ma_sm0.02_as0.5,-6.748478743615083,0.001727041051282791,0.45454545454545453,0.8732682518640101,True,0.06734060337113605
ma_only_sm0.02,0.3556859254490846,0.0016148038479688093,0.7272727272727273,0.6709769409491987,True,0.03336812174743976
ma_sm0.025_as0.55,-6.732570357871076,-0.0008420959150616702,0.45454545454545453,0.8734194385166231,True,0.0839467362436873
ma_only_sm0.025,0.3538526114703615,0.0017558280001805824,0.7272727272727273,0.6709769409491952,True,0.03467484404540268
ma_sm0.03_as0.6,-6.661339483997976,0.00037652009219122577,0.45454545454545453,0.8625353282707007,True,0.07567813504390884
ma_only_sm0.03,0.3538526114703615,0.0017558280001805824,0.7272727272727273,0.6709769409491952,True,0.03467484404540268
ma_sm0.02_as0.4,-6.77343098827782,0.0012715569971626475,0.5454545454545454,0.9145395168569281,True,0.06105417037987667
ma_only_sm0.02,0.3545131033934848,0.001705020929165741,0.7272727272727273,0.6709769409492059,True,0.029903021732527277
ma_sm0.015_as0.5,-4.73795797985518,0.002770035242812789,0.45454545454545453,0.875548138428258,True,0.06344048144701245
ma_only_sm0.015,0.3554818671390272,0.0016305006410428243,0.7272727272727273,0.670976940949217,True,0.033513313113880165
vt+runup30_0.03,-3.6673152185160918,0.003899903237750004,0.5454545454545454,0.7735651098263564,True,0.07423982950324877
vt+runup42_0.04,-1.8886190865951706,0.004260108384946615,0.5454545454545454,0.7379339381725091,True,0.07423982950324833
vt+runup60_0.05,-1.8735099681993004,0.004286986011475177,0.5454545454545454,0.7358728011670769,True,0.07423982950324833
vt+runup42_0.03,-3.5861429302376893,0.0034400258734688205,0.5454545454545454,0.7641658745085137,True,0.07284506167751786
vtflat0.0015_hi1.0,0.3106214349241041,0.0015792623333128273,0.7272727272727273,0.6792544918974709,True,0.03434767492914722
vtflat0.002_hi1.0,0.3538526114703615,0.0017558280001805824,0.7272727272727273,0.6709769409491952,True,0.03467484404540268
vtflat0.0025_hi1.0,0.3538526114703615,0.0017558280001805824,0.7272727272727273,0.6709769409491952,True,0.03467484404540268
vtflat0.003_hi1.0,0.3538526114703615,0.0017558280001805824,0.7272727272727273,0.6709769409491952,True,0.03467484404540268
eq_only_0.006,0.4594343016312158,0.0010490826668520274,0.7272727272727273,0.6533180252728144,True,0.03467484404540268
vt+eqflat0.006,0.32148451878807593,0.000865143694943908,0.7272727272727273,0.677998482578313,True,0.051643865509481794
eq_only_0.008,0.3187468553511943,0.0015894562105668913,0.7272727272727273,0.6778470573022605,True,0.03467484404540268
vt+eqflat0.008,0.43979069028270895,0.0012074429663024753,0.7272727272727273,0.657235104353162,True,0.051643865509481794
eq_only_0.01,0.3669155674853089,0.0017299478615249366,0.7272727272727273,0.6686630292742091,True,0.03467484404540268
vt+eqflat0.01,0.4162835890602766,0.001618822082691969,0.7272727272727273,0.6622121851970793,True,0.051643865509481794
vtflat+ma_sm0.015_as0.45,-6.663651698253685,0.00016493864176371118,0.45454545454545453,0.8699765329324882,True,0.04935413805801643
vtflat+ma_sm0.02_as0.35,-6.831203629588143,0.0005314881301942636,0.45454545454545453,0.8918836549587152,True,0.04447598989072829
vtflat+ma_sm0.025_as0.5,-4.5757983121656585,0.0013585433149392514,0.6363636363636364,0.808467779231531,True,0.04322734930716873
consistency_stack,0.31483613619607514,0.0009769628533164382,0.7272727272727273,0.679451248486035,True,0.036678525986032946
vt_eq_ma_combo,-7.197912030542335,-0.0010216882493515296,0.45454545454545453,0.931931695808431,True,0.06981602542093197
