time,carry_low_gpr
2011-10-31 00:00:00+00:00,0.0
2011-11-30 00:00:00+00:00,0.0
2011-12-31 00:00:00+00:00,0.005397828232289736
2012-01-31 00:00:00+00:00,0.004770061018844585
2012-02-29 00:00:00+00:00,0.002666037510064889
2012-03-31 00:00:00+00:00,-0.007279474889696047
2012-04-30 00:00:00+00:00,0.00030411541142627563
2012-05-31 00:00:00+00:00,-0.019747856311413958
2012-06-30 00:00:00+00:00,0.01417120565823593
2012-07-31 00:00:00+00:00,0.014255246201670735
2012-08-31 00:00:00+00:00,-0.011472507543336508
2012-09-30 00:00:00+00:00,0.006224772220992714
2012-10-31 00:00:00+00:00,-0.007324327808535314
2012-11-30 00:00:00+00:00,0.0012516771465453935
2012-12-31 00:00:00+00:00,-0.0005683494718561333
2013-01-31 00:00:00+00:00,0.010990771557059409
2013-02-28 00:00:00+00:00,-0.008856350241557953
2013-03-31 00:00:00+00:00,0.0036401339425085055
2013-04-30 00:00:00+00:00,0.00033593312853708035
2013-05-31 00:00:00+00:00,-0.010036725928339152
2013-06-30 00:00:00+00:00,-0.01169005767493092
2013-07-31 00:00:00+00:00,0.0002749826962684665
2013-08-31 00:00:00+00:00,0.010613057549231808
2013-09-30 00:00:00+00:00,0.010086219783458361
2013-10-31 00:00:00+00:00,-0.006015665225356903
2013-11-30 00:00:00+00:00,-0.007895489289946878
2013-12-31 00:00:00+00:00,-0.01207526423803107
2014-01-31 00:00:00+00:00,0.0013458895548472682
2014-02-28 00:00:00+00:00,0.002872272724659064
2014-03-31 00:00:00+00:00,-0.0008639017011499162
2014-04-30 00:00:00+00:00,-0.001974814107628342
2014-05-31 00:00:00+00:00,0.000888861378887329
2014-06-30 00:00:00+00:00,0.011151182211227129
2014-07-31 00:00:00+00:00,-0.0008776288018924605
2014-08-31 00:00:00+00:00,-0.002588206676042981
2014-09-30 00:00:00+00:00,-0.0057997894378718495
2014-10-31 00:00:00+00:00,-0.00552610530897224
2014-11-30 00:00:00+00:00,0.00298691550189778
2014-12-31 00:00:00+00:00,-0.00046958971797483873
2015-01-31 00:00:00+00:00,0.011152352552191047
2015-02-28 00:00:00+00:00,0.012651019188757662
2015-03-31 00:00:00+00:00,0.002273336768386258
2015-04-30 00:00:00+00:00,-0.00960655639871677
2015-05-31 00:00:00+00:00,-0.016913187499887905
2015-06-30 00:00:00+00:00,-0.010063546984571459
2015-07-31 00:00:00+00:00,0.0003186898896054835
2015-08-31 00:00:00+00:00,-0.01705671226967398
2015-09-30 00:00:00+00:00,-0.002670865145387058
2015-10-31 00:00:00+00:00,0.023962525303463655
2015-11-30 00:00:00+00:00,0.0056982804802652165
2015-12-31 00:00:00+00:00,0.00030073817692688465
2016-01-31 00:00:00+00:00,-0.012393031790181808
2016-02-29 00:00:00+00:00,-0.010196582727591164
2016-03-31 00:00:00+00:00,0.004123038821867819
2016-04-30 00:00:00+00:00,0.010636478476693023
2016-05-31 00:00:00+00:00,-0.011960274267982296
2016-06-30 00:00:00+00:00,0.010962840073703628
2016-07-31 00:00:00+00:00,0.0035569139854565446
2016-08-31 00:00:00+00:00,0.0013358394771711968
2016-09-30 00:00:00+00:00,0.0038995878087439984
2016-10-31 00:00:00+00:00,0.007169354177712028
2016-11-30 00:00:00+00:00,0.010601949761194884
2016-12-31 00:00:00+00:00,0.002877177556675381
2017-01-31 00:00:00+00:00,0.005846119628131641
2017-02-28 00:00:00+00:00,-0.001172540572444758
2017-03-31 00:00:00+00:00,0.004555104153162848
2017-04-30 00:00:00+00:00,-0.008303920613204951
2017-05-31 00:00:00+00:00,-0.011126035329294126
2017-06-30 00:00:00+00:00,-0.0019574501235199993
2017-07-31 00:00:00+00:00,0.01474657045694494
2017-08-31 00:00:00+00:00,-0.00822951342793532
