time,tb_ew
2011-10-31 00:00:00+00:00,-0.008349883698633098
2011-11-30 00:00:00+00:00,0.0035210667816529817
2011-12-31 00:00:00+00:00,0.0004685661579861833
2012-01-31 00:00:00+00:00,0.0006866809065437796
2012-02-29 00:00:00+00:00,-0.00354004600834279
2012-03-31 00:00:00+00:00,0.0040310479627789775
2012-04-30 00:00:00+00:00,0.002081868108428475
2012-05-31 00:00:00+00:00,0.0018387449840753245
2012-06-30 00:00:00+00:00,0.006237399074820571
2012-07-31 00:00:00+00:00,0.003335488366606798
2012-08-31 00:00:00+00:00,-0.0010015143226506096
2012-09-30 00:00:00+00:00,0.00029057525506837045
2012-10-31 00:00:00+00:00,-0.0005674845485224012
2012-11-30 00:00:00+00:00,-0.0019943667630630824
2012-12-31 00:00:00+00:00,0.00039050443802679524
2013-01-31 00:00:00+00:00,-0.005100563165178484
2013-02-28 00:00:00+00:00,-0.00035846231173719545
2013-03-31 00:00:00+00:00,0.00019781854903477836
2013-04-30 00:00:00+00:00,5.604463942332494e-05
2013-05-31 00:00:00+00:00,0.0005025852145192911
2013-06-30 00:00:00+00:00,0.001997943951415948
2013-07-31 00:00:00+00:00,-0.004408958143463204
2013-08-31 00:00:00+00:00,0.006385590970842792
2013-09-30 00:00:00+00:00,-0.004547014619478484
2013-10-31 00:00:00+00:00,-0.0017595264959016088
2013-11-30 00:00:00+00:00,-0.0019244594175810148
2013-12-31 00:00:00+00:00,-0.0035089296770534073
2014-01-31 00:00:00+00:00,0.0021043005296452755
2014-02-28 00:00:00+00:00,0.0012768298663905497
2014-03-31 00:00:00+00:00,0.0044458016837449765
2014-04-30 00:00:00+00:00,0.0005642727453243346
2014-05-31 00:00:00+00:00,0.0006181455519822521
2014-06-30 00:00:00+00:00,0.004155832285160033
2014-07-31 00:00:00+00:00,0.0019234960754612729
2014-08-31 00:00:00+00:00,-0.0011314318427859682
2014-09-30 00:00:00+00:00,0.0057400193647472175
2014-10-31 00:00:00+00:00,0.0002874625271582776
2014-11-30 00:00:00+00:00,0.0005691165043946178
2014-12-31 00:00:00+00:00,0.006378111694319122
2015-01-31 00:00:00+00:00,0.006494451952537839
2015-02-28 00:00:00+00:00,-0.002503159239348074
2015-03-31 00:00:00+00:00,0.002968047945588692
2015-04-30 00:00:00+00:00,-0.0035471877118344874
2015-05-31 00:00:00+00:00,0.0037719023141078445
2015-06-30 00:00:00+00:00,0.0033538100427656925
2015-07-31 00:00:00+00:00,0.001994284349384756
2015-08-31 00:00:00+00:00,-0.0031689599313891037
2015-09-30 00:00:00+00:00,-0.0008620761169477742
2015-10-31 00:00:00+00:00,0.0012254192453664547
2015-11-30 00:00:00+00:00,-0.00014255947977281913
2015-12-31 00:00:00+00:00,-0.0035925119370039393
2016-01-31 00:00:00+00:00,-0.007458757793899595
2016-02-29 00:00:00+00:00,0.0006967545373417483
2016-03-31 00:00:00+00:00,-0.006250148244507203
2016-04-30 00:00:00+00:00,0.0012168507865890632
2016-05-31 00:00:00+00:00,0.0026753930126250935
2016-06-30 00:00:00+00:00,-0.004805255142949605
2016-07-31 00:00:00+00:00,-0.003876966101099666
2016-08-31 00:00:00+00:00,0.0027672125432287586
2016-09-30 00:00:00+00:00,-0.0018362548312287341
2016-10-31 00:00:00+00:00,0.0016636924166457678
2016-11-30 00:00:00+00:00,0.0007118979856606256
2016-12-31 00:00:00+00:00,-0.005613845273654272
2017-01-31 00:00:00+00:00,0.0018936314467237203
2017-02-28 00:00:00+00:00,0.0038233682568342697
2017-03-31 00:00:00+00:00,-0.005340365578688
2017-04-30 00:00:00+00:00,-0.003784839479331059
2017-05-31 00:00:00+00:00,-0.0061302101836580025
2017-06-30 00:00:00+00:00,-0.0007072397932174068
2017-07-31 00:00:00+00:00,0.0035777345544418804
2017-08-31 00:00:00+00:00,-0.008529210505877294
2017-09-30 00:00:00+00:00,0.004634814213815508
2017-10-31 00:00:00+00:00,-0.004305066749486719
2017-11-30 00:00:00+00:00,0.0003958180123364574
2017-12-31 00:00:00+00:00,0.0013491376003553768
2018-01-31 00:00:00+00:00,0.00012525868540724794
2018-02-28 00:00:00+00:00,-0.0007238917485420382
2018-03-31 00:00:00+00:00,0.0049496036817267
2018-04-30 00:00:00+00:00,0.0003245132240408122
2018-05-31 00:00:00+00:00,-0.004329170543669658
2018-06-30 00:00:00+00:00,-0.00508368308530005
2018-07-31 00:00:00+00:00,-0.000374130575069076
2018-08-31 00:00:00+00:00,-0.004130060013327386
2018-09-30 00:00:00+00:00,0.004137546545292636
2018-10-31 00:00:00+00:00,-0.0033026299759183475
2018-11-30 00:00:00+00:00,0.005613042414509772
2018-12-31 00:00:00+00:00,-0.005831856103604038
