idea,family,soft_pass,hard_pass,promote,score,min_is_mo,max_is_top3,min_is_pct_pos,mo_2024,mo_2025_IS,pos_2024,pos_2025_IS,top3_2024,top3_2025_IS,mo_holdout,pos_holdout,top3_holdout,gates_holdout,note
baseline_locked,baseline,False,False,False,-inf,0.004216856681389925,0.7412750869651012,0.5454545454545454,0.004216856681389925,0.023302682604721847,0.5454545454545454,0.75,0.7412750869651012,0.6969790447140385,0.01523243086152203,0.75,0.8139578289205267,True,is_fail
lock+USDJPY_hybrid_regime_s15,lock_plus_d1,False,False,False,-inf,0.004052562591128093,0.7725921588542141,0.45454545454545453,0.004052562591128093,0.02031314795787477,0.45454545454545453,0.75,0.7725921588542141,0.7002199297750481,0.012769034834466517,0.75,0.8007061823941002,True,is_fail
lock+USDJPY_hybrid_regime_s20,lock_plus_d1,False,False,False,-inf,0.004004394562245883,0.7996922351409801,0.45454545454545453,0.004004394562245883,0.01929961366554174,0.45454545454545453,0.75,0.7996922351409801,0.7016429378458272,0.011939641804131271,0.75,0.7949631583178791,True,is_fail
lock+USDJPY_hybrid_regime_s25,lock_plus_d1,False,False,False,-inf,0.003959509342330974,0.8274956034405125,0.45454545454545453,0.003959509342330974,0.018277317256067654,0.45454545454545453,0.75,0.8274956034405125,0.703295579447961,0.01110602877119011,0.75,0.7883094974942646,True,is_fail
lock+USDJPY_hybrid_regime_s30,lock_plus_d1,False,False,False,-inf,0.003917898369819958,0.847873942437232,0.5454545454545454,0.003917898369819958,0.01724610227671408,0.5454545454545454,0.75,0.847873942437232,0.70522772420469,0.010268140793941755,0.75,0.7824816801935486,True,is_fail
lock+EURUSD_bbands_reversion_s15,lock_plus_d1,False,False,False,-inf,0.004226938575297101,0.7083065629995,0.5454545454545454,0.004226938575297101,0.020285569968670855,0.5454545454545454,0.75,0.7083065629995,0.6919695517747615,0.013130211120827406,0.75,0.8158968072503238,True,is_fail
lock+EURUSD_bbands_reversion_s20,lock_plus_d1,False,False,False,-inf,0.004232482138636039,0.6900102882793723,0.6363636363636364,0.004232482138636039,0.019264566161310143,0.6363636363636364,0.75,0.6886325614207979,0.6900102882793723,0.012425389798360997,0.75,0.8167030873544175,True,is_fail
lock+EURUSD_bbands_reversion_s25,lock_plus_d1,False,False,False,-inf,0.004239103622596122,0.6877237256967081,0.6363636363636364,0.004239103622596122,0.018235705604070576,0.6363636363636364,0.75,0.6662396119542356,0.6877237256967081,0.011718448450618054,0.75,0.817617342629559,True,is_fail
lock+EURUSD_bbands_reversion_s30,lock_plus_d1,False,False,False,-inf,0.0042467950267426535,0.6850449447545566,0.6363636363636364,0.0042467950267426535,0.017198859351352,0.6363636363636364,0.75,0.6548447411961491,0.6850449447545566,0.011009338334688054,0.75,0.8251425221190238,True,is_fail
lock+EURUSD_cci_reversion_s15,lock_plus_d1,False,False,False,-inf,0.004033225969978248,0.7121082011107799,0.5454545454545454,0.004033225969978248,0.02025409333245455,0.5454545454545454,0.75,0.7121082011107799,0.6933641602983488,0.012747959757618083,0.6666666666666666,0.8269190130985441,True,is_fail
lock+EURUSD_cci_reversion_s20,lock_plus_d1,False,False,False,-inf,0.003974757712900971,0.700403003691204,0.5454545454545454,0.003974757712900971,0.019222086912297334,0.5454545454545454,0.75,0.700403003691204,0.6919717692277131,0.011911691972992569,0.6666666666666666,0.8303686518082152,True,is_fail
lock+EURUSD_cci_reversion_s25,lock_plus_d1,False,False,False,-inf,0.003917641008804248,0.6904583068190902,0.5454545454545454,0.003917641008804248,0.01818195930711214,0.5454545454545454,0.75,0.6874310654928282,0.6904583068190902,0.011071232666478534,0.6666666666666666,0.8343111090733266,True,is_fail
lock+EURUSD_cci_reversion_s30,lock_plus_d1,False,False,False,-inf,0.003861864387485067,0.6888008951955404,0.5454545454545454,0.003861864387485067,0.017133575825982794,0.5454545454545454,0.75,0.6729689406925595,0.6888008951955404,0.010226497361093684,0.6666666666666666,0.838858104522149,True,is_fail
lock+EURUSD_willr_reversion_s15,lock_plus_d1,False,False,False,-inf,0.0037233437567355835,0.741476610738488,0.45454545454545453,0.0037233437567355835,0.020249653116735253,0.45454545454545453,0.75,0.741476610738488,0.6804098795983091,0.013008748326066447,0.6666666666666666,0.8272332895383521,True,is_fail
lock+EURUSD_willr_reversion_s20,lock_plus_d1,False,False,False,-inf,0.0035598241440996203,0.7383083734479966,0.45454545454545453,0.0035598241440996203,0.01921822691809444,0.45454545454545453,0.75,0.7383083734479966,0.6736160027072097,0.012261740907665825,0.6666666666666666,0.8307319400811096,True,is_fail
lock+EURUSD_willr_reversion_s25,lock_plus_d1,False,False,False,-inf,0.003396794337069237,0.7348658949456274,0.45454545454545453,0.003396794337069237,0.01817974889302898,0.45454545454545453,0.75,0.7348658949456274,0.6659829812226923,0.011511749607681726,0.6666666666666666,0.8346792231533959,True,is_fail
lock+EURUSD_willr_reversion_s30,lock_plus_d1,False,False,False,-inf,0.00323425283118306,0.7292003967996755,0.5454545454545454,0.00323425283118306,0.017134108940410703,0.5454545454545454,0.75,0.7292003967996755,0.6573379578384273,0.01075871630984332,0.6666666666666666,0.8391710187837806,True,is_fail
lock+EURUSD_mean_reversion_regime_s15,lock_plus_d1,False,False,False,-inf,0.0037110092118758983,0.7280620161064528,0.5454545454545454,0.0037110092118758983,0.02014686021266296,0.5454545454545454,0.75,0.7280620161064528,0.7004712943877093,0.013154356384490537,0.75,0.8137277518610521,True,is_fail
lock+EURUSD_mean_reversion_regime_s20,lock_plus_d1,False,False,False,-inf,0.003543384181653382,0.7227418164043017,0.5454545454545454,0.003543384181653382,0.019077197491556522,0.5454545454545454,0.75,0.7227418164043017,0.7020157017020899,0.012455868756798391,0.75,0.8136456123206957,True,is_fail
lock+EURUSD_mean_reversion_regime_s25,lock_plus_d1,False,False,False,-inf,0.003376253195654963,0.7168305516902024,0.5454545454545454,0.003376253195654963,0.01799841833579484,0.5454545454545454,0.75,0.7168305516902024,0.7036716609314776,0.011754395107454324,0.75,0.8135606031990096,True,is_fail
lock+EURUSD_mean_reversion_regime_s30,lock_plus_d1,False,False,False,-inf,0.0032096154612333487,0.7102186767186025,0.5454545454545454,0.0032096154612333487,0.016910363383856986,0.5454545454545454,0.75,0.7102186767186025,0.7054614223344637,0.011049881056402422,0.75,0.8134726324665612,True,is_fail
