idea,family,soft_pass,hard_pass,promote,score,min_is_mo,max_is_top3,min_is_pct_pos,mo_2024,mo_2025_IS,pos_2024,pos_2025_IS,top3_2024,top3_2025_IS,mo_2025,mo_2026,pos_2025,pos_2026,top3_2025,top3_2026,mo_holdout,pos_holdout,top3_holdout,gates_holdout,note
baseline_locked,baseline,False,False,False,-inf,0.004216856681389925,0.7412750869651012,0.5454545454545454,0.004216856681389925,0.023302682604721847,0.5454545454545454,0.75,0.7412750869651012,0.6969790447140385,0.016277853185413717,0.023011327609662083,0.7272727272727273,0.875,0.6925774266330262,0.8680846676945262,0.01523243086152203,0.75,0.8139578289205267,True,is_fail
lock+peakprox_lb21_e0.005_c0.35,peakprox,False,False,False,-inf,0.004422458063124044,0.6838774442039395,0.6363636363636364,0.004422458063124044,0.015006561493019141,0.6363636363636364,0.75,0.6838774442039395,0.6312940316721718,0.009512862845165282,0.012826655136807946,0.7272727272727273,0.75,0.6392902918046263,0.7677999529522239,0.010231188681951978,0.75,0.6144577573967615,True,is_fail
lock+peakprox_lb21_e0.005_c0.5,peakprox,False,False,False,-inf,0.004378857128298774,0.7185800820846674,0.7272727272727273,0.004378857128298774,0.016913619637262567,0.7272727272727273,0.75,0.7185800820846674,0.6514430109672766,0.011068732762745065,0.015178184350852941,0.7272727272727273,0.75,0.6219922722464349,0.7858670897017781,0.01139144005356596,0.75,0.6744334207146583,True,is_fail
lock+peakprox_lb21_e0.005_c0.65,peakprox,False,False,False,-inf,0.004332951233193782,0.7252040802721833,0.6363636363636364,0.004332951233193782,0.018825110980319887,0.6363636363636364,0.75,0.7252040802721833,0.668337186136494,0.01262775492732377,0.01752900630032804,0.7272727272727273,0.75,0.6252602576934743,0.8185061136215126,0.01254803482413592,0.6666666666666666,0.7234559927892261,True,is_fail
lock+peakprox_lb21_e0.01_c0.35,peakprox,False,False,False,-inf,0.003732538568933216,0.6106686882760989,0.7272727272727273,0.003732538568933216,0.013494980331254736,0.7272727272727273,0.875,0.5880772969145743,0.6106686882760989,0.009266503938196875,0.012463691125195117,0.8181818181818182,0.875,0.5812010024485651,0.7455653654373177,0.010453777067307194,0.8333333333333334,0.6392551740051041,True,soft_mean_fail
lock+peakprox_lb21_e0.01_c0.5,peakprox,False,False,False,-inf,0.0038584084171027614,0.6551358133232205,0.6363636363636364,0.0038584084171027614,0.015747833541021675,0.6363636363636364,0.875,0.6413735792370866,0.6551358133232205,0.010875789830040944,0.014898834577523806,0.8181818181818182,0.875,0.6173871101691761,0.7846258565709987,0.011561479968390844,0.8333333333333334,0.6933118992143893,True,is_fail
lock+peakprox_lb21_e0.01_c0.65,peakprox,False,False,False,-inf,0.00397581993768912,0.672957308399794,0.6363636363636364,0.00397581993768912,0.01800695677688846,0.6363636363636364,0.75,0.6729253368533241,0.672957308399794,0.012490300793070423,0.01733340182521166,0.7272727272727273,0.875,0.6487232051905252,0.817599799348523,0.012666252588314247,0.75,0.7298384528965142,True,is_fail
lock+peakprox_lb21_e0.02_c0.35,peakprox,False,False,False,-inf,0.002071593972430437,0.6883924586523753,0.6363636363636364,0.002071593972430437,0.009743755470730253,0.6363636363636364,0.75,0.6883924586523753,0.6394386810352801,0.006537450511606238,0.01097943877893233,0.7272727272727273,0.875,0.6142962464299959,0.7713401062186537,0.009977013445243987,0.9166666666666666,0.678751276249826,True,is_fail
lock+peakprox_lb21_e0.02_c0.5,peakprox,False,False,False,-inf,0.002582716692756983,0.6864747682875234,0.6363636363636364,0.002582716692756983,0.012858708490068538,0.6363636363636364,0.75,0.6864747682875234,0.6492633101331093,0.008773626683925995,0.013746845742117833,0.7272727272727273,0.875,0.6474601968986683,0.8058043351278944,0.011189833123335722,0.8333333333333334,0.7293257799304902,True,is_fail
lock+peakprox_lb21_e0.02_c0.65,peakprox,False,False,False,-inf,0.0030842145080290525,0.7200276718135475,0.6363636363636364,0.0030842145080290525,0.01598205065368867,0.6363636363636364,0.75,0.7200276718135475,0.6701980017435115,0.01101674573695159,0.016519726921553707,0.7272727272727273,0.875,0.6671618997841958,0.8315697141566516,0.012402591171582386,0.75,0.7619820098808058,True,is_fail
