mode,sizing,mean_mo,pct_pos,amplification,pair
proxy,z_vol,0.012797376538977522,0.8181818181818182,,EURAUD/AUDUSD
real,z_vol,0.008875945563031678,0.45454545454545453,181.4940500727301,EURAUD/AUDUSD
real,unit_residual,0.00012725072230766111,0.5454545454545454,181.4940500727301,EURAUD/AUDUSD
