idea,window,role,mean_mo,pct_pos,top3,gates,p2t,n_months,trades,n_legs,params,scale
lock+dual2|is_scale_1.000,2026,confirm,0.016860576790448112,0.75,0.8280560820355908,True,0.04184584576116884,8,244,7,is_scale_1.000,1.0
lock+dual2|is_scale_1.000,holdout_365d,pure holdout,0.012647406971572748,0.75,0.7326566351794471,True,0.04212452913406731,12,330,7,is_scale_1.000,1.0
lock+dual3|frozen1.0,2024,IS,0.008641929762848005,0.5454545454545454,0.6868970432867019,True,0.059338636642280826,11,334,8,frozen1.0,1.0
lock+dual3|frozen1.0,2025_IS,IS,0.010693771512975972,0.75,0.7459164494559378,True,0.03464151018200839,8,230,8,frozen1.0,1.0
lock+dual3|frozen1.0,2024,confirm,0.008641929762848005,0.5454545454545454,0.6868970432867019,True,0.059338636642280826,11,334,8,frozen1.0,1.0
lock+dual3|frozen1.0,2025,confirm,0.009277696281287617,0.7272727272727273,0.6339656863466735,True,0.043131919586661786,11,266,8,frozen1.0,1.0
lock+dual3|frozen1.0,2026,confirm,0.013383365556544832,0.625,0.8512712428827391,True,0.03233188331142561,8,252,8,frozen1.0,1.0
lock+dual3|frozen1.0,holdout_365d,pure holdout,0.009195166465184165,0.5833333333333334,0.7553172640335719,True,0.03766368098481976,12,347,8,frozen1.0,1.0
lock+dual3|is_scale_1.000,2024,IS,0.008641929762848005,0.5454545454545454,0.6868970432867019,True,0.059338636642280826,11,334,8,is_scale_1.000,1.0
lock+dual3|is_scale_1.000,2025_IS,IS,0.010693771512975972,0.75,0.7459164494559378,True,0.03464151018200839,8,230,8,is_scale_1.000,1.0
lock+dual3|is_scale_1.000,2024,confirm,0.008641929762848005,0.5454545454545454,0.6868970432867019,True,0.059338636642280826,11,334,8,is_scale_1.000,1.0
lock+dual3|is_scale_1.000,2025,confirm,0.009277696281287617,0.7272727272727273,0.6339656863466735,True,0.043131919586661786,11,266,8,is_scale_1.000,1.0
lock+dual3|is_scale_1.000,2026,confirm,0.013383365556544832,0.625,0.8512712428827391,True,0.03233188331142561,8,252,8,is_scale_1.000,1.0
lock+dual3|is_scale_1.000,holdout_365d,pure holdout,0.009195166465184165,0.5833333333333334,0.7553172640335719,True,0.03766368098481976,12,347,8,is_scale_1.000,1.0
lock+dual4|frozen1.0,2024,IS,0.007304512407359167,0.5454545454545454,0.6803300211340866,True,0.052874646607298334,11,348,9,frozen1.0,1.0
lock+dual4|frozen1.0,2025_IS,IS,0.010613574387498131,0.75,0.8069999016064748,True,0.029318115637514602,8,250,9,frozen1.0,1.0
lock+dual4|frozen1.0,2024,confirm,0.007304512407359167,0.5454545454545454,0.6803300211340866,True,0.052874646607298334,11,348,9,frozen1.0,1.0
lock+dual4|frozen1.0,2025,confirm,0.008626898102285412,0.7272727272727273,0.7323306688883543,True,0.03304542955410124,11,298,9,frozen1.0,1.0
lock+dual4|frozen1.0,2026,confirm,0.011371457082731573,0.625,0.86106016276016,True,0.028138702589836237,8,261,9,frozen1.0,1.0
lock+dual4|frozen1.0,holdout_365d,pure holdout,0.007930592479019505,0.5833333333333334,0.7598220252945744,True,0.03272416165406096,12,359,9,frozen1.0,1.0
lock+dual4|is_scale_1.000,2024,IS,0.007304512407359167,0.5454545454545454,0.6803300211340866,True,0.052874646607298334,11,348,9,is_scale_1.000,1.0
lock+dual4|is_scale_1.000,2025_IS,IS,0.010613574387498131,0.75,0.8069999016064748,True,0.029318115637514602,8,250,9,is_scale_1.000,1.0
lock+dual4|is_scale_1.000,2024,confirm,0.007304512407359167,0.5454545454545454,0.6803300211340866,True,0.052874646607298334,11,348,9,is_scale_1.000,1.0
lock+dual4|is_scale_1.000,2025,confirm,0.008626898102285412,0.7272727272727273,0.7323306688883543,True,0.03304542955410124,11,298,9,is_scale_1.000,1.0
lock+dual4|is_scale_1.000,2026,confirm,0.011371457082731573,0.625,0.86106016276016,True,0.028138702589836237,8,261,9,is_scale_1.000,1.0
lock+dual4|is_scale_1.000,holdout_365d,pure holdout,0.007930592479019505,0.5833333333333334,0.7598220252945744,True,0.03272416165406096,12,359,9,is_scale_1.000,1.0
scratch_dual4|frozen1.0,2024,IS,0.0059929238396031785,0.6363636363636364,0.807878358893939,True,0.08571456274927333,11,70,4,frozen1.0,1.0
scratch_dual4|frozen1.0,2025_IS,IS,0.014723819248663075,0.875,0.8123277745278628,True,0.05107950152257963,8,60,4,frozen1.0,1.0
scratch_dual4|frozen1.0,2024,confirm,0.0059929238396031785,0.6363636363636364,0.807878358893939,True,0.08571456274927333,11,70,4,frozen1.0,1.0
scratch_dual4|frozen1.0,2025,confirm,0.006913574336245681,0.7272727272727273,0.778510513851732,True,0.08462310793778755,11,71,4,frozen1.0,1.0
scratch_dual4|frozen1.0,2026,confirm,-0.0060022777804753374,0.375,1.0,False,0.11573546049951176,8,43,4,frozen1.0,1.0
scratch_dual4|frozen1.0,holdout_365d,pure holdout,-0.01025043111440091,0.3333333333333333,0.9249540168082565,False,0.17424148458228486,12,59,4,frozen1.0,1.0
scratch_dual4|is_scale_1.000,2024,IS,0.0059929238396031785,0.6363636363636364,0.807878358893939,True,0.08571456274927333,11,70,4,is_scale_1.000,1.0
scratch_dual4|is_scale_1.000,2025_IS,IS,0.014723819248663075,0.875,0.8123277745278628,True,0.05107950152257963,8,60,4,is_scale_1.000,1.0
scratch_dual4|is_scale_1.000,2024,confirm,0.0059929238396031785,0.6363636363636364,0.807878358893939,True,0.08571456274927333,11,70,4,is_scale_1.000,1.0
scratch_dual4|is_scale_1.000,2025,confirm,0.006913574336245681,0.7272727272727273,0.778510513851732,True,0.08462310793778755,11,71,4,is_scale_1.000,1.0
scratch_dual4|is_scale_1.000,2026,confirm,-0.0060022777804753374,0.375,1.0,False,0.11573546049951176,8,43,4,is_scale_1.000,1.0
scratch_dual4|is_scale_1.000,holdout_365d,pure holdout,-0.01025043111440091,0.3333333333333333,0.9249540168082565,False,0.17424148458228486,12,59,4,is_scale_1.000,1.0
missdiv::USDJPY_D1_hybrid_regime,2024,confirm,0.003005366402010192,0.6363636363636364,0.8108817944637873,True,0.06193916098297848,11,176,6,ok,1.0
missdiv::USDJPY_D1_hybrid_regime,2025,confirm,0.018018925630879236,0.9090909090909091,0.6127782170975882,True,0.04426344996007169,11,218,6,ok,1.0
missdiv::USDJPY_D1_hybrid_regime,2026,confirm,0.020616693331375627,0.75,0.8227079960996361,True,0.054142200086941775,8,232,6,ok,1.0
missdiv::USDJPY_D1_hybrid_regime,holdout_365d,pure holdout,0.012326134248661053,0.75,0.7668973090880558,True,0.05352749229577449,12,209,6,ok,1.0
missdiv::USDJPY_D1_hybrid_regime,2024,IS,0.003005366402010192,0.6363636363636364,0.8108817944637873,True,0.06193916098297848,11,176,6,ok,1.0
missdiv::USDJPY_D1_hybrid_regime,2025_IS,IS,0.02048317448809754,0.875,0.7309487453943685,True,0.036995384598276185,8,188,6,ok,1.0
