idea,window,role,mean_mo,pct_pos,top3,gates,p2t,n_months,trades,n_legs,params,scale
baseline_locked,2024,IS,0.004216856681389925,0.5454545454545454,0.7412750869651012,True,0.07423982950324844,11,145,5,vt0025,1.0
baseline_locked,2025_IS,IS,0.023302682604721847,0.75,0.6969790447140385,True,0.038581414983391585,8,100,5,vt0025,1.0
baseline_locked,2024,confirm,0.004216856681389925,0.5454545454545454,0.7412750869651012,True,0.07423982950324844,11,145,5,vt0025,1.0
baseline_locked,2025,confirm,0.016277853185413717,0.7272727272727273,0.6925774266330262,True,0.038581414983391585,11,107,5,vt0025,1.0
baseline_locked,2026,confirm,0.023011327609662083,0.875,0.8680846676945262,True,0.06376392341456799,8,158,5,vt0025,1.0
baseline_locked,holdout_365d,pure holdout,0.01523243086152203,0.75,0.8139578289205267,True,0.06825160423221091,12,189,5,vt0025,1.0
baseline_locked|frozen1.0,2024,IS,0.004216856681390097,0.5454545454545454,0.7412750869650975,True,0.07423982950324833,11,145,5,frozen1.0,1.0
baseline_locked|frozen1.0,2025_IS,IS,0.023302682604722,0.75,0.6969790447140383,True,0.03858141498339174,8,100,5,frozen1.0,1.0
baseline_locked|frozen1.0,2024,confirm,0.004216856681390097,0.5454545454545454,0.7412750869650975,True,0.07423982950324833,11,145,5,frozen1.0,1.0
baseline_locked|frozen1.0,2025,confirm,0.016277853185413808,0.7272727272727273,0.692577426633027,True,0.03858141498339174,11,107,5,frozen1.0,1.0
baseline_locked|frozen1.0,2026,confirm,0.023011327609662055,0.875,0.8680846676945283,True,0.06376392341456848,8,158,5,frozen1.0,1.0
baseline_locked|frozen1.0,holdout_365d,pure holdout,0.01523243086152229,0.75,0.8139578289205227,True,0.06825160423221066,12,189,5,frozen1.0,1.0
baseline_locked|is_scale_1.000,2024,IS,0.004216856681390097,0.5454545454545454,0.7412750869650975,True,0.07423982950324833,11,145,5,is_scale_1.000,1.0
baseline_locked|is_scale_1.000,2025_IS,IS,0.023302682604722,0.75,0.6969790447140383,True,0.03858141498339174,8,100,5,is_scale_1.000,1.0
baseline_locked|is_scale_1.000,2024,confirm,0.004216856681390097,0.5454545454545454,0.7412750869650975,True,0.07423982950324833,11,145,5,is_scale_1.000,1.0
baseline_locked|is_scale_1.000,2025,confirm,0.016277853185413808,0.7272727272727273,0.692577426633027,True,0.03858141498339174,11,107,5,is_scale_1.000,1.0
baseline_locked|is_scale_1.000,2026,confirm,0.023011327609662055,0.875,0.8680846676945283,True,0.06376392341456848,8,158,5,is_scale_1.000,1.0
baseline_locked|is_scale_1.000,holdout_365d,pure holdout,0.01523243086152229,0.75,0.8139578289205227,True,0.06825160423221066,12,189,5,is_scale_1.000,1.0
lock+dual2|frozen1.0,2024,IS,0.0102547037959144,0.7272727272727273,0.692880015617354,True,0.0628322327631201,11,322,7,frozen1.0,1.0
lock+dual2|frozen1.0,2025_IS,IS,0.010894886466899484,0.625,0.7709439995290857,True,0.04373235523779863,8,213,7,frozen1.0,1.0
lock+dual2|frozen1.0,2024,confirm,0.0102547037959144,0.7272727272727273,0.692880015617354,True,0.0628322327631201,11,322,7,frozen1.0,1.0
lock+dual2|frozen1.0,2025,confirm,0.010687883003084854,0.8181818181818182,0.6116347175720527,True,0.04373235523779863,11,245,7,frozen1.0,1.0
lock+dual2|frozen1.0,2026,confirm,0.016860576790448112,0.75,0.8280560820355908,True,0.04184584576116884,8,244,7,frozen1.0,1.0
lock+dual2|frozen1.0,holdout_365d,pure holdout,0.012647406971572748,0.75,0.7326566351794471,True,0.04212452913406731,12,330,7,frozen1.0,1.0
lock+dual2|is_scale_1.000,2024,IS,0.0102547037959144,0.7272727272727273,0.692880015617354,True,0.0628322327631201,11,322,7,is_scale_1.000,1.0
lock+dual2|is_scale_1.000,2025_IS,IS,0.010894886466899484,0.625,0.7709439995290857,True,0.04373235523779863,8,213,7,is_scale_1.000,1.0
lock+dual2|is_scale_1.000,2024,confirm,0.0102547037959144,0.7272727272727273,0.692880015617354,True,0.0628322327631201,11,322,7,is_scale_1.000,1.0
lock+dual2|is_scale_1.000,2025,confirm,0.010687883003084854,0.8181818181818182,0.6116347175720527,True,0.04373235523779863,11,245,7,is_scale_1.000,1.0
