time,epu_diff_xs
2011-10-31 00:00:00+00:00,0.0027330516386832038
2011-11-30 00:00:00+00:00,0.00279251814005832
2011-12-31 00:00:00+00:00,0.002730993645815749
2012-01-31 00:00:00+00:00,0.0011977729237868662
2012-02-29 00:00:00+00:00,0.0014115976537056873
2012-03-31 00:00:00+00:00,-0.011874793163477948
2012-04-30 00:00:00+00:00,-0.0020528539886173203
2012-05-31 00:00:00+00:00,0.012303740378242889
2012-06-30 00:00:00+00:00,0.01006169399887491
2012-07-31 00:00:00+00:00,-0.011287257527390904
2012-08-31 00:00:00+00:00,-0.009940206424718045
2012-09-30 00:00:00+00:00,-0.007762720798838552
2012-10-31 00:00:00+00:00,0.003914929859644811
2012-11-30 00:00:00+00:00,0.0019014080833608116
2012-12-31 00:00:00+00:00,-0.006870828213155877
2013-01-31 00:00:00+00:00,0.009398905130685975
2013-02-28 00:00:00+00:00,0.007060814067894272
2013-03-31 00:00:00+00:00,0.008878265511160777
2013-04-30 00:00:00+00:00,-0.013540406818948525
2013-05-31 00:00:00+00:00,-0.009992555344572662
2013-06-30 00:00:00+00:00,-0.008496276685878268
2013-07-31 00:00:00+00:00,0.003790445413360377
2013-08-31 00:00:00+00:00,-0.01083160791265425
2013-09-30 00:00:00+00:00,-0.0006419460026160229
2013-10-31 00:00:00+00:00,0.001736315080346218
2013-11-30 00:00:00+00:00,0.0029788016299838738
2013-12-31 00:00:00+00:00,-0.010801747195958611
2014-01-31 00:00:00+00:00,0.0013542233752394939
2014-02-28 00:00:00+00:00,-0.008986073517571525
2014-03-31 00:00:00+00:00,0.01276146018165436
2014-04-30 00:00:00+00:00,0.00028412163117974565
2014-05-31 00:00:00+00:00,0.00027789657080501406
2014-06-30 00:00:00+00:00,0.003936904944913833
2014-07-31 00:00:00+00:00,0.005251810183537042
2014-08-31 00:00:00+00:00,-0.0048135603227701385
2014-09-30 00:00:00+00:00,0.01444408096230565
2014-10-31 00:00:00+00:00,0.0021601940803377406
2014-11-30 00:00:00+00:00,-0.0017452344946852216
2014-12-31 00:00:00+00:00,0.00022289385204965484
2015-01-31 00:00:00+00:00,0.0018045227665801633
2015-02-28 00:00:00+00:00,0.002460001197222006
2015-03-31 00:00:00+00:00,0.007723477511627497
2015-04-30 00:00:00+00:00,-0.014372419763128419
2015-05-31 00:00:00+00:00,-0.006817624269279343
2015-06-30 00:00:00+00:00,-0.0051949882348013565
2015-07-31 00:00:00+00:00,0.007886722967057835
2015-08-31 00:00:00+00:00,-0.009585418318916128
2015-09-30 00:00:00+00:00,-0.002076321233653644
2015-10-31 00:00:00+00:00,0.00177020310506526
2015-11-30 00:00:00+00:00,0.004442974350400419
2015-12-31 00:00:00+00:00,-0.008977221552144754
2016-01-31 00:00:00+00:00,-0.004627933773984405
2016-02-29 00:00:00+00:00,0.012426261361140556
2016-03-31 00:00:00+00:00,0.018554919469669473
2016-04-30 00:00:00+00:00,0.00029767272524994226
2016-05-31 00:00:00+00:00,-0.021235961148345472
2016-06-30 00:00:00+00:00,0.02075737428155877
2016-07-31 00:00:00+00:00,0.0012329941939517308
2016-08-31 00:00:00+00:00,0.00012565610050607745
2016-09-30 00:00:00+00:00,0.00011913105420813253
2016-10-31 00:00:00+00:00,0.012903463866665632
2016-11-30 00:00:00+00:00,-0.0023460892289772772
2016-12-31 00:00:00+00:00,-0.005554768422953882
2017-01-31 00:00:00+00:00,0.0051860131221768135
2017-02-28 00:00:00+00:00,0.010505617930490319
2017-03-31 00:00:00+00:00,0.0017747751841041826
2017-04-30 00:00:00+00:00,-0.004076736973839812
2017-05-31 00:00:00+00:00,-0.011165775097400354
2017-06-30 00:00:00+00:00,-0.0007531531102935585
2017-07-31 00:00:00+00:00,0.0013535213557178682
2017-08-31 00:00:00+00:00,0.0019940713993877868
2017-09-30 00:00:00+00:00,-0.014299522774971929
2017-10-31 00:00:00+00:00,0.0038921820800463802
2017-11-30 00:00:00+00:00,-0.003894278477560409
2017-12-31 00:00:00+00:00,-0.000801948778888395
2018-01-31 00:00:00+00:00,0.0013080837912424759
