time,soft_raw
2011-10-31 00:00:00+00:00,0.0057095009352450266
2011-11-30 00:00:00+00:00,0.0005218430255677919
2011-12-31 00:00:00+00:00,0.006291709154101044
2012-01-31 00:00:00+00:00,0.0005382366809894013
2012-02-29 00:00:00+00:00,-0.0019894840704729466
2012-03-31 00:00:00+00:00,0.004453907147047076
2012-04-30 00:00:00+00:00,0.003595001311710311
2012-05-31 00:00:00+00:00,-0.0032188359180138626
2012-06-30 00:00:00+00:00,-0.0031704662732158218
2012-07-31 00:00:00+00:00,0.00011407313612066261
2012-08-31 00:00:00+00:00,0.0040140952182801115
2012-09-30 00:00:00+00:00,0.0023239900662439528
2012-10-31 00:00:00+00:00,0.0027335688882008657
2012-11-30 00:00:00+00:00,0.0015459389256440303
2012-12-31 00:00:00+00:00,0.004174268088062094
2013-01-31 00:00:00+00:00,-0.0032536481983594934
2013-02-28 00:00:00+00:00,-9.934627282381925e-05
2013-03-31 00:00:00+00:00,-0.005749918048880254
2013-04-30 00:00:00+00:00,0.00442347950932942
2013-05-31 00:00:00+00:00,0.009466338619836367
2013-06-30 00:00:00+00:00,0.009102022087432715
2013-07-31 00:00:00+00:00,0.0017399890932621176
2013-08-31 00:00:00+00:00,0.00342235316773265
2013-09-30 00:00:00+00:00,0.000259419471367206
2013-10-31 00:00:00+00:00,-0.0016940854070754963
2013-11-30 00:00:00+00:00,0.0024250037842690197
2013-12-31 00:00:00+00:00,0.0007741448123190775
2014-01-31 00:00:00+00:00,0.0010342001145720037
2014-02-28 00:00:00+00:00,0.0003143947900359212
2014-03-31 00:00:00+00:00,0.004999152889788583
2014-04-30 00:00:00+00:00,0.0006175140828619252
2014-05-31 00:00:00+00:00,0.002489628551091805
2014-06-30 00:00:00+00:00,0.001548931511941909
2014-07-31 00:00:00+00:00,-0.0020176586809235175
2014-08-31 00:00:00+00:00,0.0031727660487956832
2014-09-30 00:00:00+00:00,0.0036395645709568214
2014-10-31 00:00:00+00:00,0.0015261543953539736
2014-11-30 00:00:00+00:00,0.0037512853470595964
2014-12-31 00:00:00+00:00,-0.001050701933635323
2015-01-31 00:00:00+00:00,0.012278347747120666
2015-02-28 00:00:00+00:00,-0.010462789565198638
2015-03-31 00:00:00+00:00,0.004529755253574574
2015-04-30 00:00:00+00:00,-0.0007109289351759918
2015-05-31 00:00:00+00:00,0.0019684242152528952
2015-06-30 00:00:00+00:00,0.0022592009001054514
2015-07-31 00:00:00+00:00,0.0030992402977705336
2015-08-31 00:00:00+00:00,0.007849608337975322
2015-09-30 00:00:00+00:00,0.0008033103341620329
2015-10-31 00:00:00+00:00,-0.0038847801066007603
2015-11-30 00:00:00+00:00,-0.0023753720994686978
2015-12-31 00:00:00+00:00,-0.0016025751180240855
2016-01-31 00:00:00+00:00,0.008541434233109602
2016-02-29 00:00:00+00:00,0.01003828777821636
2016-03-31 00:00:00+00:00,-0.0046646525824699525
2016-04-30 00:00:00+00:00,0.000854767924959754
2016-05-31 00:00:00+00:00,-0.004615956471097915
2016-06-30 00:00:00+00:00,0.013658877338851516
2016-07-31 00:00:00+00:00,-0.00011741621788485812
2016-08-31 00:00:00+00:00,-0.0032119048559641206
2016-09-30 00:00:00+00:00,-0.0031225932890650565
2016-10-31 00:00:00+00:00,-0.0012374274213990955
