time,bs_peer_xs
2011-10-31 00:00:00+00:00,0.020421114392528805
2011-11-30 00:00:00+00:00,-0.02905094909265782
2011-12-31 00:00:00+00:00,0.02269402193554071
2012-01-31 00:00:00+00:00,-0.007436522645117072
2012-02-29 00:00:00+00:00,-0.012832697553707306
2012-03-31 00:00:00+00:00,0.005849347380648462
2012-04-30 00:00:00+00:00,0.002631662860731687
2012-05-31 00:00:00+00:00,0.03456749218745325
2012-06-30 00:00:00+00:00,-0.003425226354032307
2012-07-31 00:00:00+00:00,0.005560203206143921
2012-08-31 00:00:00+00:00,-0.008989323169230179
2012-09-30 00:00:00+00:00,-0.011930827312382042
2012-10-31 00:00:00+00:00,-0.0061139706195225685
2012-11-30 00:00:00+00:00,-0.0005094815777633155
2012-12-31 00:00:00+00:00,-0.005853937620246108
2013-01-31 00:00:00+00:00,-0.01289268234848151
2013-02-28 00:00:00+00:00,0.015513411470554406
2013-03-31 00:00:00+00:00,-0.006553474931493608
2013-04-30 00:00:00+00:00,0.014113012952168269
2013-05-31 00:00:00+00:00,-0.004659059709565483
2013-06-30 00:00:00+00:00,-0.0010839756726599425
2013-07-31 00:00:00+00:00,0.011156968114707677
2013-08-31 00:00:00+00:00,-0.0024098816673765455
2013-09-30 00:00:00+00:00,0.010898225719295995
2013-10-31 00:00:00+00:00,0.007358166298926383
2013-11-30 00:00:00+00:00,-0.004320941376210752
2013-12-31 00:00:00+00:00,0.007569298695385918
2014-01-31 00:00:00+00:00,-0.009089802932258362
2014-02-28 00:00:00+00:00,0.005489565828578957
2014-03-31 00:00:00+00:00,0.0024954293075116762
2014-04-30 00:00:00+00:00,0.003426782327040856
2014-05-31 00:00:00+00:00,-0.009575096241427161
2014-06-30 00:00:00+00:00,0.0032816249694538335
2014-07-31 00:00:00+00:00,-0.01113781468782682
2014-08-31 00:00:00+00:00,-0.009817237079209118
2014-09-30 00:00:00+00:00,-0.0191371231111791
2014-10-31 00:00:00+00:00,-0.0004881148728315132
2014-11-30 00:00:00+00:00,-0.005942234620113895
2014-12-31 00:00:00+00:00,-0.01202918817216092
2015-01-31 00:00:00+00:00,-0.0343588305582786
2015-02-28 00:00:00+00:00,-0.005634082372695581
2015-03-31 00:00:00+00:00,-0.02077027067020165
2015-04-30 00:00:00+00:00,0.02209319143212629
2015-05-31 00:00:00+00:00,-0.01137170648692376
2015-06-30 00:00:00+00:00,0.008338352010935912
2015-07-31 00:00:00+00:00,-0.008723810721809167
2015-08-31 00:00:00+00:00,0.013185491277046824
2015-09-30 00:00:00+00:00,-0.0023154989482196964
2015-10-31 00:00:00+00:00,-0.00787593186965907
2015-11-30 00:00:00+00:00,-0.018790464003440532
2015-12-31 00:00:00+00:00,0.016601658088171822
2016-01-31 00:00:00+00:00,-0.0074535429371157536
2016-02-29 00:00:00+00:00,0.00026583847753358647
2016-03-31 00:00:00+00:00,-0.020503241312164633
2016-04-30 00:00:00+00:00,0.0009632620583002183
2016-05-31 00:00:00+00:00,0.009654400850277245
2016-06-30 00:00:00+00:00,0.000802435164139137
2016-07-31 00:00:00+00:00,-0.0028936018126225482
2016-08-31 00:00:00+00:00,0.00019277531972661244
2016-09-30 00:00:00+00:00,0.0011889398475006807
2016-10-31 00:00:00+00:00,-0.006060890651898632
2016-11-30 00:00:00+00:00,-0.021186905639965503
2016-12-31 00:00:00+00:00,-0.013809348521560905
2017-01-31 00:00:00+00:00,0.004497602125856703
2017-02-28 00:00:00+00:00,0.009592310324843645
2017-03-31 00:00:00+00:00,-0.0008618261309443209
2017-04-30 00:00:00+00:00,-0.008476518181568249
2017-05-31 00:00:00+00:00,-0.01315497958062195
2017-06-30 00:00:00+00:00,-0.014403137334541016
2017-07-31 00:00:00+00:00,-0.009276489747482297
