time,low_cci_xs
2011-10-31 00:00:00+00:00,0.025178676600386307
2011-11-30 00:00:00+00:00,-0.008908276490079081
2011-12-31 00:00:00+00:00,0.007265975549128001
2012-01-31 00:00:00+00:00,0.01195273984255274
2012-02-29 00:00:00+00:00,0.0020399019779204774
2012-03-31 00:00:00+00:00,-0.006319894464203779
2012-04-30 00:00:00+00:00,-0.004546406927881552
2012-05-31 00:00:00+00:00,-0.020961284784559164
2012-06-30 00:00:00+00:00,0.007676015144195247
2012-07-31 00:00:00+00:00,0.00579490124943316
2012-08-31 00:00:00+00:00,-0.005719056887271257
2012-09-30 00:00:00+00:00,0.0011576909131754132
2012-10-31 00:00:00+00:00,-0.0010268176796887074
2012-11-30 00:00:00+00:00,-0.0018388204680443998
2012-12-31 00:00:00+00:00,-0.0015959783964315521
2013-01-31 00:00:00+00:00,0.011638260636516629
2013-02-28 00:00:00+00:00,-0.002957421247571923
2013-03-31 00:00:00+00:00,-0.012227035677998543
2013-04-30 00:00:00+00:00,0.012571982052508313
2013-05-31 00:00:00+00:00,0.010169760164946862
2013-06-30 00:00:00+00:00,0.013308378432137058
2013-07-31 00:00:00+00:00,0.010898084175641864
2013-08-31 00:00:00+00:00,-0.0069255484401372636
2013-09-30 00:00:00+00:00,-0.01563325089573453
2013-10-31 00:00:00+00:00,0.006200339698374968
2013-11-30 00:00:00+00:00,0.0026711257761451446
2013-12-31 00:00:00+00:00,0.005879595661356429
2014-01-31 00:00:00+00:00,-0.0012833451173609456
2014-02-28 00:00:00+00:00,-0.00149150081741789
2014-03-31 00:00:00+00:00,0.007624861654295767
2014-04-30 00:00:00+00:00,-0.0044332843779152364
2014-05-31 00:00:00+00:00,0.007845381644429938
2014-06-30 00:00:00+00:00,-0.004168511751531212
2014-07-31 00:00:00+00:00,0.005450491008507363
2014-08-31 00:00:00+00:00,0.0101798509899802
2014-09-30 00:00:00+00:00,-0.0010354324196870657
2014-10-31 00:00:00+00:00,0.006023184873734211
2014-11-30 00:00:00+00:00,-0.001316245383491954
2014-12-31 00:00:00+00:00,-0.0017049555816951445
2015-01-31 00:00:00+00:00,0.01284785037992675
2015-02-28 00:00:00+00:00,-0.002083136285582765
2015-03-31 00:00:00+00:00,0.013964126780758868
2015-04-30 00:00:00+00:00,-0.010305438704934722
2015-05-31 00:00:00+00:00,-0.0015750129429117354
2015-06-30 00:00:00+00:00,-0.009099545690088529
2015-07-31 00:00:00+00:00,-0.00769242284353322
2015-08-31 00:00:00+00:00,-0.003997547417856739
2015-09-30 00:00:00+00:00,0.00663336914569812
2015-10-31 00:00:00+00:00,0.003499610786337426
